 "GAGE No.    5:  K,I,J Coord. =     1,  133,  129;  STREAM SEGMENT =    12;  REACH =   153 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.2846313E+02   1.7423850E+05   4.7017482E-01   2.5000000E+01   1.7544917E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   9.6496940E-02   9.6496940E-02
     2.0000000E+00   8.2854578E+02   2.2846541E+05   5.5277568E-01   2.5000000E+01   2.2965817E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   9.5070243E-02   9.5070243E-02
     3.0000000E+00   8.2857544E+02   2.4958216E+05   5.8247238E-01   2.5000000E+01   2.5069647E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   8.8817157E-02   8.8817157E-02
     4.0000000E+00   8.2858740E+02   2.5829061E+05   5.9444326E-01   2.5000000E+01   2.5934244E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   8.3836354E-02   8.3836354E-02
     5.0000000E+00   8.2859192E+02   2.6154556E+05   5.9892690E-01   2.5000000E+01   2.6254684E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.9805925E-02   7.9805925E-02
     6.0000000E+00   8.2859204E+02   2.6177941E+05   5.9908932E-01   2.5000000E+01   2.6273753E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.6368690E-02   7.6368690E-02
     7.0000000E+00   8.2858997E+02   2.6025580E+05   5.9701288E-01   2.5000000E+01   2.6117658E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.3390789E-02   7.3390789E-02
     8.0000000E+00   8.2858612E+02   2.5752669E+05   5.9314924E-01   2.5000000E+01   2.5841383E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   7.0709534E-02   7.0709534E-02
     9.0000000E+00   8.2858173E+02   2.5413942E+05   5.8874536E-01   2.5000000E+01   2.5499372E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.8090908E-02   6.8090908E-02
     1.0000000E+01   8.2857855E+02   2.5019816E+05   5.8555967E-01   2.5000000E+01   2.5102984E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.6290639E-02   6.6290639E-02
     1.1000000E+01   8.2856995E+02   2.4597498E+05   5.7697463E-01   2.5000000E+01   2.4677798E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.4002544E-02   6.4002544E-02
     1.2000000E+01   8.2856360E+02   2.4130942E+05   5.7063240E-01   2.5000000E+01   2.4208672E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.1955266E-02   6.1955266E-02
     1.3000000E+01   8.2855933E+02   2.3623897E+05   5.6632239E-01   2.5000000E+01   2.3699959E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   6.0626511E-02   6.0626511E-02
     1.4000000E+01   8.2855005E+02   2.3202983E+05   5.5708724E-01   2.5000000E+01   2.3276831E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.8861811E-02   5.8861811E-02
     1.5000000E+01   8.2854584E+02   2.2661931E+05   5.5283707E-01   2.5000000E+01   2.2734177E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.7582483E-02   5.7582483E-02
     1.6000000E+01   8.2853632E+02   2.2257522E+05   5.4334557E-01   2.5000000E+01   2.2327802E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.6016278E-02   5.6016278E-02
     1.7000000E+01   8.2852924E+02   2.1776272E+05   5.3626919E-01   2.5000000E+01   2.1845072E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.5092500E+04   5.4837096E-02   5.4837096E-02
