 "GAGE No.    4:  K,I,J Coord. =     1,  280,  129;  STREAM SEGMENT =    10;  REACH =     1 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.5126050E+02   1.4541109E+05   8.4452607E-02   2.5000000E+01   1.4548797E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.8869039E-02   6.8869039E-02
     2.0000000E+00   8.5126166E+02   1.4883853E+05   8.5641280E-02   2.5000000E+01   1.4891241E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.6178545E-02   6.6178545E-02
     3.0000000E+00   8.5125989E+02   1.4377869E+05   8.3880931E-02   2.5000000E+01   1.4385000E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.3883662E-02   6.3883662E-02
     4.0000000E+00   8.5125781E+02   1.3780688E+05   8.1773333E-02   2.5000000E+01   1.3787666E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.2521599E-02   6.2521599E-02
     5.0000000E+00   8.5125568E+02   1.3197348E+05   7.9679258E-02   2.5000000E+01   1.3204234E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1697353E-02   6.1697353E-02
     6.0000000E+00   8.5125372E+02   1.2650998E+05   7.7684253E-02   2.5000000E+01   1.2657830E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1209187E-02   6.1209187E-02
     7.0000000E+00   8.5125183E+02   1.2147186E+05   7.5813897E-02   2.5000000E+01   1.2153989E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0945649E-02   6.0945649E-02
     8.0000000E+00   8.5125012E+02   1.1685572E+05   7.4072830E-02   2.5000000E+01   1.1692362E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0839348E-02   6.0839348E-02
     9.0000000E+00   8.5124847E+02   1.1264712E+05   7.2461329E-02   2.5000000E+01   1.1271504E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0845591E-02   6.0845591E-02
     1.0000000E+01   8.5124701E+02   1.0881185E+05   7.0984811E-02   2.5000000E+01   1.0887987E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.0931917E-02   6.0931917E-02
     1.1000000E+01   8.5124561E+02   1.0530918E+05   6.9592938E-02   2.5000000E+01   1.0537735E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1072689E-02   6.1072689E-02
     1.2000000E+01   8.5124432E+02   1.0209884E+05   6.8313092E-02   2.5000000E+01   1.0216722E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1260890E-02   6.1260890E-02
     1.3000000E+01   8.5124316E+02   9.9144711E+04   6.7144707E-02   2.5000000E+01   9.9213336E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1482158E-02   6.1482158E-02
     1.4000000E+01   8.5124207E+02   9.6428750E+04   6.6012606E-02   2.5000000E+01   9.6497648E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1723273E-02   6.1723273E-02
     1.5000000E+01   8.5124103E+02   9.3901695E+04   6.4997911E-02   2.5000000E+01   9.3970883E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.1987314E-02   6.1987314E-02
     1.6000000E+01   8.5124005E+02   9.1563781E+04   6.3995399E-02   2.5000000E+01   9.1633281E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.2256984E-02   6.2256984E-02
     1.7000000E+01   8.5123914E+02   8.9462273E+04   6.3110851E-02   2.5000000E+01   8.9532086E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.2542669E-02   6.2542669E-02
     1.8000000E+01   8.5123828E+02   8.7485570E+04   6.2279366E-02   2.5000000E+01   8.7555711E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.2831879E-02   6.2831879E-02
     1.9000000E+01   8.5123749E+02   8.5621695E+04   6.1473414E-02   2.5000000E+01   8.5692164E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.3126005E-02   6.3126005E-02
     2.0000000E+01   8.5123676E+02   8.3859547E+04   6.0711116E-02   2.5000000E+01   8.3930344E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.3429005E-02   6.3429005E-02
     2.1000000E+01   8.5123602E+02   8.2193484E+04   6.0008332E-02   2.5000000E+01   8.2264625E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.3733250E-02   6.3733250E-02
     2.2000000E+01   8.5123535E+02   8.0616062E+04   5.9315030E-02   2.5000000E+01   8.0687539E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.4033806E-02   6.4033806E-02
     2.3000000E+01   8.5123468E+02   7.9116250E+04   5.8629021E-02   2.5000000E+01   7.9188062E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.4333096E-02   6.4333096E-02
     2.4000000E+01   8.5123401E+02   7.7676445E+04   5.7994761E-02   2.5000000E+01   7.7748594E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.4633906E-02   6.4633906E-02
     2.5000000E+01   8.5123340E+02   7.6303789E+04   5.7373505E-02   2.5000000E+01   7.6376266E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.4930297E-02   6.4930297E-02
     2.6000000E+01   8.5123279E+02   7.4987086E+04   5.6775581E-02   2.5000000E+01   7.5059898E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.5224446E-02   6.5224446E-02
     2.7000000E+01   8.5123224E+02   7.3722219E+04   5.6199729E-02   2.5000000E+01   7.3795352E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.5515414E-02   6.5515414E-02
     2.8000000E+01   8.5123169E+02   7.2501609E+04   5.5660192E-02   2.5000000E+01   7.2575062E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.5803692E-02   6.5803692E-02
     2.9000000E+01   8.5123114E+02   7.1335703E+04   5.5104654E-02   2.5000000E+01   7.1409469E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.6084743E-02   6.6084743E-02
     3.0000000E+01   8.5123059E+02   7.0204703E+04   5.4577213E-02   2.5000000E+01   7.0278781E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.6364430E-02   6.6364430E-02
     3.1000000E+01   8.5123010E+02   6.9112781E+04   5.4067012E-02   2.5000000E+01   6.9187172E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.6639498E-02   6.6639498E-02
     3.2000000E+01   8.5122968E+02   6.8242344E+04   5.3657964E-02   2.5000000E+01   6.8317031E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.6904508E-02   6.6904508E-02
     3.3000000E+01   8.5122925E+02   6.7327055E+04   5.3225599E-02   2.5000000E+01   6.7402016E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.7158528E-02   6.7158528E-02
     3.4000000E+01   8.5122882E+02   6.6423055E+04   5.2796263E-02   2.5000000E+01   6.6498297E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.7410208E-02   6.7410208E-02
     3.5000000E+01   8.5122839E+02   6.5539648E+04   5.2374437E-02   2.5000000E+01   6.5615172E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.7658871E-02   6.7658871E-02
     3.6000000E+01   8.5122797E+02   6.4678113E+04   5.1960871E-02   2.5000000E+01   6.4753910E+04   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.2325000E+03   6.7903891E-02   6.7903891E-02
