 "GAGE No.    1:  K,I,J Coord. =     1,   61,   10;  STREAM SEGMENT =    30;  REACH =    29 "
     "DATA: Time           Stage            Flow           Depth           Width      Midpt-Flow         Precip.              ET          Runoff     Conductance        HeadDiff       Hyd.Grad."
     1.0000000E+00   8.0568445E+02   2.0034592E+05   1.7741621E-01   2.5000000E+01   1.9949408E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.2418189E-02  -6.2418189E-02
     2.0000000E+00   8.0569995E+02   2.3126909E+05   1.9296047E-01   2.5000000E+01   2.3036252E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.6428192E-02  -6.6428192E-02
     3.0000000E+00   8.0571204E+02   2.5472067E+05   2.0503916E-01   2.5000000E+01   2.5379644E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.7721032E-02  -6.7721032E-02
     4.0000000E+00   8.0571918E+02   2.6953234E+05   2.1215086E-01   2.5000000E+01   2.6860388E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.8031982E-02  -6.8031982E-02
     5.0000000E+00   8.0572375E+02   2.7905462E+05   2.1676414E-01   2.5000000E+01   2.7812728E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.7948528E-02  -6.7948528E-02
     6.0000000E+00   8.0572656E+02   2.8533591E+05   2.1957311E-01   2.5000000E+01   2.8441128E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.7750774E-02  -6.7750774E-02
     7.0000000E+00   8.0572864E+02   2.8950153E+05   2.2162534E-01   2.5000000E+01   2.8858069E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.7473471E-02  -6.7473471E-02
     8.0000000E+00   8.0572974E+02   2.9214953E+05   2.2271425E-01   2.5000000E+01   2.9123253E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.7192338E-02  -6.7192338E-02
     9.0000000E+00   8.0573083E+02   2.9373722E+05   2.2382911E-01   2.5000000E+01   2.9282394E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.6919059E-02  -6.6919059E-02
     1.0000000E+01   8.0573132E+02   2.9360962E+05   2.2431551E-01   2.5000000E+01   2.9270075E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   2.7295000E+04  -6.6596635E-02  -6.6596635E-02
