"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy","Date"
1,1,794922.0625,0,73680.2969,0,6333.8643,0,458346.125,1333282.375,675442.6875,0,19874.8164,12007.0352,0,7641.6006,618479.125,1333445.25,-162.875,-0.01,1990-10-01
2,1,1453213.125,0,147360.5938,0,12667.7285,0,922041.625,2535283,1184179.5,0,39781.1094,23386.4141,0,15137.4102,1272374.75,2534859.25,423.75,0.02,1990-10-02
3,1,2039409,0,221040.8906,0,19001.5938,0,1370527,3649978.5,1601208,0,59683.5859,34362.9102,0,22491.8633,1931987.125,3649733.5,245,0.01,1990-10-03
4,1,2577451,0,294721.1875,0,25335.457,0,1803892.25,4701400,1956904.25,0,79583.9844,44910.3438,0,29711.6953,2590274,4701384,16,0,1990-10-04
5,1,3080960,0,368401.5,0,31669.3203,0,2223663.75,5704694.5,2268999.25,0,99483.1875,55078.1953,0,36803.6211,3244869.25,5705233.5,-539,-0.01,1990-10-05
6,1,3555807.75,0,442081.8125,0,38003.1836,0,2634751.25,6670644,2548866.75,0,119381.6719,64917.5,0,43775.1289,3894533,6671474,-830,-0.01,1990-10-06
7,1,4006358.5,0,515762.125,0,44337.0469,0,3037765.25,7604223,2802127.25,0,139279.7188,74467.8281,0,50633.1719,4539164,7605672,-1449,-0.02,1990-10-07
8,1,4436006.5,0,589442.4375,0,50670.9102,0,3432355.5,8508476,3031667.75,0,159177.5156,83751.3438,0,57382.5234,5178286,8510265,-1789,-0.02,1990-10-08
9,1,4847424,0,663122.75,0,57004.7734,0,3818589.25,9386141,3240998.5,0,179075.1875,92786.1172,0,64026.3828,5812301,9389187,-3046,-0.03,1990-10-09
10,1,5240600.5,0,736803.0625,0,63338.6367,0,4203200,10243942,3436473.5,0,198972.7969,101606.375,0,70568.6719,6440567.5,10248189,-4247,-0.04,1990-10-10
11,1,5618817,0,810483.375,0,69672.5,0,4583559.5,11082532,3617498.75,0,218870.4062,110233.4219,0,77014.9844,7063673,11087291,-4759,-0.04,1990-10-11
12,1,5983016.5,0,884163.6875,0,76006.3672,0,4958742,11901928,3786027.75,0,238768.0625,118678.1719,0,83367.9766,7681193,11908035,-6107,-0.05,1990-10-12
13,1,6334039,0,957844,0,82340.2344,0,5331435,12705658,3944657.25,0,258665.7969,126949.0547,0,89630.7344,8292792,12712695,-7037,-0.06,1990-10-13
14,1,6675514,0,1031524.3125,0,88674.1016,0,5696771,13492484,4091238.5,0,278563.625,135057.1562,0,95808.25,8899228,13499896,-7412,-0.05,1990-10-14
15,1,7005811,0,1105204.625,0,95007.9688,0,6058159.5,14264183,4229321.5,0,298461.5938,143010.2188,0,101904.1172,9499719,14272416,-8233,-0.06,1990-10-15
16,1,7328066,0,1178884.875,0,101341.8359,0,6416713,15025006,4358471,0,318359.6875,150813.2344,0,107921.2188,10097920,15033485,-8479,-0.06,1990-10-16
17,1,7639355.5,0,1252565.125,0,107675.7031,0,6781853,15781450,4484730,0,338257.9375,158483.2656,0,113864.9922,10695187,15790523,-9073,-0.06,1990-10-17
18,1,7940953.5,0,1326245.375,0,114009.5703,0,7154264,16535473,4606242,0,358156.3438,166024.8906,0,119739.5938,11295467,16545630,-10157,-0.06,1990-10-18
19,1,8235982,0,1399925.625,0,120343.4375,0,7531305.5,17287556,4719536.5,0,378054.9375,173447.1094,0,125548.0391,11901926,17298512,-10956,-0.06,1990-10-19
20,1,8524291,0,1473605.875,0,126677.3047,0,7909245,18033820,4826315,0,397953.7188,180762.25,0,131292.4375,12508556,18044880,-11060,-0.06,1990-10-20
21,1,8805092,0,1547286.125,0,133011.1719,0,8285380,18770768,4927520,0,417852.6875,187977.2812,0,136974.875,13112261,18782586,-11818,-0.06,1990-10-21
22,1,9079102,0,1620966.375,0,139345.0312,0,8661221,19500634,5025387,0,437751.875,195097.0938,0,142598.0781,13712189,19513024,-12390,-0.06,1990-10-22
23,1,9348366,0,1694646.625,0,145678.8906,0,9033620,20222312,5118703.5,0,457651.25,202123.4688,0,148164.375,14308096,20234740,-12428,-0.06,1990-10-23
24,1,9610569,0,1768326.875,0,152012.75,0,9403284,20934192,5208262,0,477550.8438,209059.4844,0,153675.2031,14898898,20947446,-13254,-0.06,1990-10-24
25,1,9866742,0,1842007.125,0,158346.6094,0,9772166,21639262,5295029,0,497450.6875,215908.3594,0,159132.6875,15485312,21652832,-13570,-0.06,1990-10-25
26,1,10117296,0,1915687.375,0,164680.4688,0,10140245,22337908,5379328,0,517350.75,222676.8594,0,164538.0312,16067682,22351576,-13668,-0.06,1990-10-26
27,1,10361959,0,1989367.625,0,171014.3281,0,10506949,23029290,5460805,0,537251.0625,229368.9688,0,169892.5781,16645830,23043148,-13858,-0.06,1990-10-27
28,1,10599373,0,2063047.875,0,177348.1875,0,10878625,23718394,5542109.5,0,557151.625,235988.5938,0,175197.3438,17222280,23732728,-14334,-0.06,1990-10-28
29,1,10832051,0,2136728.25,0,183682.0469,0,11257749,24410210,5623921,0,577052.5,242538.9844,0,180454.1406,17800714,24424680,-14470,-0.06,1990-10-29
30,1,11059851,0,2210408.5,0,190015.9062,0,11641878,25102154,5704134.5,0,596953.625,249023.3438,0,185664.3906,18380898,25116674,-14520,-0.06,1990-10-30
31,1,11282470,0,2284088.75,0,196349.7656,0,12028939,25791848,5780915.5,0,616855.0625,255442.0156,0,190829.875,18962472,25806514,-14666,-0.06,1990-10-31
1,2,11480361,0,2357769,0,207430.0781,0,12487745,26533304,5927117,0,616855.0625,263668.5938,0,191516.1719,19549010,26548168,-14864,-0.06,1990-11-01
2,2,11671029,0,2431449.25,0,218510.3906,0,12959764,27280752,6077247,0,616855.0625,271997.4062,0,192202.3125,20137398,27295700,-14948,-0.05,1990-11-02
3,2,11855623,0,2505129.5,0,229590.7031,0,13442493,28032836,6232483,0,616855.0625,280396.2188,0,192887.9688,20725208,28047830,-14994,-0.05,1990-11-03
4,2,12034525,0,2578809.75,0,240671.0156,0,13927501,28781508,6385542,0,616855.0625,288835.0312,0,193572.8281,21311738,28796544,-15036,-0.05,1990-11-04
5,2,12207414,0,2652490,0,251751.3281,0,14420454,29532108,6541475,0,616855.0625,297300.5,0,194256.6562,21897580,29547468,-15360,-0.05,1990-11-05
6,2,12374346,0,2726170.25,0,262831.6562,0,14914827,30278176,6690307.5,0,616855.0625,305793.0312,0,194939.2344,22486222,30294116,-15940,-0.05,1990-11-06
7,2,12535264,0,2799850.5,0,273911.9688,0,15418656,31027682,6841544.5,0,616855.0625,314297.5625,0,195620.375,23075440,31043758,-16076,-0.05,1990-11-07
8,2,12690392,0,2873530.75,0,284992.2812,0,15925522,31774436,6990796.5,0,616855.0625,322803.0625,0,196299.9688,23663924,31790678,-16242,-0.05,1990-11-08
9,2,12840289,0,2947211,0,296072.5938,0,16432362,32515936,7136127,0,616855.0625,331301.9062,0,196977.8906,24251000,32532262,-16326,-0.05,1990-11-09
10,2,12984948,0,3020891.25,0,307152.9062,0,16939328,33252320,7278296,0,616855.0625,339790.3438,0,197654.0156,24836354,33268948,-16628,-0.05,1990-11-10
11,2,13126289,0,3094571.5,0,318233.2188,0,17443000,33982092,7415122,0,616855.0625,348266.5625,0,198328.25,25420196,33998768,-16676,-0.05,1990-11-11
12,2,13263192,0,3168251.75,0,329313.5312,0,17948810,34709568,7551758.5,0,616855.0625,356728.6875,0,199000.5312,26002086,34726428,-16860,-0.05,1990-11-12
13,2,13396034,0,3241932,0,340393.8438,0,18456776,35435136,7688167,0,616855.0625,365173.4688,0,199670.8125,26582168,35452032,-16896,-0.05,1990-11-13
14,2,13525011,0,3315612.25,0,351474.1562,0,18966900,36159000,7824681.5,0,616855.0625,373597.2812,0,200339.0625,27160472,36175944,-16944,-0.05,1990-11-14
15,2,13649996,0,3389292.5,0,362554.4688,0,19480450,36882292,7961685,0,616855.0625,382001.875,0,201005.2969,27737906,36899452,-17160,-0.05,1990-11-15
16,2,13771518,0,3462972.75,0,373634.7812,0,20010510,37618632,8111383,0,616855.0625,390387.9688,0,201669.4219,28315828,37636124,-17492,-0.05,1990-11-16
17,2,13890027,0,3536653,0,384715.0938,0,20549156,38360552,8265946.5,0,616855.0625,398755.75,0,202331.4062,28894182,38378072,-17520,-0.05,1990-11-17
18,2,14005352,0,3610333.25,0,395795.4062,0,21084386,39095868,8413845,0,616855.0625,407102.5625,0,202991.2344,29472612,39113408,-17540,-0.04,1990-11-18
19,2,14117856,0,3684013.5,0,406875.7188,0,21615476,39824224,8555680,0,616855.0625,415427.4375,0,203648.9062,30050544,39842156,-17932,-0.05,1990-11-19
20,2,14227145,0,3757693.75,0,417956.0312,0,22144794,40547588,8693294,0,616855.0625,423729.6562,0,204304.3906,30627370,40565552,-17964,-0.04,1990-11-20
21,2,14336636,0,3831374,0,429036.3438,0,22659736,41256784,8817524,0,616855.0625,432008.625,0,204957.6406,31203482,41274828,-18044,-0.04,1990-11-21
22,2,14444180,0,3905054.25,0,440116.6562,0,23169290,41958640,8935631,0,616855.0625,440262.5,0,205608.625,31778412,41976768,-18128,-0.04,1990-11-22
23,2,14547550,0,3978734.5,0,451196.9688,0,23684244,42661724,9055657,0,616855.0625,448490.5,0,206257.3281,32352828,42680088,-18364,-0.04,1990-11-23
