"kstp","kper","storage_in","constant_head_in","wells_in","drno_drains_in","recharge_in","et_segments_in","stream_leakage_in","total_in","storage_out","constant_head_out","wells_out","drno_drains_out","recharge_out","et_segments_out","stream_leakage_out","total_out","difference","discrepancy","Date"
1,1,794922.0625,0,73680.2969,0,6333.8643,0,458346.125,1333282.375,675442.6875,0,19874.8164,12007.0352,0,7641.6006,618479.125,1333445.25,-162.875,-0.01,1990-10-01
2,1,658291.0625,0,73680.2969,0,6333.8643,0,463695.4688,1202000.75,508736.7812,0,19906.291,11379.3799,0,7495.8101,653895.5625,1201413.75,587,0.05,1990-10-02
3,1,586195.875,0,73680.2969,0,6333.8643,0,448485.375,1114695.5,417028.5,0,19902.4785,10976.4951,0,7354.4521,659612.375,1114874.25,-178.75,-0.02,1990-10-03
4,1,538042.125,0,73680.2969,0,6333.8643,0,433365.1875,1051421.5,355696.1875,0,19900.4004,10547.4326,0,7219.8315,658286.875,1051650.75,-229.25,-0.02,1990-10-04
5,1,503508.9375,0,73680.2969,0,6333.8643,0,419771.4375,1003294.5625,312094.9062,0,19899.1992,10167.8506,0,7091.9263,654595.1875,1003849.0625,-554.5,-0.06,1990-10-05
6,1,474847.75,0,73680.2969,0,6333.8643,0,411087.5625,965949.5,279867.4375,0,19898.4824,9839.3027,0,6971.5068,649663.875,966240.625,-291.125,-0.03,1990-10-06
7,1,450550.7188,0,73680.2969,0,6333.8643,0,403014,933578.875,253260.4531,0,19898.0527,9550.3242,0,6858.0439,644631.25,934198.125,-619.25,-0.07,1990-10-07
8,1,429648.0938,0,73680.2969,0,6333.8643,0,394590.25,904252.5,229540.5156,0,19897.8008,9283.5176,0,6749.3516,639121.75,904592.9375,-340.4375,-0.04,1990-10-08
9,1,411417.4062,0,73680.2969,0,6333.8643,0,386233.75,877665.3125,209330.7969,0,19897.666,9034.7725,0,6643.8599,634014.9375,878922,-1256.6875,-0.14,1990-10-09
10,1,393176.5938,0,73680.2969,0,6333.8643,0,384610.625,857801.375,195475.0625,0,19897.6133,8820.2549,0,6542.293,628266.375,859001.625,-1200.25,-0.14,1990-10-10
11,1,378216.3438,0,73680.2969,0,6333.8643,0,380359.625,838590.125,181025.2812,0,19897.6172,8627.043,0,6446.3154,623105.3125,839101.5625,-511.4375,-0.06,1990-10-11
12,1,364199.625,0,73680.2969,0,6333.8643,0,375182.5625,819396.375,168529,0,19897.6621,8444.748,0,6352.9897,617519.9375,820744.3125,-1347.9375,-0.16,1990-10-12
13,1,351022.4375,0,73680.2969,0,6333.8643,0,372693.0312,803729.625,158629.4844,0,19897.7383,8270.8809,0,6262.7603,611599.1875,804660.0625,-930.4375,-0.12,1990-10-13
14,1,341475.1875,0,73680.2969,0,6333.8643,0,365336,786825.375,146581.125,0,19897.8398,8108.1064,0,6177.5132,606435.625,787200.25,-374.875,-0.05,1990-10-14
15,1,330297.1875,0,73680.2969,0,6333.8643,0,361388.3125,771699.6875,138082.7969,0,19897.9629,7953.0698,0,6095.8662,600491.4375,772521.125,-821.4375,-0.11,1990-10-15
16,1,322254.9062,0,73680.2969,0,6333.8643,0,358553.25,760822.3125,129149.5938,0,19898.0996,7803.0137,0,6017.1055,598201.1875,761069,-246.6875,-0.03,1990-10-16
17,1,311289.625,0,73680.2969,0,6333.8643,0,365140,756443.8125,126258.9062,0,19898.252,7670.0342,0,5943.771,597267.1875,757038.125,-594.3125,-0.08,1990-10-17
18,1,301598.125,0,73680.2969,0,6333.8643,0,372410.9062,754023.25,121512.0156,0,19898.416,7541.627,0,5874.6016,600280.0625,755106.75,-1083.5,-0.14,1990-10-18
19,1,295028.3125,0,73680.2969,0,6333.8643,0,377041.4688,752084,113294.4922,0,19898.5898,7422.2217,0,5808.4443,606459.3125,752883.0625,-799.0625,-0.11,1990-10-19
20,1,288308.8125,0,73680.2969,0,6333.8643,0,377939.3438,746262.375,106778.4453,0,19898.7754,7315.1406,0,5744.3921,606630.3125,746367.0625,-104.6875,-0.01,1990-10-20
21,1,280801.125,0,73680.2969,0,6333.8643,0,376135.2188,736950.5,101205.0391,0,19898.9707,7215.0347,0,5682.438,603704.9375,737706.4375,-755.9375,-0.1,1990-10-21
22,1,274009.75,0,73680.2969,0,6333.8643,0,375841.4375,729865.375,97867.2422,0,19899.1738,7119.811,0,5623.2017,599928.125,730437.5625,-572.1875,-0.08,1990-10-22
23,1,269264.4062,0,73680.2969,0,6333.8643,0,372399,721677.5625,93316.5781,0,19899.3848,7026.3701,0,5566.2891,595907.4375,721716.0625,-38.5,-0.01,1990-10-23
24,1,262203.125,0,73680.2969,0,6333.8643,0,369663.9375,711881.25,89558.3438,0,19899.6055,6936.02,0,5510.8345,590801.75,712706.5625,-825.3125,-0.12,1990-10-24
25,1,256172.5625,0,73680.2969,0,6333.8643,0,368882.4688,705069.25,86766.8203,0,19899.8359,6848.8726,0,5457.4854,586413.875,705386.875,-317.625,-0.05,1990-10-25
26,1,250554.2188,0,73680.2969,0,6333.8643,0,368079.2812,698647.625,84299.1953,0,19900.0742,6768.5073,0,5405.3418,582370.5,698743.625,-96,-0.01,1990-10-26
