stress_period,year,month,month_num,wy,wy_month_num,first_day_of_month,days_in_month
1,1990,oct,10,1991,1,10/1/1990,30
2,1990,nov,11,1991,2,11/1/1990,31
3,1990,dec,12,1991,3,12/1/1990,30
4,1991,jan,1,1991,4,1/1/1991,31
5,1991,feb,2,1991,5,2/1/1991,31
6,1991,mar,3,1991,6,3/1/1991,28
7,1991,apr,4,1991,7,4/1/1991,31
8,1991,may,5,1991,8,5/1/1991,30
9,1991,jun,6,1991,9,6/1/1991,31
10,1991,jul,7,1991,10,7/1/1991,30
11,1991,aug,8,1991,11,8/1/1991,31
12,1991,sept,9,1991,12,9/1/1991,31
13,1991,oct,10,1992,1,10/1/1991,30
14,1991,nov,11,1992,2,11/1/1991,31
15,1991,dec,12,1992,3,12/1/1991,30
16,1992,jan,1,1992,4,1/1/1992,31
17,1992,feb,2,1992,5,2/1/1992,31
18,1992,mar,3,1992,6,3/1/1992,29
19,1992,apr,4,1992,7,4/1/1992,31
20,1992,may,5,1992,8,5/1/1992,30
21,1992,jun,6,1992,9,6/1/1992,31
22,1992,jul,7,1992,10,7/1/1992,30
23,1992,aug,8,1992,11,8/1/1992,31
24,1992,sept,9,1992,12,9/1/1992,31
25,1992,oct,10,1993,1,10/1/1992,30
26,1992,nov,11,1993,2,11/1/1992,31
27,1992,dec,12,1993,3,12/1/1992,30
28,1993,jan,1,1993,4,1/1/1993,31
29,1993,feb,2,1993,5,2/1/1993,31
30,1993,mar,3,1993,6,3/1/1993,28
31,1993,apr,4,1993,7,4/1/1993,31
32,1993,may,5,1993,8,5/1/1993,30
33,1993,jun,6,1993,9,6/1/1993,31
34,1993,jul,7,1993,10,7/1/1993,30
35,1993,aug,8,1993,11,8/1/1993,31
36,1993,sept,9,1993,12,9/1/1993,31
37,1993,oct,10,1994,1,10/1/1993,30
38,1993,nov,11,1994,2,11/1/1993,31
39,1993,dec,12,1994,3,12/1/1993,30
40,1994,jan,1,1994,4,1/1/1994,31
41,1994,feb,2,1994,5,2/1/1994,31
42,1994,mar,3,1994,6,3/1/1994,28
43,1994,apr,4,1994,7,4/1/1994,31
44,1994,may,5,1994,8,5/1/1994,30
45,1994,jun,6,1994,9,6/1/1994,31
46,1994,jul,7,1994,10,7/1/1994,30
47,1994,aug,8,1994,11,8/1/1994,31
48,1994,sept,9,1994,12,9/1/1994,31
49,1994,oct,10,1995,1,10/1/1994,30
50,1994,nov,11,1995,2,11/1/1994,31
51,1994,dec,12,1995,3,12/1/1994,30
52,1995,jan,1,1995,4,1/1/1995,31
53,1995,feb,2,1995,5,2/1/1995,31
54,1995,mar,3,1995,6,3/1/1995,28
55,1995,apr,4,1995,7,4/1/1995,31
56,1995,may,5,1995,8,5/1/1995,30
57,1995,jun,6,1995,9,6/1/1995,31
58,1995,jul,7,1995,10,7/1/1995,30
59,1995,aug,8,1995,11,8/1/1995,31
60,1995,sept,9,1995,12,9/1/1995,31
61,1995,oct,10,1996,1,10/1/1995,30
62,1995,nov,11,1996,2,11/1/1995,31
63,1995,dec,12,1996,3,12/1/1995,30
64,1996,jan,1,1996,4,1/1/1996,31
65,1996,feb,2,1996,5,2/1/1996,31
66,1996,mar,3,1996,6,3/1/1996,29
67,1996,apr,4,1996,7,4/1/1996,31
68,1996,may,5,1996,8,5/1/1996,30
69,1996,jun,6,1996,9,6/1/1996,31
70,1996,jul,7,1996,10,7/1/1996,30
71,1996,aug,8,1996,11,8/1/1996,31
72,1996,sept,9,1996,12,9/1/1996,31
73,1996,oct,10,1997,1,10/1/1996,30
74,1996,nov,11,1997,2,11/1/1996,31
75,1996,dec,12,1997,3,12/1/1996,30
76,1997,jan,1,1997,4,1/1/1997,31
77,1997,feb,2,1997,5,2/1/1997,31
78,1997,mar,3,1997,6,3/1/1997,28
79,1997,apr,4,1997,7,4/1/1997,31
80,1997,may,5,1997,8,5/1/1997,30
81,1997,jun,6,1997,9,6/1/1997,31
82,1997,jul,7,1997,10,7/1/1997,30
83,1997,aug,8,1997,11,8/1/1997,31
84,1997,sept,9,1997,12,9/1/1997,31
85,1997,oct,10,1998,1,10/1/1997,30
86,1997,nov,11,1998,2,11/1/1997,31
87,1997,dec,12,1998,3,12/1/1997,30
88,1998,jan,1,1998,4,1/1/1998,31
89,1998,feb,2,1998,5,2/1/1998,31
90,1998,mar,3,1998,6,3/1/1998,28
91,1998,apr,4,1998,7,4/1/1998,31
92,1998,may,5,1998,8,5/1/1998,30
93,1998,jun,6,1998,9,6/1/1998,31
94,1998,jul,7,1998,10,7/1/1998,30
