rowcol Oct-1990 Nov-1990 Dec-1990 Jan-1991 Feb-1991 Mar-1991 Apr-1991 May-1991 Jun-1991 Jul-1991 Aug-1991 Sep-1991 Oct-1991 Nov-1991 Dec-1991 Jan-1992 Feb-1992 Mar-1992 Apr-1992 May-1992 Jun-1992 Jul-1992 Aug-1992 Sep-1992 Oct-1992 Nov-1992 Dec-1992 Jan-1993 Feb-1993 Mar-1993 Apr-1993 May-1993 Jun-1993 Jul-1993 Aug-1993 Sep-1993 Oct-1993 Nov-1993 Dec-1993 Jan-1994 Feb-1994 Mar-1994 Apr-1994 May-1994 Jun-1994 Jul-1994 Aug-1994 Sep-1994 Oct-1994 Nov-1994 Dec-1994 Jan-1995 Feb-1995 Mar-1995 Apr-1995 May-1995 Jun-1995 Jul-1995 Aug-1995 Sep-1995 Oct-1995 Nov-1995 Dec-1995 Jan-1996 Feb-1996 Mar-1996 Apr-1996 May-1996 Jun-1996 Jul-1996 Aug-1996 Sep-1996 Oct-1996 Nov-1996 Dec-1996 Jan-1997 Feb-1997 Mar-1997 Apr-1997 May-1997 Jun-1997 Jul-1997 Aug-1997 Sep-1997 Oct-1997 Nov-1997 Dec-1997 Jan-1998 Feb-1998 Mar-1998 Apr-1998 May-1998 Jun-1998 Jul-1998 Aug-1998 Sep-1998 Oct-1998 Nov-1998 Dec-1998 Jan-1999 Feb-1999 Mar-1999 Apr-1999 May-1999 Jun-1999 Jul-1999 Aug-1999 Sep-1999 Oct-1999 Nov-1999 Dec-1999 Jan-2000 Feb-2000 Mar-2000 Apr-2000 May-2000 Jun-2000 Jul-2000 Aug-2000 Sep-2000 Oct-2000 Nov-2000 Dec-2000 Jan-2001 Feb-2001 Mar-2001 Apr-2001 May-2001 Jun-2001 Jul-2001 Aug-2001 Sep-2001 Oct-2001 Nov-2001 Dec-2001 Jan-2002 Feb-2002 Mar-2002 Apr-2002 May-2002 Jun-2002 Jul-2002 Aug-2002 Sep-2002 Oct-2002 Nov-2002 Dec-2002 Jan-2003 Feb-2003 Mar-2003 Apr-2003 May-2003 Jun-2003 Jul-2003 Aug-2003 Sep-2003 Oct-2003 Nov-2003 Dec-2003 Jan-2004 Feb-2004 Mar-2004 Apr-2004 May-2004 Jun-2004 Jul-2004 Aug-2004 Sep-2004 Oct-2004 Nov-2004 Dec-2004 Jan-2005 Feb-2005 Mar-2005 Apr-2005 May-2005 Jun-2005 Jul-2005 Aug-2005 Sep-2005 Oct-2005 Nov-2005 Dec-2005 Jan-2006 Feb-2006 Mar-2006 Apr-2006 May-2006 Jun-2006 Jul-2006 Aug-2006 Sep-2006 Oct-2006 Nov-2006 Dec-2006 Jan-2007 Feb-2007 Mar-2007 Apr-2007 May-2007 Jun-2007 Jul-2007 Aug-2007 Sep-2007 Oct-2007 Nov-2007 Dec-2007 Jan-2008 Feb-2008 Mar-2008 Apr-2008 May-2008 Jun-2008 Jul-2008 Aug-2008 Sep-2008 Oct-2008 Nov-2008 Dec-2008 Jan-2009 Feb-2009 Mar-2009 Apr-2009 May-2009 Jun-2009 Jul-2009 Aug-2009 Sep-2009 Oct-2009 Nov-2009 Dec-2009 Jan-2010 Feb-2010 Mar-2010 Apr-2010 May-2010 Jun-2010 Jul-2010 Aug-2010 Sep-2010 Oct-2010 Nov-2010 Dec-2010 Jan-2011 Feb-2011 Mar-2011 Apr-2011 May-2011 Jun-2011 Jul-2011 Aug-2011 Sep-2011
428183 12715 53738 62137 103530 182520 261520 188520 259510 107530 0 0 0 0 43041 117530 105540 271510 265510 443490 173520 0 0 0 0 46040 74337 134540 335520 411500 951450 677470 889460 617480 48234 0 0 44236 70636 127530 179530 180520 241520 189520 223520 0 0 0 0 0 0 50939 868480 1009400 1089400 805460 852460 625470 227520 0 0 43936 79135 599500 693490 1269400 758460 765470 722470 250510 0 0 0 38937 637480 1289400 1589400 640470 474490 496490 285510 85934 0 19512 31533 74038 144530 179530 787470 867450 1189400 732470 825460 801460 272510 0 0 78837 400520 512490 619490 843460 801460 665470 747460 553480 46334 0 0 46038 145530 180520 527500 619480 639480 753470 536480 345500 0 0 0 33738 75236 87036 88336 111530 264520 170530 162530 0 0 0 0 0 57948 265520 600480 409500 363500 546490 345500 162520 0 0 0 0 81443 638500 999450 653480 654480 806460 724470 452490 70035 0 0 43536 97536 262520 350510 611500 647480 560480 471490 158520 0 0 0 31440 83236 289520 371500 368530 470490 557480 696470 620470 65934 0 0 18500 173530 1339400 1429400 1129400 611480 727470 1039400 519480 12501 0 0 33735 122540 327520 258520 312520 579480 367500 382500 0 0 0 0 84740 93534 156530 215530 248530 403500 555480 682470 486490 0 0 0 27634 215520 86736 147530 201530 513490 629470 486490 224520 0 0 0 58639 67438 85636 330520 345510 526490 706470 574480 733460 177520 0 0 82446 249520 562490 505490 335510 693480 966450 862460 736460 348500 9039 0
428182 5462 47105 55501 96897 175890 254890 181890 252870 100890 0 0 0 0 36418 110900 98904 264870 258880 436850 166880 0 0 0 0 39413 67703 127920 328900 404850 944810 670830 882830 610830 41593 0 0 37600 63999 120910 172900 173880 234870 182880 216880 0 0 0 0 0 0 44311 861890 1002800 1082800 798830 845810 618830 220880 0 0 37297 72496 592910 686890 1262800 751820 758830 715820 243870 0 0 0 32306 630860 1282900 1582800 633830 467850 489840 278870 79296 0 12827 24898 67408 137910 172890 780860 860800 1182800 725820 818830 794820 265870 0 0 72203 393920 505850 612870 836810 794820 658820 740820 546830 39693 0 0 39406 138910 173890 520890 612830 632840 746830 529840 338860 0 0 0 27111 68599 80400 81702 104890 257880 163890 155880 0 0 0 0 0 51346 258910 593860 402870 356860 539850 338860 155880 0 0 0 0 74829 631940 992820 646850 647850 799830 717820 445840 63398 0 0 36897 90907 255900 343880 604910 640830 553840 464850 151880 0 0 0 24819 76601 282910 364870 361980 463850 550840 689840 613820 59293 0 0 11777 166920 1332900 1422800 1122800 604840 720820 1032800 512830 5215 0 0 27097 115920 320900 251880 305890 572830 360860 375860 0 0 0 0 78116 86898 149910 208920 241920 396850 548840 675830 479840 0 0 0 20998 208890 80103 140890 194910 506850 622830 479860 217880 0 0 0 52009 60806 79003 323900 338890 519850 699840 567830 726810 170880 0 0 75841 242880 555880 498850 328880 686860 959800 855820 729820 341860 0 0
428181 3862 47024 55419 96826 175840 254870 181830 252840 100820 0 0 0 0 36344 110850 98841 264830 258840 436850 166820 0 0 0 0 39336 67627 127890 328910 404840 944870 670870 882900 610840 41500 0 0 37511 63919 120860 172850 173820 234830 182820 216840 0 0 0 0 0 0 44234 862020 1002900 1082900 798880 845860 618850 220840 0 0 37205 72417 592990 686980 1262900 751860 758870 715860 243820 0 0 0 32220 630920 1283000 1583000 633840 467850 489840 278830 79221 0 12612 24805 67336 137860 172840 780940 860850 1182900 725850 818890 794860 265820 0 0 72129 393970 505860 612920 836850 794860 658840 740850 546830 39600 0 0 39322 138870 173840 520940 612850 632870 746880 529840 338830 0 0 0 27029 68520 80327 81630 104820 257860 163830 155820 0 0 0 0 0 51302 258900 593890 402860 356830 539860 338830 155810 0 0 0 0 74780 632070 992900 646900 647890 799890 717850 445830 63318 0 0 36805 90843 255890 343870 605000 640860 553840 464840 151810 0 0 0 24743 76527 282910 364860 362070 463850 550850 689870 613840 59207 0 0 11479 166900 1333100 1423000 1122900 604870 720850 1032900 512830 3537 0 0 27002 115870 320910 251850 305890 572840 360830 375840 0 0 0 0 78056 86825 149860 208910 241920 396840 548840 675850 479830 0 0 0 20904 208850 80033 140830 194890 506860 622840 479870 217840 0 0 0 51933 60731 78932 323910 338880 519860 699880 567840 726840 170820 0 0 75803 242850 555930 498850 328870 686920 959860 855870 729850 341830 0 0
428180 1045 48279 56662 98033 176990 255980 182980 253940 102020 0 0 0 0 37622 112050 100050 265920 259940 437850 167970 0 0 0 0 40606 68861 129100 330000 405850 945680 671770 883730 611770 42751 0 0 38772 65153 122060 174010 174970 235940 183960 217960 0 0 0 0 0 0 45497 862930 1003600 1083700 799740 846700 619770 221960 0 0 38462 73641 593990 687940 1263600 752730 759740 716740 244920 0 0 0 33491 631870 1283800 1583600 634760 468840 490820 279910 80442 0 13593 26080 68576 139050 173990 781840 861680 1183600 726730 819750 795720 266910 0 0 73361 395060 506830 613870 837690 795710 659750 741720 547780 40852 0 0 40586 140070 174990 521960 613770 633790 747760 530800 339880 0 0 0 28312 69750 81549 82853 106020 258960 164980 156980 0 0 0 0 0 52591 260030 594850 403890 357870 540820 339880 156970 0 0 0 0 76034 633090 993710 647830 648820 800760 718720 446820 64553 0 0 38062 92064 257010 344940 606000 641780 554790 465830 152970 0 0 0 26036 77752 284030 365910 363220 464840 551800 690780 614760 60441 0 0 12264 168090 1333800 1423700 1123600 605810 721740 1033600 513790 520 0 0 28271 117090 322010 252960 306990 573780 361870 376870 0 0 0 0 79295 88040 151050 210070 243070 397850 549790 676750 480810 0 0 0 22182 209990 81258 142010 196060 507830 623760 480860 218960 0 0 0 53187 61974 80158 325000 339960 520830 700790 568780 727720 171960 0 0 77068 243960 556920 499830 329940 687840 960650 856710 730730 342870 0 0
428179 0 40501 48871 90202 169100 248060 175080 245990 94184 0 0 0 0 29870 104220 92228 257960 252000 429810 160080 0 0 0 0 32846 61061 121270 322050 397820 937430 663630 875520 603640 34969 0 0 31001 57353 114220 166130 167070 228000 176060 210040 0 0 0 0 0 0 37729 854790 995350 1075500 791550 838490 611640 214030 0 0 30688 65831 585950 679840 1255200 744550 751560 708580 236970 0 0 0 25733 623770 1275500 1575200 626620 460780 482750 271950 72627 0 4963 18326 60781 131200 166100 773690 853450 1175300 718550 811550 787520 258950 0 0 65557 387100 498760 605780 829470 787510 651600 733530 539680 33073 0 0 32818 132220 167100 513920 605640 625670 739600 522710 331880 0 0 0 20566 61945 73735 75039 98177 251030 157100 149100 0 0 0 0 0 44850 252110 586760 395880 349870 532740 331880 149080 0 0 0 0 68254 625070 985450 639720 640700 792580 710550 438770 56754 0 0 30289 84248 249090 336960 597960 633650 546690 457770 145090 0 0 0 18301 69942 276110 357910 355330 456780 543710 682630 606630 52641 0 0 3077 160240 1325500 1415300 1115300 597700 713570 1025300 505710 0 0 0 20511 109260 314070 245030 299040 565670 353860 368850 0 0 0 0 71498 80218 143190 202200 235180 389830 541700 668600 472740 0 0 0 14433 202080 73448 134140 188180 499760 615630 472810 211040 0 0 0 45408 54184 72348 317050 331990 512750 692640 560680 719540 164060 0 0 69298 236030 548860 491760 321960 679720 952380 848490 722550 334870 0 0
428178 0 32451 40825 82196 161160 240190 167150 238110 86178 0 0 0 0 21822 96235 84232 250080 244120 422050 152130 0 0 0 0 24796 53029 113320 314260 390030 929910 655990 868000 595970 26902 0 0 22936 49314 106250 158200 159120 220100 168120 202130 0 0 0 0 0 0 29681 847320 987850 1068000 783980 830930 603970 206130 0 0 22619 57798 578340 672280 1247800 736950 743970 700950 229080 0 0 0 17670 616140 1268200 1567900 618950 453030 475010 264080 64604 0 0 10253 52755 123250 158160 766140 845890 1167900 710930 804000 779940 251070 0 0 57531 379380 491030 598150 821910 779930 643940 725920 531960 25005 0 0 24760 124270 159160 506260 597960 618010 732000 514980 324050 0 0 0 12506 53911 65715 67022 90174 243160 149150 141140 0 0 0 0 0 36846 244270 579100 388100 342050 525030 324050 141120 0 0 0 0 60259 617530 977980 632090 633060 785010 702920 431000 48715 0 0 22220 76246 241230 329160 590360 625990 538980 450020 137120 0 0 0 10248 61919 268290 350100 347650 449030 536000 675010 598950 44592 0 0 0 152330 1318300 1408000 1107900 590030 705940 1017800 497970 0 0 0 12435 101300 306270 237150 291220 557970 346040 361040 0 0 0 0 63493 72203 135250 194320 227340 382030 533990 660960 464990 0 0 0 6359 194180 65431 126180 180290 492040 607960 465080 203140 0 0 0 37367 46148 64329 309250 324180 505030 685030 552970 711920 156110 0 0 61317 228150 541200 484030 314140 672110 944870 840940 714940 327040 0 0
428177 10029 48091 56466 97859 176860 255940 182850 253830 101840 0 0 0 0 37472 111920 99905 265800 259860 437830 167820 0 0 0 0 40441 68680 129030 330050 405800 945830 671850 883910 611790 42528 0 0 38565 64958 121940 173910 174810 235820 183810 217840 0 0 0 0 0 0 45327 863310 1003800 1084000 799870 846820 619800 221850 0 0 38244 73445 594250 688210 1263800 752820 759840 716810 244790 0 0 0 33302 632010 1284300 1584000 634780 468820 490810 279800 80258 0 14441 25876 68412 138950 173860 782070 861770 1183900 726780 819890 795820 266800 0 0 73186 395230 506840 614020 837790 795800 659780 741770 547770 40629 0 0 40397 139980 174860 522130 613790 633850 747880 530790 339800 4376 0 0 28142 69558 81372 82682 105840 258900 164840 156820 0 0 0 0 0 52539 260030 594950 403880 357800 540850 339800 156800 0 0 0 0 75947 633510 993920 647950 648920 800910 718770 446770 64361 3798 0 37844 91917 256990 344930 606280 641830 554790 465810 152800 0 0 0 25893 77574 284070 365880 363550 464820 551820 690870 614770 60229 0 0 13710 168060 1334400 1424100 1123900 605870 721800 1033800 513770 9870 0 0 28054 117000 322070 252890 307000 573780 361790 376800 5984 0 0 0 79167 87861 150960 210080 243120 397800 549800 676810 480770 0 0 0 21977 209900 81091 141860 196030 507850 623790 480890 218860 0 0 0 53015 61799 79988 325040 339960 520840 700900 568790 727770 171800 0 0 77020 243880 557060 499830 329910 688000 960770 856840 730800 342790 8243 0
427177 10726 49337 57709 99091 178070 257140 184060 255030 103070 0 0 0 0 38723 113150 101140 267000 261060 439000 169030 0 0 0 0 41691 69921 130260 331250 406970 946940 672990 885030 612940 43774 0 0 39813 66199 123170 175130 176030 237020 185030 219050 0 0 0 0 0 0 46575 864450 1004900 1085100 801000 847940 620950 223050 0 0 39491 74683 595420 689360 1264800 753950 760980 717950 245990 0 0 0 34553 633170 1285400 1585100 635930 469990 491970 281000 81495 0 15592 27128 69654 140170 175080 783200 862890 1185000 727920 821020 796950 268000 0 0 74425 396420 508010 615180 838910 796930 660920 742910 548930 41875 0 0 41645 141210 176070 523300 614940 635000 749020 531950 340990 4338 0 0 29395 70798 82609 83918 107070 260100 166060 158040 0 0 0 0 0 53791 261240 596110 405060 358980 542010 340990 158020 0 0 0 0 77190 634670 995030 649100 650070 802040 719910 447950 65602 3668 0 39092 93153 258200 346120 607450 642980 555950 466980 154020 0 0 0 27148 78812 285270 367060 364760 465980 552970 692010 615920 61470 0 0 14795 169290 1335500 1425100 1125000 607030 722940 1034900 514930 10549 0 0 29305 118230 323260 254090 308190 574940 362980 377980 6167 0 0 0 80407 89096 152180 211300 244330 398980 550950 677950 481940 0 0 0 23230 211110 82329 143090 197250 509010 624930 482060 220060 0 0 0 54261 63042 81226 326240 341150 522010 702040 569940 728910 173010 0 0 78265 245080 558230 501000 331100 689150 961880 857960 731930 343970 8722 0
427176 12998 53189 61560 102960 181960 261060 187950 258930 106940 0 0 0 0 42583 117030 105010 270890 264960 442930 172910 0 0 0 0 45548 73780 134170 335200 410880 950920 676940 889020 616880 47611 0 0 43654 70053 127060 179020 179900 240910 188900 222940 0 0 0 0 0 0 50432 868510 1008800 1089200 804970 851900 624880 226950 0 0 43328 78537 599440 693380 1268800 757910 764940 721900 249880 0 0 0 38397 637150 1289400 1589200 639860 473910 495900 284890 85355 0 19124 30960 73519 144070 178960 787210 866850 1189000 731870 825000 800910 271890 0 0 78288 400410 511940 619150 842870 800890 664860 746850 552850 45712 0 0 45494 145110 179960 527280 618870 638950 752980 535870 344890 3697 0 0 33242 74653 86472 87783 110930 264010 169940 161910 0 0 0 0 0 57691 265170 600070 408990 362890 545950 344890 161890 0 0 0 0 81084 638740 999030 653080 654030 806020 723850 451860 69456 2106 0 42929 97028 262120 350050 611470 646930 559880 470900 157890 0 0 0 31002 82673 289220 370980 368810 469910 556910 695970 619850 65317 0 0 18139 173210 1339600 1429200 1129000 610980 726890 1038800 518850 12767 0 0 33135 122130 327210 257990 312130 578860 366880 381890 6673 0 0 0 84287 92959 156080 215230 248270 402890 554880 681890 485860 0 0 0 27058 215010 86195 146960 201170 512950 628870 486000 223960 0 0 0 58119 66902 85091 330180 345090 525940 706010 573870 732850 176890 0 0 82173 248980 562210 504930 335020 693130 965850 861930 735880 347880 10390 0
427175 13593 54208 62571 103940 182900 261980 188890 259830 107920 0 0 0 0 43621 118010 106000 271790 265860 443760 173850 0 0 0 0 46579 74785 135170 336110 411720 951590 677700 889720 617650 48623 0 0 44674 71057 128040 179970 180840 241820 189840 223860 0 0 0 0 0 0 51458 869280 1009500 1089800 805690 852600 625650 227870 0 0 44345 79534 600280 694190 1269400 758630 765660 722630 250780 0 0 0 39426 637940 1290100 1589700 640620 474730 496710 285780 86350 0 20079 31989 74529 145050 179910 787970 867530 1189600 732590 825720 801630 272780 0 0 79291 401320 512750 619960 843560 801600 665610 747580 553630 46725 0 0 46518 146090 180900 528130 619640 639720 753720 536660 345750 260 0 0 34280 75654 87468 88780 111910 264920 170880 162860 0 0 0 0 0 58747 266110 600870 409840 363750 546740 345750 162830 0 0 0 0 82111 639620 999710 653860 654810 806750 724580 452680 70461 0 0 43946 98025 263050 350930 612320 647690 560660 471720 158830 0 0 0 32049 83672 290140 371850 369780 470730 557700 696730 620610 66319 0 0 19035 174190 1340300 1429800 1129600 611760 727620 1039500 519650 13342 0 0 34159 123130 328130 258910 313040 579640 367730 382740 5500 0 0 0 85299 93950 157050 216190 249230 403730 555670 682640 486660 0 0 0 28087 215940 87194 147930 202130 513760 629630 486820 224880 0 0 0 59139 67914 86091 331090 345980 526750 706760 574650 733580 177830 0 0 83211 249900 563040 505740 335910 693910 966510 862630 736610 348740 10810 0
