layer	row	column	UTM_E	UTM_N
2	136	144	514327	4601780
2	136	148	514727	4601780
2	136	152	515127	4601780
2	136	156	515527	4601780
2	136	160	515927	4601780
2	136	164	516327	4601780
2	136	168	516727	4601780
2	140	144	514327	4601380
2	140	148	514727	4601380
2	140	152	515127	4601380
2	140	156	515527	4601380
2	144	148	514727	4600980
2	132	20	501927	4602180
2	132	24	502327	4602180
2	132	28	502727	4602180
2	132	32	503127	4602180
2	132	36	503527	4602180
2	136	16	501527	4601780
2	136	20	501927	4601780
2	136	24	502327	4601780
2	136	28	502727	4601780
2	136	32	503127	4601780
2	136	36	503527	4601780
2	136	40	503927	4601780
2	140	16	501527	4601380
2	140	20	501927	4601380
2	140	24	502327	4601380
2	140	28	502727	4601380
2	140	32	503127	4601380
2	140	36	503527	4601380
2	144	16	501527	4600980
2	144	20	501927	4600980
2	144	24	502327	4600980
2	144	28	502727	4600980
2	136	68	506727	4601780
2	136	72	507127	4601780
2	140	64	506327	4601380
2	140	68	506727	4601380
2	140	72	507127	4601380
2	144	64	506327	4600980
2	144	68	506727	4600980
2	148	68	506727	4600580
2	136	108	510727	4601780
2	136	112	511127	4601780
2	140	108	510727	4601380
2	140	112	511127	4601380
2	144	104	510327	4600980
2	144	108	510727	4600980
2	144	112	511127	4600980
2	148	100	509927	4600580
2	148	104	510327	4600580
2	148	108	510727	4600580
2	148	112	511127	4600580
2	152	96	509527	4600180
2	152	104	510327	4600180
2	152	108	510727	4600180
2	152	112	511127	4600180
2	156	88	508727	4599780
2	156	92	509127	4599780
2	156	96	509527	4599780
2	156	100	509927	4599780
2	156	104	510327	4599780
2	156	108	510727	4599780
2	156	112	511127	4599780
2	160	84	508327	4599380
2	160	88	508727	4599380
2	160	92	509127	4599380
2	160	96	509527	4599380
2	160	100	509927	4599380
2	160	104	510327	4599380
2	160	108	510727	4599380
2	160	112	511127	4599380
2	164	72	507127	4598980
2	164	76	507527	4598980
2	164	80	507927	4598980
2	164	84	508327	4598980
2	164	88	508727	4598980
2	164	92	509127	4598980
2	164	96	509527	4598980
2	164	100	509927	4598980
2	164	104	510327	4598980
2	164	108	510727	4598980
2	136	116	511527	4601780
2	136	120	511927	4601780
2	136	124	512327	4601780
2	136	132	513127	4601780
2	136	136	513527	4601780
2	136	140	513927	4601780
2	140	116	511527	4601380
2	140	120	511927	4601380
2	140	124	512327	4601380
2	140	132	513127	4601380
2	140	136	513527	4601380
2	140	140	513927	4601380
2	144	116	511527	4600980
2	144	120	511927	4600980
2	144	124	512327	4600980
2	144	128	512727	4600980
2	144	136	513527	4600980
2	144	140	513927	4600980
2	144	144	514327	4600980
2	148	120	511927	4600580
2	148	124	512327	4600580
2	148	128	512727	4600580
2	148	136	513527	4600580
2	148	140	513927	4600580
2	152	116	511527	4600180
2	152	120	511927	4600180
2	152	124	512327	4600180
2	152	128	512727	4600180
2	152	136	513527	4600180
2	152	140	513927	4600180
2	156	116	511527	4599780
2	156	120	511927	4599780
2	156	124	512327	4599780
2	156	128	512727	4599780
2	156	132	513127	4599780
2	156	140	513927	4599780
2	156	144	514327	4599780
2	160	116	511527	4599380
2	160	120	511927	4599380
2	160	124	512327	4599380
2	160	128	512727	4599380
2	160	140	513927	4599380
2	160	144	514327	4599380
2	160	148	514727	4599380
2	164	112	511127	4598980
2	164	116	511527	4598980
2	164	120	511927	4598980
2	164	124	512327	4598980
2	164	128	512727	4598980
2	164	136	513527	4598980
2	164	140	513927	4598980
2	184	64	506327	4596980
2	184	68	506727	4596980
2	184	72	507127	4596980
2	184	76	507527	4596980
2	184	80	507927	4596980
2	188	68	506727	4596580
2	188	72	507127	4596580
2	188	76	507527	4596580
2	188	80	507927	4596580
2	188	84	508327	4596580
2	192	68	506727	4596180
2	192	72	507127	4596180
2	192	76	507527	4596180
2	192	80	507927	4596180
2	192	84	508327	4596180
2	196	68	506727	4595780
2	196	72	507127	4595780
2	196	76	507527	4595780
2	196	80	507927	4595780
2	196	84	508327	4595780
2	200	64	506327	4595380
2	200	68	506727	4595380
2	200	72	507127	4595380
2	200	76	507527	4595380
2	200	80	507927	4595380
2	200	84	508327	4595380
2	204	60	505927	4594980
2	204	64	506327	4594980
2	204	68	506727	4594980
2	204	72	507127	4594980
2	204	76	507527	4594980
2	204	80	507927	4594980
2	204	84	508327	4594980
2	208	68	506727	4594580
2	208	72	507127	4594580
2	208	76	507527	4594580
2	208	80	507927	4594580
2	208	84	508327	4594580
2	212	76	507527	4594180
2	212	80	507927	4594180
2	212	84	508327	4594180
2	216	76	507527	4593780
2	216	80	507927	4593780
2	216	84	508327	4593780
2	220	76	507527	4593380
2	220	80	507927	4593380
2	220	84	508327	4593380
2	224	80	507927	4592980
2	224	84	508327	4592980
2	228	84	508327	4592580
2	228	88	508727	4592580
2	204	132	513127	4594980
2	204	136	513527	4594980
2	208	132	513127	4594580
2	208	136	513527	4594580
2	212	136	513527	4594180
2	212	140	513927	4594180
2	212	144	514327	4594180
2	224	140	513927	4592980
2	224	144	514327	4592980
2	228	140	513927	4592580
2	228	144	514327	4592580
2	228	148	514727	4592580
2	228	152	515127	4592580
2	168	68	506727	4598580
2	168	72	507127	4598580
2	168	76	507527	4598580
2	168	80	507927	4598580
2	168	84	508327	4598580
2	168	88	508727	4598580
2	168	92	509127	4598580
2	168	96	509527	4598580
2	168	100	509927	4598580
2	168	104	510327	4598580
2	168	108	510727	4598580
2	172	64	506327	4598180
2	172	68	506727	4598180
2	172	72	507127	4598180
2	172	76	507527	4598180
2	172	80	507927	4598180
2	172	84	508327	4598180
2	172	88	508727	4598180
2	172	92	509127	4598180
2	172	96	509527	4598180
2	172	100	509927	4598180
2	172	104	510327	4598180
2	172	108	510727	4598180
2	176	64	506327	4597780
2	176	68	506727	4597780
2	176	72	507127	4597780
2	176	76	507527	4597780
2	176	80	507927	4597780
2	176	84	508327	4597780
2	176	88	508727	4597780
2	176	92	509127	4597780
2	176	96	509527	4597780
2	176	100	509927	4597780
2	176	104	510327	4597780
2	176	108	510727	4597780
2	180	64	506327	4597380
2	180	68	506727	4597380
2	180	72	507127	4597380
2	180	76	507527	4597380
2	180	80	507927	4597380
2	180	84	508327	4597380
2	180	88	508727	4597380
2	180	92	509127	4597380
2	180	96	509527	4597380
2	180	100	509927	4597380
2	180	104	510327	4597380
2	180	108	510727	4597380
2	180	112	511127	4597380
2	184	84	508327	4596980
2	184	88	508727	4596980
2	184	92	509127	4596980
2	184	96	509527	4596980
2	184	100	509927	4596980
2	184	104	510327	4596980
2	184	108	510727	4596980
2	184	112	511127	4596980
2	188	88	508727	4596580
2	188	92	509127	4596580
2	188	96	509527	4596580
2	188	100	509927	4596580
2	188	104	510327	4596580
2	188	108	510727	4596580
2	188	112	511127	4596580
2	192	88	508727	4596180
2	192	92	509127	4596180
2	192	96	509527	4596180
2	192	100	509927	4596180
2	192	104	510327	4596180
2	192	108	510727	4596180
2	192	112	511127	4596180
2	196	88	508727	4595780
2	196	92	509127	4595780
2	196	96	509527	4595780
2	196	100	509927	4595780
2	196	104	510327	4595780
2	196	108	510727	4595780
2	196	112	511127	4595780
