subws_ID sfr_seg subws_name trib_name
1 1 Scott_Tailings East_Fork
1 1 Scott_Tailings South_Fork
9 1 Unnamed_West Wildcat
1 2 Scott_Tailings Sugar
10 5 Unnamed_East McConaughy_Main
10 5 Unnamed_East McConaughy_Branch
2 6 French Miners
2 7 French French
9 9 Unnamed_West Clark
3 11 Etna Etna
10 12 Unnamed_East Heartstrand
10 12 Unnamed_East Shell
10 14 Unnamed_East Hamlin
4 15 Patterson Johnson
4 16 Patterson Crystal
4 18 Patterson Patterson
5 21 Kidder Kidder
6 24 Moffett Moffett
11 24 Unnamed_North McAdams
11 25 Unnamed_North Indian
11 26 Unnamed_North Rattlesnake
7 27 Mill Mill
8 28 Shackleford Shackleford
11 30 Unnamed_North Sniktaw
11 30 Unnamed_North Patterson_North
