Catchment  Multiplier
444000391  1
444000484  1
444000561  1
444000562  1
444000576  1
444000578  1
444000582  1
444000583  1
444000585  1
444000592  1
444000595  1
444000600  1
444000602  1
444000603  1
444000605  1
444000616  1
444000618  1
444000619  1
444000627  1
444000628  1
444000638  1
444000643  1
444000647  1
444000656  1
444000660  1
444000662  1
444000663  1
444000664  1
444000668  1
444000675  1
444000677  1
444000681  1
444001409  1
444001429  1
444001431  1
444001471  1
444001485  1
444001488  1
444001495  1
444001504  1
444001517  1
444001518  1
444001527  1
