agency_cd,site_no,Date,Flow,Flow_cd
USGS,11519500,1990-10-01,21,A
USGS,11519500,1990-10-02,22,A
USGS,11519500,1990-10-03,24,A
USGS,11519500,1990-10-04,25,A
USGS,11519500,1990-10-05,25,A
USGS,11519500,1990-10-06,27,A
USGS,11519500,1990-10-07,28,A
USGS,11519500,1990-10-08,28,A
USGS,11519500,1990-10-09,27,A
USGS,11519500,1990-10-10,30,A
USGS,11519500,1990-10-11,32,A
USGS,11519500,1990-10-12,32,A
USGS,11519500,1990-10-13,33,A
USGS,11519500,1990-10-14,32,A
USGS,11519500,1990-10-15,31,A
USGS,11519500,1990-10-16,31,A
USGS,11519500,1990-10-17,35,A
USGS,11519500,1990-10-18,36,A
USGS,11519500,1990-10-19,34,A
USGS,11519500,1990-10-20,33,A
USGS,11519500,1990-10-21,31,A
USGS,11519500,1990-10-22,32,A
USGS,11519500,1990-10-23,32,A
USGS,11519500,1990-10-24,31,A
USGS,11519500,1990-10-25,32,A
USGS,11519500,1990-10-26,33,A
USGS,11519500,1990-10-27,33,A
USGS,11519500,1990-10-28,35,A
USGS,11519500,1990-10-29,38,A
USGS,11519500,1990-10-30,39,A
USGS,11519500,1990-10-31,38,A
USGS,11519500,1990-11-01,39,A
USGS,11519500,1990-11-02,43,A
USGS,11519500,1990-11-03,47,A
USGS,11519500,1990-11-04,48,A
USGS,11519500,1990-11-05,51,A
USGS,11519500,1990-11-06,50,A
USGS,11519500,1990-11-07,53,A
USGS,11519500,1990-11-08,54,A
USGS,11519500,1990-11-09,54,A
USGS,11519500,1990-11-10,54,A
USGS,11519500,1990-11-11,53,A
USGS,11519500,1990-11-12,54,A
USGS,11519500,1990-11-13,55,A
USGS,11519500,1990-11-14,56,A
USGS,11519500,1990-11-15,57,A
USGS,11519500,1990-11-16,63,A
USGS,11519500,1990-11-17,66,A
USGS,11519500,1990-11-18,64,A
USGS,11519500,1990-11-19,62,A
USGS,11519500,1990-11-20,61,A
USGS,11519500,1990-11-21,55,A
USGS,11519500,1990-11-22,53,A
USGS,11519500,1990-11-23,55,A
USGS,11519500,1990-11-24,56,A
USGS,11519500,1990-11-25,58,A
USGS,11519500,1990-11-26,58,A
USGS,11519500,1990-11-27,60,A
USGS,11519500,1990-11-28,62,A
USGS,11519500,1990-11-29,62,A
USGS,11519500,1990-11-30,60,A
USGS,11519500,1990-12-01,60,A
USGS,11519500,1990-12-02,61,A
USGS,11519500,1990-12-03,60,A
USGS,11519500,1990-12-04,59,A
USGS,11519500,1990-12-05,57,A
USGS,11519500,1990-12-06,57,A
USGS,11519500,1990-12-07,57,A
USGS,11519500,1990-12-08,57,A
USGS,11519500,1990-12-09,60,A
USGS,11519500,1990-12-10,67,A
USGS,11519500,1990-12-11,85,A
USGS,11519500,1990-12-12,100,A
USGS,11519500,1990-12-13,93,A
USGS,11519500,1990-12-14,88,A
USGS,11519500,1990-12-15,84,A
USGS,11519500,1990-12-16,79,A
USGS,11519500,1990-12-17,77,A
USGS,11519500,1990-12-18,75,A
USGS,11519500,1990-12-19,71,A e
USGS,11519500,1990-12-20,67,A e
USGS,11519500,1990-12-21,54,A e
USGS,11519500,1990-12-22,56,A e
USGS,11519500,1990-12-23,57,A e
USGS,11519500,1990-12-24,58,A e
USGS,11519500,1990-12-25,59,A
USGS,11519500,1990-12-26,61,A
USGS,11519500,1990-12-27,60,A
USGS,11519500,1990-12-28,59,A
USGS,11519500,1990-12-29,57,A
USGS,11519500,1990-12-30,56,A
USGS,11519500,1990-12-31,56,A
USGS,11519500,1991-01-01,55,A
USGS,11519500,1991-01-02,54,A
USGS,11519500,1991-01-03,55,A
USGS,11519500,1991-01-04,57,A
USGS,11519500,1991-01-05,57,A
USGS,11519500,1991-01-06,57,A
USGS,11519500,1991-01-07,61,A
USGS,11519500,1991-01-08,62,A
USGS,11519500,1991-01-09,64,A
USGS,11519500,1991-01-10,67,A
USGS,11519500,1991-01-11,67,A
USGS,11519500,1991-01-12,116,A
USGS,11519500,1991-01-13,302,A
USGS,11519500,1991-01-14,360,A
USGS,11519500,1991-01-15,262,A
USGS,11519500,1991-01-16,205,A
USGS,11519500,1991-01-17,171,A
USGS,11519500,1991-01-18,151,A
USGS,11519500,1991-01-19,141,A
USGS,11519500,1991-01-20,133,A
USGS,11519500,1991-01-21,125,A
USGS,11519500,1991-01-22,120,A
USGS,11519500,1991-01-23,119,A
USGS,11519500,1991-01-24,116,A
USGS,11519500,1991-01-25,113,A
USGS,11519500,1991-01-26,109,A
USGS,11519500,1991-01-27,107,A
USGS,11519500,1991-01-28,104,A
USGS,11519500,1991-01-29,102,A
USGS,11519500,1991-01-30,101,A
USGS,11519500,1991-01-31,99,A
USGS,11519500,1991-02-01,102,A
