Watershed	Plan_Type	Coordinating_Entity	Acres	Baseline_Total_Volume	Total_Volume_2022	Total_pct__Savings	April_pct_conserved	May_pct_conserved	June_pct_conserved	July_pct_conserved	Aug_pct_conserved	Sept_pct_conserved	Oct_pct_conserved	APN1	APN2	APN3	APN4	APN5	APN6	APN7	APN8	APN9	APN10	APN11	APN12	APN13	APN14	APN15	APN16	APN17	APN18	APN19	APN20	APN21	APN22	APN23	APN24	APN25	APN26	APN27	APN28	APN29	APN30	Acres_Converted_to_Grain	Replanting_if_converted_to_grain	Acres_Converted_to_grass	Acres_converted_to_Alfafa	Acres_Converted_to_Wheat	Acres_Converted_to_Bluegrass	Acres_installed_with_LESA	apply_compost_and_biochar	Acres_converted_to_LEPA	Num_pivots_installed_with_iWob	Acres_VFD_installed	Num_Nelson_flow_control_valves_installed	Acres_Num_sprinklers_reduced	Num_inline_flow_meter_installed	Num_soil_sensors_installed	Acres_Revolutions_reduced	Acres_nozzle_size_reduced	Acres_pressure_reduced	Acres_Revolutions_reduced	Acres_set_time_reduced	Acres_passes_reduced	Acres_sets_per_pass_reduced	Acres_application_rate_reduced	Acres_wheel_line_rotated_with_Pivot	Acres_converted_to_Pivots	Acres_converted_to_Wheel_line	pct_Reservoir_capacity	Acres_one_pump_ceased	Acres_corners_shutoff_early_or_completely	Acres_pivot_off_1_d_per_wk	Acres_dairy_pump_off_1_d_per_wk	Acres_Fallowed_all_year	Acres_1st_cutting_only	Acres_irrigation_ceased_by_June	Acres_irrigation_ceased_by_July_1	Acres_fallowed_by_Aug_1	Acres_fallowed_by_Sept_1	Acres_fallowed_by_Sept_10_15	Acres_irrigation_ceased_by_Oct_1	Acres_fallowed_by_Oct_31	Acres_3rd_crop_fallowed	Acres_4th_crop_fallowed	Acres_Cover_crops_fallowed	Forgo_surface_water_use
Scott 	Groundwater	Siskiyou RCD	187.5	690	486.61	29.5	31.1	29.5	28.1	30.8	30.4	33.1	0.0	023-010-220	023-010-230	023-010-240	023-010-250	023-010-270	023-010-280	024-260-080	024-260-090	024-260-100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		187.5		187.5							50%																	
Scott	Groundwater	CDFW	320	1200	816	32.0	14.4	14.4	14.4	34.7	34.7	33.8	100.0	024-260-180	024-260-110	024-260-170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									230											25									65										320					
Scott	Groundwater	Siskiyou RCD	826	0	0	0.0	28.0	26.0	31.0	36.0	37.0	35.0	100.0	023-080-350	023-080-240	023-080-320	023-130-140	023-130-130	023-130-120	023-080-310	023-080-190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	No																750		728												13												
Scott	Groundwater	CDFW	1049.62	0	0	0.0	31.0	23.9	55.8	39.3	38.3	40.4	86.3	015-560-200	015-410-730	015-550-160	015-550-180	015-410-740	015-550-190	014-270-470	014-270-500	014-270-080	014-281-030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																		821		23					50.62							64									61			
Scott 	Groundwater	0	94											023-030-420	023-040-260	023-051-370	023-430-110																													42																																									
Scott 	Groundwater	Siskiyou RCD	1179	3277	2083	36.0	33.3	26.1	27.1	50.5	43.6	62.2	0.0	014-281-020	023-071-220	023-071-230	023-071-240	023-071-300	023-071-430	023-071-440	023-300-080	023-300-190	023-300-200	023-300-250	024-110-290	024-110-680	024-170-080	024-180-150	024-180-220	024-180-230	024-180-240	024-180-250	024-180-260	024-180-270	024-180-280	024-180-290	024-180-300	024-180-310	024-180-350	024-200-070	024-190-010	024-190-030	0	151.7	No															190.7			606.1			1066.3		37																	40		
Scott	Groundwater	Siskiyou RCD	997	3947	2660	32.6	23.0	23.0	24.3	39.6	39.6	38.8	0.0	023-071-400	023-071-420	023-071-550	023-090-040	023-090-480	024-190-450	024-190-460	024-190-470	024-190-300	024-190-310	024-190-320	024-110-320	024-110-330	024-200-240	024-170-350	024-170-360					0	0	0	0	0	0	0	0	0	0															2 to 3			566		566			994									34.5											194	
Scott	Groundwater	CDFW	2179	0	0	0.0	0.0	27.2	10.1	30.0	30.6	100.0	100.0	024-260-010	024-190-220	024-190-210	024-190-200	024-110-180	024-110-580	024-110-490	024-030-410	014-390-120	024-030-370	024-080-190	024-020-230	024-020-080	014-390-250	024-080-360	024-070-100	014-121-310	024-110-280	014-121-720	014-121-740	0	0	0	0	0	0	0	0	0	0	276	No														1127		721	1127		184							100	728			20		385								2179		
Scott 	Groundwater	Siskiyou RCD	291	3278	2219	32.0	24.1	12.6	25.2	32.0	43.1	52.5	73.4	023-010-210	023-010-220	023-010-230	023-010-260	023-010-270	023-010-280	023-010-300	023-010-310	023-010-320	023-010-330	023-030-030	023-430-440	023-010-230	023-010-280	023-010-300	023-010-310	023-010-320	023-010-330	023-010-210	023-010-220	023-010-260	023-010-270	023-030-030	023-430-440																																11						49												
Scott	Groundwater	Siskiyou RCD	412	2558	1465	42.7	40.8	20.0	34.9	48.5	43.8	48.8	30.0	023-040-420	023-040-330	023-450-100	023-450-110	023-450-040	023-040-220	023-040-440	023-040-430	023-040-390	023-040-470	023-040-320	023-040-210	023-040-400	023-010-110	023-090-290	023-090-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0																	194.5	255			102.01																							
Scott	Groundwater	Siskiyou RCD	411	0	0	0.0	14.5	15.1	14.5	33.2	30.8	35.3	79.2	023-040-450	023-040-110	023-020-250	023-020-260	023-071-270	023-071-190	023-071-140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					52	45	285														23											43			52				249					
Scott 	Groundwater	CDFW	108											024-110-430-000	024-110-590-000	024-110-610-000	024-110-620-000	024-110-640-000																																													45									63										108					
Scott 	Groundwater	Siskiyou RCD	1575	6978	4783	31.0	27.5	13.3	11.7	30.3	30.9	30.9	74.2	024-250-170	023-030-240	023-071-360	024-250-180	023-071-380	024-250-190	023-071-370	024-250-150	024-500-310	024-200-280	023-030-250	024-200-250	024-220-300	024-250-060	023-030-260	024-220-310	023-090-020	 023-030-410	024-260-030	0	0	0	0	0	0	0	0	0	0	0	168	No																		106			183		117																	637		
Scott	Groundwater	CDFW	116	460	290	37.0	31.1	31.1	31.1	31.1	31.1	79.2	0.0	024-200-100	024-190-080																																							24.1						26			24.1																						116		
Scott	Groundwater	CDFW	277	700	486	30.0	22.0	18.2	25.0	40.8	40.8	33.9	0.0	023-220-080	023-220-550	024-110-400	024-110-630	024-110-650	024-110-660	024-180-480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	No																		60																								
