Date,Scott_m3,Paul_m3,Jim_m3,Judd_m3,Alan_m3,POD_m3
2023-10-31,0,0,0,0,0,6325.24133009767
2023-11-01,0,0,0,0,0,10387.4873636191
2023-11-02,0,0,2472.56808071426,0,0,10539.8035379035
2023-11-03,0,0,8257.60943742974,0,0,10840.3582644055
2023-11-04,0,0,8203.4110441261,0,0,11136.5805174616
2023-11-05,0,0,8082.27168856029,0,0,11160.9612994022
2023-11-06,0,0,8429.80401928942,0,0,12950.2728325598
2023-11-07,0,0,10230.5838645097,0,0,13829.5950411585
2023-11-08,0,0,9506.63604674541,0,0,13667.2547126268
2023-11-09,0,0,10394.8780536151,0,0,14128.6206593855
2023-11-10,0,0,10135.6942009985,0,0,17769.0027099197
2023-11-11,0,0,20033.6120652306,0,0,23922.0494581576
2023-11-12,0,0,19441.8471627962,0,0,23165.3107629401
2023-11-13,0,0,18028.4414139155,0,0,22536.8472619051
2023-11-14,0,0,16427.8898022636,0,0,22057.7266690642
2023-11-15,10424.10101176,0,15939.5945597726,0,0,22072.6779499755
2023-11-16,20230.5272308699,0,15943.0775286212,0,0,22301.4495380111
2023-11-17,19920.6279537983,0,16205.4894987073,0,0,22037.8482614888
2023-11-18,20480.4514833766,0,16943.2842414066,0,0,22776.4075583256
2023-11-19,27977.4145044415,0,20983.7829572388,0,0,31741.0596720346
2023-11-20,27793.3268582205,0,22669.5398799933,0,0,30656.8369545827
2023-11-21,26076.3931167474,0,21394.8582318411,0,0,28974.3930997573
2023-11-22,25026.1505831849,0,20526.9193848454,0,0,27700.051253444
2023-11-23,24347.2265090741,0,19880.9560891074,0,0,26918.9317762858
2023-11-24,23548.7771381323,0,19259.7133771489,0,0,25976.4064256528
2023-11-25,22973.3227239648,0,19017.1798146381,0,0,25251.6091032913
2023-11-26,27766.142711109,0,18010.6018173735,0,0,24334.5688905753
2023-11-27,38179.4550144841,0,17216.4849198776,0,0,24984.2700065412
2023-11-28,40190.9119998188,0,18885.0818497679,0,0,26204.3285090911
2023-11-29,40243.7511857668,0,18432.8056021996,0,0,25754.4308743951
2023-11-30,40161.6890416739,0,17874.0864285977,0,0,25215.6750588282
2023-12-01,40736.4638521635,0,17752.1825188944,0,0,25617.4907333207
2023-12-02,41597.096959623,0,18735.2292388156,0,0,27150.2518781131
2023-12-03,47473.6299614608,0,22592.4048625643,0,0,36339.0882550326
2023-12-04,34485.3842734046,0,26688.1213772169,0,0,36416.6480247602
2023-12-05,35909.9185325091,0,27169.1958306314,0,0,37656.2451330466
2023-12-06,36061.8949049546,14572.4868114411,27717.7209490665,0,0,37595.2507029651
2023-12-07,34998.9947528933,30357.726385896,29194.5846913608,0,0,39863.1731262052
2023-12-08,31791.7750964896,28834.9893953509,27383.3559395946,0,0,36724.6783917179
2023-12-09,29857.0283762852,27578.7419969588,25771.8457186384,5457.47238402138,0,34403.4070797713
2023-12-10,32315.3247797659,28944.1507360957,27472.7238232238,13787.8843654342,0,36846.4124005018
2023-12-11,21195.7343542491,23969.281913764,22316.9105216808,14468.7623001186,0,23262.3241879444
2023-12-12,14268.7889179294,17748.8694509652,13568.6272288877,7513.27350933181,0,16517.0877849734
2023-12-13,13840.5536504628,17429.8804747032,13127.7343429224,6355.05894146064,0,16082.3113321082
2023-12-14,13642.1093765486,17228.4629346986,12905.2490889063,6447.40009118016,0,15847.8480632711
2023-12-15,13479.5991470974,17041.5719233067,12711.8168921157,6637.34931912207,0,15677.1825896864
2023-12-16,13322.5257470685,16889.5106004015,12554.9133930063,6763.84055365046,0,15483.410591057
2023-12-17,13087.7226763926,16686.5639521219,12302.6105276273,6853.718140038,0,15202.6493216706
2023-12-18,14117.8319510006,17215.125712522,12893.6108759242,7596.94971215953,0,16427.465049965
2023-12-19,19670.6187508318,20558.6059063223,16567.2085562103,8896.77669638989,0,22799.3441824509
2023-12-20,25295.7833423475,24799.332855723,22523.2551883493,9565.33681441439,0,28534.5196193087
2023-12-21,23286.0253662073,23837.6087011924,21830.6540902231,6875.21060634807,0,25781.4451205872
2023-12-22,21437.2485112432,22363.2085222301,19879.6818322115,6286.33401954427,0,23673.4844130065
