"Well_ID","Well_ID_2","In_SVIHM"
"A2","A2","Yes"
"A4","A4","Yes"
"A41","A41","Yes"
"B3","B3","Yes"
"B9","B9","Yes"
"C11","C11","Yes"
"C12","C12","Yes"
"C26","C26","Yes"
"D16","D16","Yes"
"D31","D31","Yes"
"D40","D40","Yes"
"E3","E3","Yes"
"E71","E71","Yes"
"F56","F56","Yes"
"F6","F6","Yes"
"G11","G11","Yes"
"G31","G31","Yes"
"G40","G40","Yes"
"H6","H6","Yes"
"I16","I16","Yes"
"J15","J15","Yes"
"K11","K11","Yes"
"K12","K12","Yes"
"K22","K22","Yes"
"K9","K9","Yes"
"L18","L18","Yes"
"L31","L31","Yes"
"L32","L32","Yes"
"M10","M10","Yes"
"M12","M12","Yes"
"M2","M2","Yes"
"N15","N15","Yes"
"N17","N17","Yes"
"N2","N2","Yes"
"O32","O32","Yes"
"P18","P18","Yes"
"P23","P23","Yes"
"P43","P43","Yes"
"Q21","Q21","Yes"
"Q32","Q32","Yes"
"R18","R18","Yes"
"R24","R24","Yes"
"S19","S19","Yes"
"S21","S21","Yes"
"S42","S42","Yes"
"V87","V87","Yes"
"W10","W10","Yes"
"X7","X7","Yes"
"Y61","Y61","Yes"
"Z36","Z36","Yes"
NA,"42N09W02A002M","No"
NA,"42N09W27N001M","No"
NA,"42N09W27N002M","No"
"DWR_1","43N09W02P002M","Yes"
"DWR_4","43N09W23F001M","Yes"
"DWR_5","43N09W24F001M","Yes"
"DWR_2","44N09W25R001M","Yes"
"DWR_3","44N09W28P001M","Yes"
