Grid_CR,HRU_ID,DS1_Grid_HRUID,DS_Perc_1,DS2_Grid_HRUID,DS_Perc_2,DS1_Stream_Cell_segment,Run Macro to get Cascade_link,,,Cascade_link,hru_down_id,hru_pct_up,hru_strmseg_down_id,hru_up_id,
1001,1,555,1,,,,,,,1,555,1,0,1,
2001,2,556,1,,,,,,,2,556,1,0,2,
3001,3,4,1,,,,,,,3,4,1,0,3,
4001,4,5,1,,,,,,,4,5,1,0,4,
5001,5,6,1,,,,,,,5,6,1,0,5,
6001,6,7,1,,,,,,,6,7,1,0,6,
7001,7,561,1,,,,,,,7,561,1,0,7,
8001,8,561,1,,,,,,,8,561,1,0,8,
9001,9,8,1,,,,,,,9,8,1,0,9,
10001,10,9,1,,,,,,,10,9,1,0,10,
11001,11,10,1,,,,,,,11,10,1,0,11,
12001,12,13,1,,,,,,,12,13,1,0,12,
13001,13,0,1,,,,,,,13,13,1,0,14,
14001,14,13,1,,,,,,,14,14,1,0,15,
15001,15,14,1,,,,,,,15,568,1,0,16,
16001,16,568,1,,,,,,,16,569,1,0,17,
17001,17,569,1,,,,,,,17,19,1,0,18,
18001,18,19,1,,,,,,,18,20,1,0,19,
19001,19,20,1,,,,,,,19,21,1,0,20,
20001,20,21,1,,,,,,,20,21,1,0,22,
21001,21,0,1,,,,,,,21,22,1,0,23,
22001,22,21,1,,,,,,,22,23,1,0,24,
23001,23,22,1,,,,,,,23,24,1,0,25,
24001,24,23,1,,,,,,,24,25,1,0,26,
25001,25,24,1,,,,,,,25,26,1,0,27,
26001,26,25,1,,,,,,,26,27,1,0,28,
27001,27,26,1,,,,,,,27,30,1,0,29,
28001,28,27,1,,,,,,,28,31,1,0,30,
29001,29,30,1,,,,,,,29,31,1,0,32,
30001,30,31,1,,,,,,,30,585,1,0,33,
31001,31,0,1,,,,,,,31,587,1,0,34,
32001,32,31,1,,,,,,,32,588,1,0,35,
33001,33,585,1,,,,,,,33,589,1,0,36,
34001,34,587,1,,,,,,,34,590,1,0,37,
35001,35,588,1,,,,,,,35,591,1,0,38,
36001,36,589,1,,,,,,,36,592,1,0,39,
37001,37,590,1,,,,,,,37,593,1,0,40,
38001,38,591,1,,,,,,,38,594,1,0,41,
39001,39,592,1,,,,,,,39,595,1,0,42,
40001,40,593,1,,,,,,,40,596,1,0,43,
41001,41,594,1,,,,,,,41,596,1,0,44,
42001,42,595,1,,,,,,,42,597,1,0,45,
43001,43,596,1,,,,,,,43,598,1,0,46,
44001,44,596,1,,,,,,,44,599,1,0,47,
45001,45,597,1,,,,,,,45,600,1,0,48,
46001,46,598,1,,,,,,,46,601,1,0,49,
47001,47,599,1,,,,,,,47,51,1,0,50,
48001,48,600,1,,,,,,,48,52,1,0,51,
49001,49,601,1,,,,,,,49,53,1,0,52,
50001,50,51,1,,,,,,,50,53,1,0,54,
51001,51,52,1,,,,,,,51,56,1,0,55,
52001,52,53,1,,,,,,,52,56,1,0,57,
53001,53,0,1,,,,,,,53,57,1,0,58,
54001,54,53,1,,,,,,,54,58,1,0,59,
55001,55,56,1,,,,,,,55,59,1,0,60,
56001,56,0,1,,,,,,,56,60,1,0,61,
57001,57,56,1,,,,,,,57,616,1,0,62,
58001,58,57,1,,,,,,,58,617,1,0,63,
59001,59,58,1,,,,,,,59,617,1,0,64,
60001,60,59,1,,,,,,,60,619,1,0,65,
61001,61,60,1,,,,,,,61,67,1,0,66,
62001,62,616,1,,,,,,,62,68,1,0,67,
63001,63,617,1,,,,,,,63,622,1,0,68,
64001,64,617,1,,,,,,,64,623,1,0,69,
65001,65,619,1,,,,,,,65,71,1,0,70,
66001,66,67,1,,,,,,,66,72,1,0,71,
67001,67,68,1,,,,,,,67,72,1,0,73,
68001,68,622,1,,,,,,,68,73,1,0,74,
69001,69,623,1,,,,,,,69,74,1,0,75,
70001,70,71,1,,,,,,,70,75,1,0,76,
71001,71,72,1,,,,,,,71,78,1,0,77,
72001,72,0,1,,,,,,,72,78,1,0,79,
73001,73,72,1,,,,,,,73,79,1,0,80,
74001,74,73,1,,,,,,,74,80,1,0,81,
75001,75,74,1,,,,,,,75,83,1,0,82,
76001,76,75,1,,,,,,,76,84,1,0,83,
77001,77,78,1,,,,,,,77,85,1,0,84,
78001,78,0,1,,,,,,,78,86,1,0,85,
79001,79,78,1,,,,,,,79,87,1,0,86,
80001,80,79,1,,,,,,,80,88,1,0,87,
81001,81,80,1,,,,,,,81,89,1,0,88,
82001,82,83,1,,,,,,,82,89,1,0,90,
83001,83,84,1,,,,,,,83,90,1,0,91,
84001,84,85,1,,,,,,,84,91,1,0,92,
85001,85,86,1,,,,,,,85,92,1,0,93,
86001,86,87,1,,,,,,,86,93,1,0,94,
87001,87,88,1,,,,,,,87,94,1,0,95,
88001,88,89,1,,,,,,,88,95,1,0,96,
89001,89,0,1,,,,,,,89,96,1,0,97,
90001,90,89,1,,,,,,,90,97,1,0,98,
91001,91,90,1,,,,,,,91,98,1,0,99,
92001,92,91,1,,,,,,,92,99,1,0,100,
93001,93,92,1,,,,,,,93,100,1,0,101,
94001,94,93,1,,,,,,,94,101,1,0,102,
95001,95,94,1,,,,,,,95,102,1,0,103,
96001,96,95,1,,,,,,,96,103,1,0,104,
97001,97,96,1,,,,,,,97,104,1,0,105,
98001,98,97,1,,,,,,,98,107,1,0,106,
99001,99,98,1,,,,,,,99,108,1,0,107,
100001,100,99,1,,,,,,,100,109,1,0,108,
101001,101,100,1,,,,,,,101,110,1,0,109,
102001,102,101,1,,,,,,,102,111,1,0,110,
103001,103,102,1,,,,,,,103,112,1,0,111,
104001,104,103,1,,,,,,,104,113,1,0,112,
105001,105,104,1,,,,,,,105,115,1,0,114,
106001,106,107,1,,,,,,,106,116,1,0,115,
107001,107,108,1,,,,,,,107,117,1,0,116,
108001,108,109,1,,,,,,,108,118,1,0,117,
109001,109,110,1,,,,,,,109,119,1,0,118,
110001,110,111,1,,,,,,,110,120,1,0,119,
111001,111,112,1,,,,,,,111,121,1,0,120,
112001,112,113,1,,,,,,,112,122,1,0,121,
113001,113,0,1,,,,,,,113,676,1,0,122,
114001,114,115,1,,,,,,,114,677,1,0,123,
115001,115,116,1,,,,,,,115,678,1,0,124,
116001,116,117,1,,,,,,,116,679,1,0,125,
117001,117,118,1,,,,,,,117,127,1,0,126,
118001,118,119,1,,,,,,,118,128,1,0,127,
119001,119,120,1,,,,,,,119,128,1,0,129,
120001,120,121,1,,,,,,,120,129,1,0,130,
121001,121,122,1,,,,,,,121,130,1,0,131,
122001,122,676,1,,,,,,,122,131,1,0,132,
123001,123,677,1,,,,,,,123,132,1,0,133,
124001,124,678,1,,,,,,,124,133,1,0,134,
125001,125,679,1,,,,,,,125,134,1,0,135,
126001,126,127,1,,,,,,,126,135,1,0,136,
127001,127,128,1,,,,,,,127,136,1,0,137,
128001,128,0,1,,,,,,,128,137,1,0,138,
129001,129,128,1,,,,,,,129,138,1,0,139,
130001,130,129,1,,,,,,,130,139,1,0,140,
131001,131,130,1,,,,,,,131,695,1,0,141,
132001,132,131,1,,,,,,,132,695,1,0,142,
133001,133,132,1,,,,,,,133,696,1,0,143,
134001,134,133,1,,,,,,,134,696,1,0,144,
135001,135,134,1,,,,,,,135,144,1,0,145,
136001,136,135,1,,,,,,,136,698,1,0,146,
137001,137,136,1,,,,,,,137,699,1,0,147,
138001,138,137,1,,,,,,,138,700,1,0,148,
139001,139,138,1,,,,,,,139,701,1,0,149,
140001,140,139,1,,,,,,,140,702,1,0,150,
141001,141,695,1,,,,,,,141,150,1,0,151,
142001,142,695,1,,,,,,,142,151,1,0,152,
143001,143,696,1,,,,,,,143,152,1,0,153,
144001,144,696,1,,,,,,,144,153,1,0,154,
145001,145,144,1,,,,,,,145,154,1,0,155,
146001,146,698,1,,,,,,,146,155,1,0,156,
147001,147,699,1,,,,,,,147,156,1,0,157,
148001,148,700,1,,,,,,,148,157,1,0,158,
149001,149,701,1,,,,,,,149,158,1,0,159,
150001,150,702,1,,,,,,,150,159,1,0,160,
