Stn Id,Stn Name,CIMIS Region,Date,Jul,ETo (mm),qc,Precip (mm),qc,Sol Rad (W/sq.m),qc,Avg Vap Pres (kPa),qc,Max Air Temp (C),qc,Min Air Temp (C),qc,Avg Air Temp (C),qc,Max Rel Hum (%),qc,Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Dew Point (C),qc,Avg Wind Speed (m/s),qc,Wind Run (km),qc,Avg Soil Temp (C),qc
225,Scott Valley,Northeast Plateau,4/19/2015,109,4.92, ,0.00, ,280, ,0.6, ,27.9, ,0.4, ,13.0, ,93, ,11, ,43, ,0.7, ,1.2, ,101.5, ,14.2, 
225,Scott Valley,Northeast Plateau,4/20/2015,110,5.06, ,0.00, ,269, ,0.7, ,27.6, ,-0.7, ,13.7, ,88, ,18, ,44, ,1.7, ,1.5, ,125.3, ,15.1,Y
225,Scott Valley,Northeast Plateau,4/21/2015,111,4.64, ,0.00, ,247, ,0.8, ,25.6, ,1.3, ,13.4, ,91, ,20, ,53, ,4.0, ,2.0, ,176.0, ,14.5, 
225,Scott Valley,Northeast Plateau,4/22/2015,112,4.76, ,0.00, ,274, ,0.8, ,21.3, ,4.4, ,13.4, ,88, ,30, ,53, ,4.0, ,2.1, ,181.6, ,14.6, 
225,Scott Valley,Northeast Plateau,4/23/2015,113,3.37, ,0.00, ,196, ,0.8, ,19.3, ,-0.1, ,9.4, ,94, ,39, ,65, ,3.2, ,2.4, ,204.2, ,13.9, 
225,Scott Valley,Northeast Plateau,4/24/2015,114,1.89, ,0.00, ,136, ,0.7, ,11.8, ,-2.0, ,6.4, ,96, ,44, ,68, ,0.9, ,1.6, ,138.3, ,12.9, 
225,Scott Valley,Northeast Plateau,4/25/2015,115,4.88, ,0.00, ,303, ,0.6, ,16.0, ,1.3, ,8.8, ,93, ,32, ,55, ,0.4, ,2.4, ,207.3, ,12.8, 
225,Scott Valley,Northeast Plateau,4/26/2015,116,3.97, ,0.00, ,243, ,0.8, ,19.6, ,-1.7, ,9.5, ,91, ,43, ,64, ,3.1, ,1.7, ,150.8, ,12.7, 
225,Scott Valley,Northeast Plateau,4/27/2015,117,5.33, ,0.00, ,312, ,0.9, ,27.2, ,1.2, ,14.3, ,99, ,28, ,58, ,6.1, ,1.4, ,117.4, ,13.3, 
225,Scott Valley,Northeast Plateau,4/28/2015,118,5.25, ,0.00, ,287, ,1.0, ,26.3, ,3.9, ,14.8, ,99, ,29, ,59, ,6.7, ,2.1, ,178.0, ,13.9, 
