wellnam,x,y,z
A2,513858.7,4591454,848.81
A4,518146.67,4607726.25,866.98
A41,508940,4594713,855.02
B3,509214,4600202,843.37
B9,506708.1,4596661,866.58
C11,513556.8,4603007,833.71
C12,511848,4592896,841.24
C26,506788,4599992,866.62
D16,512141.7,4592663,841.38
D31,510090,4594059,843.8
D40,511790,4584587,867.74
E3,514201,4581404,881
E71,508703.4,4595481,851.59
F56,507142,4595330,880.79
F6,509001.5,4608580,829.02
G11,512085.6,4597657,837.05
G31,514804,4592245,862.34
G40,514292.7,4610353.04,866.19
H6,511533.9,4596581,835.6
I16,511787.2,4597724,835.83
J15,514025,4605017,876
K11,511028.3,4592670,842.71
K12,512297.7,4605742,830.7
K22,512848.5,4587448,853.74
K9,513673,4594406,846.37
L18,514202.5,4594339,856.17
L31,510582.7,4592091,847.18
L32,506243.6,4598161.3,872.83
M10,513248,4585066,859.99
M12,512070.7,4588429,851.09
M2,516517.1,4601672,856.72
N15,513806.84,4611794.84,882.24
N17,510934.2,4583436,884.55
N2,511775,4594091,838.68
O32,511619,4600481,833.3
P18,515914.9,4601982,849.81
P23,519020.24,4607979.27,873.27
P43,515345,4584145,886.99
Q21,514880,4578505,907.57
Q32,513627,4598864,833.6
R18,509271.1,4591819,853.01
R24,512936,4591146,844.54
S19,514030.6,4602042,837.16
S21,511304.7,4587962,850.84
S42,513323.5,4603175,830.61
V87,513825,4594622,848.42
W10,511163,4582274,894.96
X7,512432.2,4606569,833.94
Y61,510054,4602011,858.91
Z36,507779,4587866,928.33
DWR_1,512249.5,4605743,
DWR_2,514160.5,4608578,
DWR_3,508912.7,4608647,
DWR_4,512173.5,4601424,
DWR_5,514008,4601328,
