model_year,climate_year
2022,1994
2023,1995
2024,1996
2025,1997
2026,1998
2027,1999
2028,2000
2029,2001
2030,2002
2031,2003
2032,2004
2033,2010
2034,2006
2035,2007
2036,2008
2037,2009
2038,2011
2039,1991
2040,1992
2041,1993
2042,1994
2043,1995
2044,1996
2045,1997
2046,1998
2047,1999
2048,2000
2049,2001
2050,2002
2051,2003
2052,2004
2053,2010
2054,2006
2055,2007
2056,2008
2057,2009
2058,2011
2059,1991
2060,1992
2061,1993
2062,1994
2063,1995
2064,1996
2065,1997
2066,1998
2067,1999
2068,2000
2069,2001
2070,2002
2071,2003
