LogNumber	Layer_2017	row	column	UTM_E	UTM_N					
1013	2	221	123	512227.00	4593280.00					
1019	2	88	131	513027.00	4606580.00					
1023	2	139	122	512127.00	4601480.00					
3398	1	133	107	510627.00	4602080.00					
5725	2	242	130	512953.51	4591208.14					
11279	2	132	71	507027.00	4602180.00					
11280	2	138	67	506627.00	4601580.00					
11281	2	128	70	506927.00	4602580.00					
11282	2	185	77	507627.00	4596880.00					
11284	2	133	122	512127.00	4602080.00					
11285	2	315	143	514227.00	4583880.00					
11287	1	129	66	506560.35	4602484.62					
11294	1	154	71	507027.00	4599980.00					
11297	2	189	84	508327.00	4596480.00					
11300	1	152	87	508627.00	4600180.00					
11753	2	72	106	510527.00	4608180.00					
11756	2	126	27	502627.00	4602780.00					
11764	1	159	72	507127.00	4599480.00					
11770	1	73	165	516427.00	4608080.00					
11772	2	165	127	512627.00	4598880.00					
14258	2	110	132	513127.00	4604380.00					
14272	2	60	103	510227.00	4609380.00					
14274	1	72	157	515627.00	4608180.00					
14275	2	71	28	502727.00	4608280.00					
14277	2	105	131	513027.00	4604880.00					
14279	2	197	97	509627.00	4595680.00					
14816	2	234	141	514027.00	4591980.00					
18318	2	100	123	512227.00	4605380.00					
18329	2	79	106	510527.00	4607480.00					
49057	2	67	97	509627.00	4608680.00					
49058	2	167	119	511827.00	4598680.00					
49059	2	129	122	512127.00	4602480.00					
49081	2	63	92	509127.00	4609080.00					
49701	2	273	111	511027.00	4588080.00					
49712	2	245	98	509727.00	4590880.00					
49715	1	109	118	511684.76	4604495.61					
49722	2	136	134	513327.00	4601780.00					
49823	2	198	98	509727.00	4595580.00					
49958	1	273	106	510568.2	4588050.23					
49964	1	75	164	516371.16	4607872.17					
54319	2	227	122	512127.00	4592680.00					
54330	2	219	132	513127.00	4593480.00					
54333	2	226	131	513027.00	4592780.00					
54855	2	226	93	509227.00	4592780.00					
54858	2	216	95	509427.00	4593780.00					
54864	2	301	126	512527.00	4585280.00					
54872	2	211	139	513827.00	4594280.00					
54921	2	305	121	512027.00	4584880.00					
54930	1	163	156	515561.31	4599120.42					
54936	2	105	120	511927.00	4604880.00					
54940	2	145	108	510727.00	4600880.00					
65220	1	58	70	506927.00	4609580.00					
65221	2	160	151	515027.00	4599380.00					
65222	2	59	73	507227.00	4609480.00					
65226	1	71	159	515827.00	4608280.00					
65227	2	109	137	513627.00	4604480.00					
65234	2	157	125	512427.00	4599680.00					
65236	2	146	136	513527.00	4600780.00					
70933	2	101	128	512727.00	4605280.00					
70937	2	103	126	512527.00	4605080.00					
107306	1	73	196	519527.00	4608080.00					
112528	2	133	141	514027.00	4602080.00					
112536	2	145	127	512627.00	4600880.00					
112537	2	254	102	510127.00	4589980.00					
112906	2	255	100	509927.00	4589880.00					
112943	1	71	142	514127.00	4608280.00					
113920	2	160	83	508227.00	4599380.00					
114352	1	79	182	518150.85	4607436.56					
114353	2	311	126	512527.00	4584280.00					
114355	2	151	101	510027.00	4600280.00					
114361	1	77	186	518527.00	4607680.00					
114366	2	66	46	504527.00	4608780.00					
114370	2	133	127	512627.00	4602080.00					
115693	2	278	119	511827.00	4587580.00					
115700	2	249	118	511727.00	4590480.00					
123508	2	235	93	509227.00	4591880.00					
123519	1	312	154	515327.00	4584180.00					
123524	1	68	199	519827.00	4608580.00					
123525	1	275	82	508127.00	4587880.00					
123534	2	138	65	506427.00	4601580.00					
123547	2	289	133	513227.00	4586480.00					
123549	2	125	141	514027.00	4602880.00					
123550	1	141	95	509427.00	4601280.00					
123727	1	63	140	513927.00	4609080.00					
123728	1	60	141	514027.00	4609380.00					
126221	2	124	118	511727.00	4602980.00					
126236	1	304	113	511227.00	4584980.00					
126241	2	160	141	514027.00	4599380.00					
126243	1	75	180	517927.00	4607880.00					
128015	1	353	154	515327.00	4580080.00					
128017	2	105	134	513327.00	4604880.00					
128026	2	217	112	511127.00	4593680.00					
129401	2	165	131	513027.00	4598880.00					
133103	1	291	115	511427.00	4586280.00					
133104	2	126	72	507127.00	4602780.00					
133108	1	274	81	508027.00	4587980.00					
133120	1	252	91	509027.00	4590180.00					
133138	1	145	96	509527.00	4600880.00					
133140	2	284	126	512527.00	4586980.00					
134575	2	207	141	514027.00	4594680.00					
141877	2	172	132	513127.00	4598180.00					
212708	2	148	117	511627.00	4600580.00					
212709	2	145	117	511627.00	4600880.00					
212715	2	305	118	511727.00	4584880.00					
213884	1	303	166	516539.27	4585043.69					
278171	1	333	139	513827.00	4582080.00					
280014	2	88	118	511727.00	4606580.00					
333898	1	259	92	509127.00	4589480.00					
378163	2	200	92	509127.00	4595380.00					
378170	1	336	137	513573.13	4581750.74					
378172	1	154	87	508627.00	4599980.00					
378174	2	227	110	510927.00	4592680.00					
378175	1	328	135	513427.00	4582580.00					
378184	2	199	121	512027.00	4595480.00					
493810	2	114	135	513427.00	4603980.00					
493825	2	182	82	508127.00	4597180.00					
493828	1	68	202	520127.00	4608580.00					
508685	2	89	129	512827.00	4606480.00					
508690	2	266	115	511427.00	4588780.00					
508692	1	126	114	511327.00	4602780.00					
508713	2	116	34	503327.00	4603780.00					
508737	2	211	133	513227.00	4594280.00					
508738	2	210	142	514127.00	4594380.00					
508740	2	205	96	509527.00	4594880.00					
508743	2	90	87	508627.00	4606380.00					
553349	2	73	98	509727.00	4608080.00					
553351	2	63	72	507127.00	4609080.00					
553354	2	151	139	513827.00	4600280.00					
553356	2	265	111	511027.00	4588880.00					
553358	2	160	81	508027.00	4599380.00					
553365	2	155	91	509027.00	4599880.00					
553378	2	109	133	513227.00	4604480.00					
553593	2	165	120	511927.00	4598880.00					
553594	2	151	143	514227.00	4600280.00					
555009	1	75	169	516827.00	4607880.00					
563204	2	128	137	513627.00	4602580.00					
563225	1	71	144	514327.00	4608280.00					
563235	2	113	26	502527.00	4604080.00					
