Date Model_Date Streamflow_cfs Streamflow_m3/day
7/31/2008 6514 13.3 32427.52174
8/1/2008 6515 12.6 30786.84887
8/2/2008 6516 11.7 28593.79858
8/3/2008 6517 10.6 25930.9729
8/4/2008 6518 10.3 25136.45659
8/5/2008 6519 9.8 23907.83417
8/6/2008 6520 6.7 16357.82684
8/7/2008 6521 5.6 13608.69679
8/8/2008 6522 5.3 12948.6847
8/9/2008 6523 4.8 11658.38825
8/10/2008 6524 4.7 11581.52837
8/11/2008 6525 5.3 12890.58579
8/12/2008 6526 5.3 12929.07082
8/13/2008 6527 3.6 8877.48322
8/14/2008 6528 2.7 6601.289032
8/15/2008 6529 2.0 4802.843661
8/16/2008 6530 1.4 3497.885849
8/17/2008 6531 1.4 3544.64136
8/18/2008 6532 1.5 3633.641424
8/19/2008 6533 1.5 3569.209298
8/20/2008 6534 1.5 3674.21302
8/21/2008 6535 1.4 3546.095084
8/22/2008 6536 1.4 3422.314497
8/23/2008 6537 1.2 3053.073758
8/24/2008 6538 1.3 3169.994511
8/25/2008 6539 1.1 2736.556957
8/26/2008 6540 0.9 2303.265772
8/27/2008 6541 0.8 2033.609537
8/28/2008 6542 0.8 1944.914745
8/29/2008 6543 0.9 2233.586906
8/30/2008 6544 1.4 3316.459208
8/31/2008 6545 1.3 3138.750264
9/1/2008 6546 1.4 3494.221935
9/2/2008 6547 1.5 3605.552254
9/3/2008 6548 1.5 3704.0162
9/4/2008 6549 1.5 3560.377395
9/5/2008 6550 1.6 3925.679302
9/6/2008 6551 1.7 4184.872814
9/7/2008 6552 1.9 4621.125616
9/8/2008 6553 2.1 5017.545606
9/9/2008 6554 2.0 4976.411262
9/10/2008 6555 2.1 5021.88708
9/11/2008 6556 2.3 5644.233803
9/12/2008 6557 2.6 6314.224727
9/13/2008 6558 2.8 6909.74306
9/14/2008 6559 2.7 6570.846014
9/15/2008 6560 2.6 6458.166677
9/16/2008 6561 3.0 7255.278525
9/17/2008 6562 3.4 8319.650715
9/18/2008 6563 3.0 7320.758188
9/19/2008 6564 3.2 7875.776661
9/20/2008 6565 4.3 10481.49671
9/21/2008 6566 3.9 9437.177639
9/22/2008 6567 3.7 9020.297058
9/23/2008 6568 4.0 9829.715346
9/24/2008 6569 4.3 10583.8298
9/25/2008 6570 4.6 11360.57604
9/26/2008 6571 5.5 13440.0211
9/27/2008 6572 4.4 10852.38418
9/28/2008 6573 4.4 10648.0903
9/29/2008 6574 4.3 10587.78354
9/30/2008 6575 4.5 10916.01145
10/1/2008 6576 4.1 9969.91802
10/2/2008 6577 6.0 14785.16922
10/3/2008 6578 7.4 18117.7538
10/4/2008 6579 9.0 21957.08034
10/5/2008 6580 13.2 32360.28583
10/6/2008 6581 16.6 40683.4323
10/7/2008 6582 18.1 44213.99663
10/8/2008 6583 15.6 38144.8454
10/9/2008 6584 14.5 35387.95669
10/10/2008 6585 17.5 42739.67138
10/11/2008 6586 18.4 45094.69212
10/12/2008 6587 14.1 34392.36984
10/13/2008 6588 14.3 34964.01259
10/14/2008 6589 16.0 39084.57512
10/15/2008 6590 15.2 37213.4907
10/16/2008 6591 15.5 37931.21643
10/17/2008 6592 16.2 39605.15643
10/18/2008 6593 16.6 40534.15037
10/19/2008 6594 16.1 39402.7142
10/20/2008 6595 15.7 38435.94047
10/21/2008 6596 16.4 40123.06372
10/22/2008 6597 18.0 44147.47586
10/23/2008 6598 18.5 45189.27912
10/24/2008 6599 16.8 41083.45445
10/25/2008 6600 16.1 39449.06546
10/26/2008 6601 16.2 39748.47294
10/27/2008 6602 16.2 39659.8351
10/28/2008 6603 16.7 40812.5323
10/29/2008 6604 18.5 45145.24986
10/30/2008 6605 19.4 47427.9379
10/31/2008 6606 20.5 50197.57476
11/1/2008 6607 37.7 92132.82729
11/16/2008 6622 85.2 208470.5618
11/17/2008 6623 71.6 175256.8721
11/18/2008 6624 63.0 154040.4821
11/19/2008 6625 56.7 138626.5236
11/20/2008 6626 50.3 123079.5349
11/21/2008 6627 49.7 121694.5098
11/22/2008 6628 48.7 119064.6167
11/23/2008 6629 46.6 113971.4149
11/24/2008 6630 44.5 108859.3963
11/25/2008 6631 42.7 104404.269
11/26/2008 6632 43.1 105403.5259
11/27/2008 6633 41.4 101217.849
11/28/2008 6634 40.3 98673.44603
11/29/2008 6635 39.3 96147.56905
11/30/2008 6636 39.3 96170.50835
12/1/2008 6637 38.7 94560.35818
12/2/2008 6638 36.6 89575.63769
12/3/2008 6639 38.0 92901.76526
12/4/2008 6640 36.9 90304.43727
12/5/2008 6641 36.5 89399.25427
12/6/2008 6642 36.8 90028.04327
12/7/2008 6643 36.3 88910.45991
12/8/2008 6644 34.7 84954.29227
12/9/2008 6645 33.7 82443.82739
12/10/2008 6646 34.0 83129.8223
4/2/2009 6759 303.7 743046.464
4/3/2009 6760 283.6 693819.7182
4/4/2009 6761 259.7 635271.4371
4/5/2009 6762 229.5 561555.4196
4/6/2009 6763 211.1 516535.4108
