Date Model_Date Streamflow_cfs Streamflow_m3/day
7/22/2008 6505 5.3 12874.4
7/23/2008 6506 6.3 15378.5
7/24/2008 6507 6.5 15784.9
7/25/2008 6508 6.0 14619.7
7/26/2008 6509 5.5 13483.0
7/27/2008 6510 5.7 13971.6
7/28/2008 6511 5.4 13210.9
7/29/2008 6512 4.2 10180.7
7/30/2008 6513 3.6 8758.1
7/31/2008 6514 3.8 9225.1
8/1/2008 6515 3.4 8405.1
8/2/2008 6516 4.1 9999.1
8/3/2008 6517 5.4 13279.7
8/4/2008 6518 3.9 9583.5
8/5/2008 6519 3.3 8125.8
8/6/2008 6520 3.4 8205.2
8/7/2008 6521 4.7 11409.0
8/8/2008 6522 6.4 15736.4
8/9/2008 6523 4.8 11723.2
8/10/2008 6524 4.7 11544.5
8/11/2008 6525 6.4 15737.4
8/12/2008 6526 5.2 12679.2
8/13/2008 6527 4.2 10158.1
8/14/2008 6528 4.3 10547.7
8/15/2008 6529 3.9 9631.0
8/16/2008 6530 3.5 8665.1
8/17/2008 6531 4.2 10226.0
8/18/2008 6532 3.6 8737.9
8/19/2008 6533 2.4 5852.4
8/20/2008 6534 1.6 4001.8
8/21/2008 6535 1.8 4414.2
8/22/2008 6536 2.4 5831.2
8/23/2008 6537 3.0 7452.5
8/24/2008 6538 2.3 5510.2
8/25/2008 6539 2.3 5732.7
8/26/2008 6540 2.1 5129.0
8/27/2008 6541 1.9 4741.0
8/28/2008 6542 1.7 4067.2
8/29/2008 6543 1.7 4248.5
8/30/2008 6544 1.5 3619.0
8/31/2008 6545 1.6 3879.3
9/1/2008 6546 1.6 3931.7
9/2/2008 6547 1.2 2948.6
9/3/2008 6548 1.4 3434.3
9/4/2008 6549 1.3 3227.8
9/5/2008 6550 1.5 3601.1
9/6/2008 6551 1.6 3796.6
9/7/2008 6552 1.5 3630.1
9/8/2008 6553 1.8 4520.4
9/9/2008 6554 1.7 4134.3
9/10/2008 6555 1.3 3245.5
9/11/2008 6556 1.2 2996.1
9/12/2008 6557 1.2 2900.3
9/13/2008 6558 1.2 2995.4
9/14/2008 6559 1.4 3496.9
9/15/2008 6560 1.5 3720.7
9/16/2008 6561 1.3 3199.6
9/17/2008 6562 1.3 3160.7
9/18/2008 6563 1.3 3299.9
9/19/2008 6564 1.4 3520.6
9/20/2008 6565 1.7 4242.0
9/21/2008 6566 1.6 3906.0
9/22/2008 6567 1.4 3520.3
9/23/2008 6568 1.6 3986.6
9/24/2008 6569 2.1 5027.5
9/25/2008 6570 2.1 5240.6
9/26/2008 6571 2.1 5259.2
9/27/2008 6572 2.1 5168.7
9/28/2008 6573 2.4 5855.9
9/29/2008 6574 2.5 6174.0
9/30/2008 6575 1.9 4602.9
10/1/2008 6576 2.4 5988.7
10/2/2008 6577 2.4 5906.3
10/3/2008 6578 3.7 9129.3
10/4/2008 6579 12.8 31206.4
10/5/2008 6580 16.1 39285.0
10/6/2008 6581 19.4 47401.9
10/7/2008 6582 16.5 40341.0
10/8/2008 6583 10.4 25443.1
10/9/2008 6584 13.8 33660.5
10/10/2008 6585 19.0 46368.8
10/11/2008 6586 12.9 31479.6
10/12/2008 6587 7.3 17924.4
10/13/2008 6588 7.6 18472.2
10/14/2008 6589 7.6 18699.9
10/15/2008 6590 7.6 18558.7
10/16/2008 6591 7.0 17207.9
10/17/2008 6592 7.8 19197.6
10/18/2008 6593 8.4 20500.0
10/19/2008 6594 7.2 17724.2
10/20/2008 6595 7.1 17381.6
10/21/2008 6596 7.5 18233.0
10/22/2008 6597 8.1 19874.6
10/23/2008 6598 6.6 16142.6
10/24/2008 6599 4.7 11594.4
10/25/2008 6600 5.0 12266.0
10/26/2008 6601 4.8 11838.9
10/27/2008 6602 4.7 11469.3
10/28/2008 6603 5.7 13830.0
10/29/2008 6604 8.8 21600.0
10/30/2008 6605 12.1 29514.3
10/31/2008 6606 27.9 68205.1
11/1/2008 6607 148.8 363932.6
11/16/2008 6622 564.5 1381093.1
11/17/2008 6623 422.7 1034217.5
11/18/2008 6624 313.1 766034.6
11/19/2008 6625 239.1 584869.0
11/20/2008 6626 183.6 449309.2
11/21/2008 6627 176.7 432188.6
11/22/2008 6628 162.7 397955.5
11/23/2008 6629 145.7 356370.3
11/24/2008 6630 121.7 297641.7
11/25/2008 6631 110.0 269182.5
11/26/2008 6632 109.8 268541.7
11/27/2008 6633 105.6 258406.0
11/28/2008 6634 93.2 228067.2
11/29/2008 6635 79.5 194619.5
11/30/2008 6636 74.4 181903.5
12/1/2008 6637 73.4 179601.4
12/2/2008 6638 69.3 169505.6
12/3/2008 6639 66.9 163582.0
