LINE_NO,FID,row,col,layer,x,y,z,GROUND_SURFACE_ELEVATION_m,TOP_DEPTH_m,BOT_DEPTH_m,RHO_I,RHO_I_STD
100101,7.0,126,13,0,501310.1304587636,4602705.479908626,926.8499755859375,929.8,0.0,2.0,63.97,1.109
100101,7.0,126,13,0,501310.1304587636,4602705.479908626,924.7119755859375,929.8,2.0,4.276,63.74,1.0962
100101,7.0,126,13,0,501310.1304587636,4602705.479908626,922.2789755859375,929.8,4.276,6.866,63.24,1.0833
100101,7.0,126,13,0,501310.1304587636,4602705.479908626,919.5104755859375,929.8,6.866,9.813,62.4,1.07
100101,7.0,126,13,0,501310.1304587636,4602705.479908626,916.3604755859375,929.8,9.813,13.166,43.14,1.0566
100101,7.0,126,13,0,501310.1304587636,4602705.479908626,912.7759755859375,929.8,13.166,16.982,42.32,1.0456
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,908.6969755859375,929.8,16.982,21.324,41.65,1.0398
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,904.0554755859375,929.8,21.324,26.265,41.34,1.0411
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,898.7739755859375,929.8,26.265,31.887,41.28,1.0478
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,892.7644755859375,929.8,31.887,38.284,93.61,1.0579
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,885.9264755859375,929.8,38.284,45.563,182.1,1.067
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,878.1454755859374,929.8,45.563,53.846,320.3,1.0749
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,869.2914755859375,929.8,53.846,63.271,419.6,1.0817
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,859.2189755859375,929.8,63.271,73.991,484.3,1.0879
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,847.7589755859375,929.8,73.991,86.191,533.5,1.0942
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,834.7139755859375,929.8,86.191,100.081,539.1,1.101
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,819.8689755859375,929.8,100.081,115.881,543.8,1.108
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,802.9789755859375,929.8,115.881,133.861,547.3,1.116
100101,7.0,126,13,1,501310.1304587636,4602705.479908626,783.7589755859375,929.8,133.861,154.321,549.3,1.126
100101,8.0,126,13,0,501340.7490163493,4602722.787739409,926.8499755859375,929.1,0.0,2.0,278.2,1.133
100101,8.0,126,13,0,501340.7490163493,4602722.787739409,924.7119755859375,929.1,2.0,4.276,278.0,1.122
100101,8.0,126,13,0,501340.7490163493,4602722.787739409,922.2789755859375,929.1,4.276,6.866,277.6,1.11
100101,8.0,126,13,0,501340.7490163493,4602722.787739409,919.5104755859375,929.1,6.866,9.813,277.0,1.0982
100101,8.0,126,13,0,501340.7490163493,4602722.787739409,916.3604755859375,929.1,9.813,13.166,276.1,1.0849
100101,8.0,126,13,0,501340.7490163493,4602722.787739409,912.7759755859375,929.1,13.166,16.982,165.0,1.0697
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,908.6969755859375,929.1,16.982,21.324,34.36,1.0516
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,904.0554755859375,929.1,21.324,26.265,34.15,1.0365
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,898.7739755859375,929.1,26.265,31.887,34.13,1.0318
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,892.7644755859375,929.1,31.887,38.284,34.26,1.0404
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,885.9264755859375,929.1,38.284,45.563,197.6,1.0553
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,878.1454755859374,929.1,45.563,53.846,335.3,1.0652
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,869.2914755859375,929.1,53.846,63.271,436.4,1.0719
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,859.2189755859375,929.1,63.271,73.991,499.0,1.0763
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,847.7589755859375,929.1,73.991,86.191,505.3,1.0793
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,834.7139755859375,929.1,86.191,100.081,510.0,1.0817
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,819.8689755859375,929.1,100.081,115.881,514.0,1.0842
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,802.9789755859375,929.1,115.881,133.861,517.4,1.0875
100101,8.0,126,13,1,501340.7490163493,4602722.787739409,783.7589755859375,929.1,133.861,154.321,519.9,1.0923
100101,9.0,125,13,0,501372.9269251572,4602737.172093199,932.1400146484375,927.4,0.0,2.0,375.9,1.137
100101,9.0,125,13,0,501372.9269251572,4602737.172093199,930.0020146484375,927.4,2.0,4.276,375.8,1.127
100101,9.0,125,13,0,501372.9269251572,4602737.172093199,927.5690146484375,927.4,4.276,6.866,375.5,1.116
100101,9.0,125,13,0,501372.9269251572,4602737.172093199,924.8005146484375,927.4,6.866,9.813,374.9,1.105
100101,9.0,125,13,0,501372.9269251572,4602737.172093199,921.6505146484375,927.4,9.813,13.166,374.1,1.0932
100101,9.0,125,13,0,501372.9269251572,4602737.172093199,918.0660146484375,927.4,13.166,16.982,373.2,1.0801
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,913.9870146484375,927.4,16.982,21.324,231.2,1.0649
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,909.3455146484375,927.4,21.324,26.265,34.04,1.0458
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,904.0640146484375,927.4,26.265,31.887,33.68,1.0317
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,898.0545146484375,927.4,31.887,38.284,33.58,1.0316
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,891.2165146484375,927.4,38.284,45.563,59.99,1.0449
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,883.4355146484374,927.4,45.563,53.846,348.3,1.0578
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,874.5815146484375,927.4,53.846,63.271,436.9,1.0655
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,864.5090146484375,927.4,63.271,73.991,442.7,1.0699
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,853.0490146484375,927.4,73.991,86.191,445.3,1.072
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,840.0040146484375,927.4,86.191,100.081,447.2,1.0729
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,825.1590146484375,927.4,100.081,115.881,448.5,1.0733
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,808.2690146484375,927.4,115.881,133.861,449.4,1.0744
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,789.0490146484375,927.4,133.861,154.321,449.7,1.0767
100101,9.0,125,13,1,501372.9269251572,4602737.172093199,767.1790146484375,927.4,154.321,177.601,449.5,1.0809
100101,10.0,125,14,0,501406.6570353209,4602749.352661936,921.0399780273438,923.3,0.0,2.0,221.4,1.124
100101,10.0,125,14,0,501406.6570353209,4602749.352661936,918.9019780273437,923.3,2.0,4.276,221.2,1.113
100101,10.0,125,14,0,501406.6570353209,4602749.352661936,916.4689780273437,923.3,4.276,6.866,220.7,1.101
100101,10.0,125,14,0,501406.6570353209,4602749.352661936,913.7004780273437,923.3,6.866,9.813,220.1,1.0888
100101,10.0,125,14,0,501406.6570353209,4602749.352661936,910.5504780273437,923.3,9.813,13.166,219.0,1.0751
100101,10.0,125,14,0,501406.6570353209,4602749.352661936,906.9659780273438,923.3,13.166,16.982,45.89,1.0593
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,902.8869780273437,923.3,16.982,21.324,42.12,1.0452
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,898.2454780273438,923.3,21.324,26.265,41.76,1.0358
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,892.9639780273437,923.3,26.265,31.887,41.72,1.0355
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,886.9544780273437,923.3,31.887,38.284,41.87,1.0438
100101,10.0,125,14,1,501406.6570353209,4602749.352661936,880.1164780273438,923.3,38.284,45.563,232.5,1.0565
