well_id	well_name	top_scrn_z	bot_scrn_z	row_MF	col_MF	UTM_E	UTM_N
1013	NA	825.2	784.97	221	123	512227	4593280
1019	NA	819.48	792.73	88	131	513027	4606580
1023	NA	815.73	765.85	139	122	512127	4601480
3398	NA	838.86	823.62	133	107	510627	4602080
5725	NA	828.88	799.85	242	130	512953.51	4591208.14
11279	NA	837.54	812.62	132	71	507027	4602180
11280	NA	843.48	820.17	138	67	506627	4601580
11281	NA	835.03	816.44	128	70	506927	4602580
11282	NA	842.09	789.24	185	77	507627	4596880
11284	NA	815.23	772.26	133	122	512127	4602080
11285	NA	857.77	843.01	315	143	514227	4583880
11287	NA	861.56	846.32	129	66	506560.35	4602484.62
11294	NA	863.3	848.06	154	71	507027	4599980
11297	NA	836.86	778.98	189	84	508327	4596480
11300	NA	847.89	832.65	152	87	508627	4600180
11753	NA	814.61	783.16	72	106	510527	4608180
11756	NA	871.27	843.58	126	27	502627	4602780
11764	NA	863.71	848.47	159	72	507127	4599480
11770	NA	855.91	840.67	73	165	516427	4608080
11772	NA	818.02	772.42	165	127	512627	4598880
14258	NA	816.82	798.86	110	132	513127	4604380
14272	NA	820.04	799.06	60	103	510227	4609380
14274	NA	853.25	838.01	72	157	515627	4608180
14275	NA	804.03	780.41	71	28	502727	4608280
14277	NA	814.29	796.86	105	131	513027	4604880
14279	NA	828.36	767.46	197	97	509627	4595680
14816	NA	837.76	814.47	234	141	514027	4591980
18318	NA	813.18	787.23	100	123	512227	4605380
18329	NA	810.58	771.87	79	106	510527	4607480
49057	NA	824.55	794.31	67	97	509627	4608680
49058	NA	818.5	764.08	167	119	511827	4598680
49059	NA	814.78	777.57	129	122	512127	4602480
49081	NA	817.46	795.19	63	92	509127	4609080
49701	NA	839.56	818.98	273	111	511027	4588080
49712	NA	843.92	824.05	245	98	509727	4590880
49715	NA	835.05	819.81	109	118	511684.76	4604495.61
49722	NA	816.65	778.75	136	134	513327	4601780
49823	NA	828.06	767.83	198	98	509727	4595580
49958	NA	861.1	845.86	273	106	510568.2	4588050.23
49964	NA	856.7	841.46	75	164	516371.16	4607872.17
54319	NA	825.84	786.42	227	122	512127	4592680
54330	NA	825.9	797.14	219	132	513127	4593480
54333	NA	826.19	797.24	226	131	513027	4592780
54855	NA	834.46	798.29	226	93	509227	4592780
54858	NA	832.45	783.23	216	95	509427	4593780
54864	NA	845.67	830.43	301	126	512527	4585280
54872	NA	833.28	814.73	211	139	513827	4594280
54921	NA	850.34	835.58	305	121	512027	4584880
54930	NA	874.85	859.61	163	156	515561.31	4599120.42
54936	NA	812.03	793.05	105	120	511927	4604880
54940	NA	817.01	780.86	145	108	510727	4600880
65220	NA	822.76	807.52	58	70	506927	4609580
65221	NA	843.5	824.28	160	151	515027	4599380
65222	NA	805.13	784.11	59	73	507227	4609480
65226	NA	854.63	839.39	71	159	515827	4608280
65227	NA	827.11	812.45	109	137	513627	4604480
65234	NA	817.6	768.1	157	125	512427	4599680
65236	NA	815.96	775.55	146	136	513527	4600780
70933	NA	815.07	793.37	101	128	512727	4605280
70937	NA	814.43	794.73	103	126	512527	4605080
107306	NA	877.41	862.17	73	196	519527	4608080
112528	NA	821.25	793.55	133	141	514027	4602080
112536	NA	815.89	766.85	145	127	512627	4600880
112537	NA	851.24	836.09	254	102	510127	4589980
112906	NA	855.57	842.98	255	100	509927	4589880
112943	NA	844.67	829.43	71	142	514127	4608280
113920	NA	835.7	816.79	160	83	508227	4599380
114352	NA	866.79	851.55	79	182	518150.85	4607436.56
114353	NA	848.61	833.85	311	126	512527	4584280
114355	NA	822.19	791.89	151	101	510027	4600280
114361	NA	866.68	851.44	77	186	518527	4607680
114366	NA	799.32	773.38	66	46	504527	4608780
114370	NA	815.33	771.64	133	127	512627	4602080
115693	NA	836.77	816.99	278	119	511827	4587580
115700	NA	833.56	802.37	249	118	511727	4590480
123508	NA	837.01	809.74	235	93	509227	4591880
123519	NA	886.31	871.07	312	154	515327	4584180
123524	NA	879.4	864.16	68	199	519827	4608580
123525	NA	921.98	906.74	275	82	508127	4587880
123534	NA	845.36	825.32	138	65	506427	4601580
123547	NA	840.7	825.32	289	133	513227	4586480
123549	NA	822.97	800.89	125	141	514027	4602880
123550	NA	848.36	833.12	141	95	509427	4601280
123727	NA	853.08	837.84	63	140	513927	4609080
123728	NA	855.77	840.53	60	141	514027	4609380
126221	NA	813.71	790.88	124	118	511727	4602980
126236	NA	883.96	868.72	304	113	511227	4584980
126241	NA	822.82	793.11	160	141	514027	4599380
126243	NA	863.21	847.97	75	180	517927	4607880
128015	NA	936.74	921.5	353	154	515327	4580080
128017	NA	823.82	808.13	105	134	513327	4604880
128026	NA	825.28	775.51	217	112	511127	4593680
129401	NA	817.75	780.84	165	131	513027	4598880
133103	NA	859.67	844.43	291	115	511427	4586280
133104	NA	832.93	814.73	126	72	507127	4602780
133108	NA	922.21	906.97	274	81	508027	4587980
133120	NA	879.73	864.49	252	91	509027	4590180
133138	NA	841.29	826.05	145	96	509527	4600880
133140	NA	838.8	823.77	284	126	512527	4586980
134575	NA	837.35	815.14	207	141	514027	4594680
141877	NA	818.63	777	172	132	513127	4598180
212708	NA	816.56	765.7	148	117	511627	4600580
212709	NA	816.11	763.61	145	117	511627	4600880
212715	NA	856.22	841.46	305	118	511727	4584880
213884	NA	903.89	888.65	303	166	516539.27	4585043.69
278171	NA	875.87	860.63	333	139	513827	4582080
280014	NA	812.54	777.34	88	118	511727	4606580
333898	NA	881.71	866.47	259	92	509127	4589480
378163	NA	834.73	776.63	200	92	509127	4595380
378170	NA	877.27	862.03	336	137	513573.13	4581750.74
378172	NA	847.84	832.6	154	87	508627	4599980
378174	NA	827.61	783.28	227	110	510927	4592680
378175	NA	872.05	856.81	328	135	513427	4582580
378184	NA	822.17	767.53	199	121	512027	4595480
493810	NA	817.27	798.95	114	135	513427	4603980
493825	NA	834.7	776.9	182	82	508127	4597180
493828	NA	882.7	867.46	68	202	520127	4608580
508685	NA	818.32	790.08	89	129	512827	4606480
508690	NA	837.21	810.31	266	115	511427	4588780
508692	NA	831.54	816.3	126	114	511327	4602780
508713	NA	850.71	820.56	116	34	503327	4603780
508737	NA	825.68	795.75	211	133	513227	4594280
508738	NA	841.14	820.84	210	142	514127	4594380
508740	NA	831.51	774.53	205	96	509527	4594880
508743	NA	810.11	772.92	90	87	508627	4606380
553349	NA	812.63	774.14	73	98	509727	4608080
553351	NA	803.48	774.21	63	72	507127	4609080
553354	NA	816.92	782.53	151	139	513827	4600280
553356	NA	841.84	817.3	265	111	511027	4588880
553358	NA	838.8	821.77	160	81	508027	4599380
553365	NA	830.08	806.65	155	91	509027	4599880
553378	NA	819.17	802.31	109	133	513227	4604480
553593	NA	817.97	764.31	165	120	511927	4598880
553594	NA	820.18	791.57	151	143	514227	4600280
555009	NA	857.74	842.5	75	169	516827	4607880
563204	NA	817.47	790.38	128	137	513627	4602580
563225	NA	845.55	830.31	71	144	514327	4608280
563235	NA	854.06	823.79	113	26	502527	4604080
728657	NA	864.59	849.35	77	175	517427	4607680
750446	NA	863.89	848.65	76	180	517927	4607780
750447	NA	837.58	777.91	197	88	508727	4595680
750462	NA	841.24	789.87	209	88	508727	4594480
750468	NA	813.72	781.89	97	121	512027	4605680
750469	NA	859.96	842.11	169	65	506427	4598480
750473	NA	867.22	851.98	141	171	517027	4601280
750474	NA	855.73	840.49	72	163	516227	4608180
755915	NA	820.63	767.35	189	125	512427	4596480
755917	NA	838.98	814.99	271	111	511027	4588280
755930	NA	804.1	767.29	68	77	507627	4608580
784275	NA	829.65	805.55	246	131	513027	4590780
784300	NA	845.73	830.97	303	127	512627	4585080
784311	NA	858.75	827.17	120	32	503127	4603380
784335	NA	820.36	769.63	181	129	512827	4597280
784336	NA	834.06	807.56	261	120	511927	4589280
784369	NA	838.69	811.62	269	111	511027	4588480
1074456	NA	817.57	795.36	137	107	510627	4601680
1077523	NA	824.11	784.14	207	129	512827	4594680
1077524	NA	820.36	763.33	181	121	512027	4597280
1087537	NA	818.05	785.16	160	138	513727	4599380
1087543	NA	858.79	833.65	111	21	502027	4604280
1087551	NA	813.2	788.22	123	120	511927	4603080
1087564	NA	859.47	844.23	126	173	517273.49	4602807.92
1087582	NA	831.44	811.13	255	126	512527	4589880
1087585	NA	809.38	768.2	87	81	508027	4606680
1087587	NA	849.83	823.05	108	25	502427	4604580
1087588	NA	909.97	894.73	129	46	504527	4602480
1087981	NA	817.87	783.45	165	135	513427	4598880
