FID,row,column,delx,dely,area,UTM_E,UTM_N,NoFlw_Lay1,NoFlw_Lay2,K_Zone
"31,746",121,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,603,280.000000000000000",1,0,2
"31,752",122,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,603,180.000000000000000",1,0,2
"31,753",122,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,603,180.000000000000000",1,0,2
"31,754",122,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,603,180.000000000000000",1,0,2
"31,755",122,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,603,180.000000000000000",1,0,2
"31,760",123,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,603,080.000000000000000",1,0,2
"31,761",123,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,603,080.000000000000000",1,0,2
"31,762",123,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,603,080.000000000000000",1,0,2
"31,763",123,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,603,080.000000000000000",1,0,2
"31,764",123,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,603,080.000000000000000",1,0,2
"31,765",123,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,603,080.000000000000000",1,0,2
"31,769",124,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,602,980.000000000000000",1,0,2
"31,770",124,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,980.000000000000000",1,0,2
"31,771",124,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,980.000000000000000",1,0,2
"31,772",124,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,980.000000000000000",1,0,2
"31,773",124,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,980.000000000000000",1,0,2
"31,774",124,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,980.000000000000000",1,0,2
"31,775",124,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,602,980.000000000000000",1,0,2
"31,776",124,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,602,980.000000000000000",1,0,2
"31,780",125,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,602,880.000000000000000",1,0,2
"31,781",125,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,602,880.000000000000000",1,0,2
"31,782",125,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,880.000000000000000",1,0,2
"31,783",125,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,880.000000000000000",1,0,2
"31,784",125,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,880.000000000000000",1,0,2
"31,785",125,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,880.000000000000000",1,0,2
"31,786",125,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,880.000000000000000",1,0,2
"31,787",125,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,602,880.000000000000000",1,0,2
"31,788",125,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,602,880.000000000000000",1,1,2
"31,791",126,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,602,780.000000000000000",1,0,2
"31,792",126,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,602,780.000000000000000",1,0,2
"31,793",126,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,602,780.000000000000000",1,0,2
"31,794",126,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,780.000000000000000",1,0,2
"31,795",126,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,780.000000000000000",1,0,2
"31,796",126,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,780.000000000000000",1,0,2
"31,797",126,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,780.000000000000000",1,0,2
"31,798",126,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,780.000000000000000",1,0,2
"31,799",126,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,602,780.000000000000000",1,1,2
"31,800",126,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,602,780.000000000000000",1,1,2
"31,803",127,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,602,680.000000000000000",1,0,2
"31,804",127,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,602,680.000000000000000",1,0,2
"31,805",127,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,602,680.000000000000000",1,0,2
"31,806",127,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,680.000000000000000",1,0,2
"31,807",127,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,680.000000000000000",1,0,2
"31,808",127,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,680.000000000000000",1,0,2
"31,809",127,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,680.000000000000000",1,0,2
"31,810",127,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,680.000000000000000",1,0,2
"31,811",127,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,602,680.000000000000000",1,1,2
"31,812",127,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,602,680.000000000000000",1,1,2
"31,814",128,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,602,580.000000000000000",1,0,2
"31,815",128,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,602,580.000000000000000",1,0,2
"31,816",128,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,580.000000000000000",1,0,2
"31,817",128,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,580.000000000000000",1,0,2
"31,818",128,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,580.000000000000000",1,0,2
"31,819",128,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,580.000000000000000",1,0,2
"31,820",128,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,580.000000000000000",1,1,2
"31,821",128,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,602,580.000000000000000",1,1,2
"31,822",128,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,602,580.000000000000000",1,1,2
"31,823",129,104,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,327.000000000000000","4,602,480.000000000000000",1,0,2
"31,824",129,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,602,480.000000000000000",1,0,2
"31,825",129,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,602,480.000000000000000",1,0,2
"31,826",129,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,480.000000000000000",1,0,2
"31,827",129,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,480.000000000000000",1,0,2
"31,828",129,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,480.000000000000000",1,0,2
"31,829",129,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,480.000000000000000",1,1,2
"31,830",129,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,480.000000000000000",1,1,2
"31,831",129,115,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,427.000000000000000","4,602,480.000000000000000",1,1,2
"31,832",129,116,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,527.000000000000000","4,602,480.000000000000000",1,1,2
"31,833",130,103,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,227.000000000000000","4,602,380.000000000000000",1,0,2
"31,834",130,104,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,327.000000000000000","4,602,380.000000000000000",1,0,2
"31,835",130,105,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,427.000000000000000","4,602,380.000000000000000",1,0,2
"31,836",130,106,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,527.000000000000000","4,602,380.000000000000000",1,0,2
"31,837",130,107,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,627.000000000000000","4,602,380.000000000000000",1,0,2
"31,838",130,108,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,727.000000000000000","4,602,380.000000000000000",1,0,2
"31,839",130,109,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,827.000000000000000","4,602,380.000000000000000",1,0,2
"31,840",130,110,100.000000000000000,100.000000000000000,"10,000.000000000000000","510,927.000000000000000","4,602,380.000000000000000",1,0,2
"31,841",130,111,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,027.000000000000000","4,602,380.000000000000000",1,0,2
"31,842",130,112,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,127.000000000000000","4,602,380.000000000000000",1,1,2
"31,843",130,113,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,227.000000000000000","4,602,380.000000000000000",1,1,2
"31,844",130,114,100.000000000000000,100.000000000000000,"10,000.000000000000000","511,327.000000000000000","4,602,380.000000000000000",1,1,2
