STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
SFJ,D,41,M FLOW,20011001 0000,20011001 0000,7, ,CFS
SFJ,D,41,M FLOW,20011002 0000,20011002 0000,7, ,CFS
SFJ,D,41,M FLOW,20011003 0000,20011003 0000,7, ,CFS
SFJ,D,41,M FLOW,20011004 0000,20011004 0000,6, ,CFS
SFJ,D,41,M FLOW,20011005 0000,20011005 0000,4, ,CFS
SFJ,D,41,M FLOW,20011006 0000,20011006 0000,4, ,CFS
SFJ,D,41,M FLOW,20011007 0000,20011007 0000,4, ,CFS
SFJ,D,41,M FLOW,20011008 0000,20011008 0000,4, ,CFS
SFJ,D,41,M FLOW,20011009 0000,20011009 0000,5, ,CFS
SFJ,D,41,M FLOW,20011010 0000,20011010 0000,4, ,CFS
SFJ,D,41,M FLOW,20011011 0000,20011011 0000,4, ,CFS
SFJ,D,41,M FLOW,20011012 0000,20011012 0000,4, ,CFS
SFJ,D,41,M FLOW,20011013 0000,20011013 0000,4, ,CFS
SFJ,D,41,M FLOW,20011014 0000,20011014 0000,4, ,CFS
SFJ,D,41,M FLOW,20011015 0000,20011015 0000,4, ,CFS
SFJ,D,41,M FLOW,20011016 0000,20011016 0000,4, ,CFS
SFJ,D,41,M FLOW,20011017 0000,20011017 0000,4, ,CFS
SFJ,D,41,M FLOW,20011018 0000,20011018 0000,4, ,CFS
SFJ,D,41,M FLOW,20011019 0000,20011019 0000,4, ,CFS
SFJ,D,41,M FLOW,20011020 0000,20011020 0000,4, ,CFS
SFJ,D,41,M FLOW,20011021 0000,20011021 0000,5, ,CFS
SFJ,D,41,M FLOW,20011022 0000,20011022 0000,4, ,CFS
SFJ,D,41,M FLOW,20011023 0000,20011023 0000,4, ,CFS
SFJ,D,41,M FLOW,20011024 0000,20011024 0000,5, ,CFS
SFJ,D,41,M FLOW,20011025 0000,20011025 0000,5, ,CFS
SFJ,D,41,M FLOW,20011026 0000,20011026 0000,5, ,CFS
SFJ,D,41,M FLOW,20011027 0000,20011027 0000,5, ,CFS
SFJ,D,41,M FLOW,20011028 0000,20011028 0000,5, ,CFS
SFJ,D,41,M FLOW,20011029 0000,20011029 0000,5, ,CFS
SFJ,D,41,M FLOW,20011030 0000,20011030 0000,5, ,CFS
SFJ,D,41,M FLOW,20011031 0000,20011031 0000,5, ,CFS
SFJ,D,41,M FLOW,20011101 0000,20011101 0000,5, ,CFS
SFJ,D,41,M FLOW,20011102 0000,20011102 0000,5, ,CFS
SFJ,D,41,M FLOW,20011103 0000,20011103 0000,5, ,CFS
SFJ,D,41,M FLOW,20011104 0000,20011104 0000,5, ,CFS
SFJ,D,41,M FLOW,20011105 0000,20011105 0000,5, ,CFS
SFJ,D,41,M FLOW,20011106 0000,20011106 0000,5, ,CFS
SFJ,D,41,M FLOW,20011107 0000,20011107 0000,5, ,CFS
SFJ,D,41,M FLOW,20011108 0000,20011108 0000,5, ,CFS
SFJ,D,41,M FLOW,20011109 0000,20011109 0000,5, ,CFS
SFJ,D,41,M FLOW,20011110 0000,20011110 0000,8, ,CFS
SFJ,D,41,M FLOW,20011111 0000,20011111 0000,9, ,CFS
SFJ,D,41,M FLOW,20011112 0000,20011112 0000,6, ,CFS
SFJ,D,41,M FLOW,20011113 0000,20011113 0000,6, ,CFS
SFJ,D,41,M FLOW,20011114 0000,20011114 0000,5, ,CFS
SFJ,D,41,M FLOW,20011115 0000,20011115 0000,5, ,CFS
SFJ,D,41,M FLOW,20011116 0000,20011116 0000,6, ,CFS
SFJ,D,41,M FLOW,20011117 0000,20011117 0000,5, ,CFS
SFJ,D,41,M FLOW,20011118 0000,20011118 0000,5, ,CFS
SFJ,D,41,M FLOW,20011119 0000,20011119 0000,5, ,CFS
SFJ,D,41,M FLOW,20011120 0000,20011120 0000,6, ,CFS
SFJ,D,41,M FLOW,20011121 0000,20011121 0000,23, ,CFS
SFJ,D,41,M FLOW,20011122 0000,20011122 0000,545, ,CFS
SFJ,D,41,M FLOW,20011123 0000,20011123 0000,348, ,CFS
SFJ,D,41,M FLOW,20011124 0000,20011124 0000,215, ,CFS
SFJ,D,41,M FLOW,20011125 0000,20011125 0000,158, ,CFS
SFJ,D,41,M FLOW,20011126 0000,20011126 0000,121, ,CFS
SFJ,D,41,M FLOW,20011127 0000,20011127 0000,102, ,CFS
SFJ,D,41,M FLOW,20011128 0000,20011128 0000,107, ,CFS
SFJ,D,41,M FLOW,20011129 0000,20011129 0000,118, ,CFS
SFJ,D,41,M FLOW,20011130 0000,20011130 0000,111, ,CFS
SFJ,D,41,M FLOW,20011201 0000,20011201 0000,133, ,CFS
SFJ,D,41,M FLOW,20011202 0000,20011202 0000,193, ,CFS
SFJ,D,41,M FLOW,20011203 0000,20011203 0000,221, ,CFS
SFJ,D,41,M FLOW,20011204 0000,20011204 0000,193, ,CFS
SFJ,D,41,M FLOW,20011205 0000,20011205 0000,177, ,CFS
SFJ,D,41,M FLOW,20011206 0000,20011206 0000,348, ,CFS
SFJ,D,41,M FLOW,20011207 0000,20011207 0000,414, ,CFS
SFJ,D,41,M FLOW,20011208 0000,20011208 0000,325, ,CFS
SFJ,D,41,M FLOW,20011209 0000,20011209 0000,270, ,CFS
SFJ,D,41,M FLOW,20011210 0000,20011210 0000,241, ,CFS
SFJ,D,41,M FLOW,20011211 0000,20011211 0000,217, ,CFS
SFJ,D,41,M FLOW,20011212 0000,20011212 0000,196, ,CFS
SFJ,D,41,M FLOW,20011213 0000,20011213 0000,236, ,CFS
SFJ,D,41,M FLOW,20011214 0000,20011214 0000,835, ,CFS
SFJ,D,41,M FLOW,20011215 0000,20011215 0000,639, ,CFS
SFJ,D,41,M FLOW,20011216 0000,20011216 0000,491, ,CFS
SFJ,D,41,M FLOW,20011217 0000,20011217 0000,660, ,CFS
SFJ,D,41,M FLOW,20011218 0000,20011218 0000,621, ,CFS
SFJ,D,41,M FLOW,20011219 0000,20011219 0000,594, ,CFS
SFJ,D,41,M FLOW,20011220 0000,20011220 0000,598, ,CFS
SFJ,D,41,M FLOW,20011221 0000,20011221 0000,552, ,CFS
SFJ,D,41,M FLOW,20011222 0000,20011222 0000,494, ,CFS
SFJ,D,41,M FLOW,20011223 0000,20011223 0000,446, ,CFS
SFJ,D,41,M FLOW,20011224 0000,20011224 0000,410, ,CFS
SFJ,D,41,M FLOW,20011225 0000,20011225 0000,379, ,CFS
SFJ,D,41,M FLOW,20011226 0000,20011226 0000,356, ,CFS
SFJ,D,41,M FLOW,20011227 0000,20011227 0000,353, ,CFS
SFJ,D,41,M FLOW,20011228 0000,20011228 0000,455, ,CFS
SFJ,D,41,M FLOW,20011229 0000,20011229 0000,475, ,CFS
SFJ,D,41,M FLOW,20011230 0000,20011230 0000,489, ,CFS
SFJ,D,41,M FLOW,20011231 0000,20011231 0000,788, ,CFS
SFJ,D,41,M FLOW,20020101 0000,20020101 0000,870, ,CFS
SFJ,D,41,M FLOW,20020102 0000,20020102 0000,1965, ,CFS
SFJ,D,41,M FLOW,20020103 0000,20020103 0000,2089, ,CFS
SFJ,D,41,M FLOW,20020104 0000,20020104 0000,1299, ,CFS
SFJ,D,41,M FLOW,20020105 0000,20020105 0000,1040, ,CFS
SFJ,D,41,M FLOW,20020106 0000,20020106 0000,2207, ,CFS
SFJ,D,41,M FLOW,20020107 0000,20020107 0000,2839, ,CFS
SFJ,D,41,M FLOW,20020108 0000,20020108 0000,2537, ,CFS
SFJ,D,41,M FLOW,20020109 0000,20020109 0000,2203, ,CFS
SFJ,D,41,M FLOW,20020110 0000,20020110 0000,1660, ,CFS
SFJ,D,41,M FLOW,20020111 0000,20020111 0000,1360, ,CFS
SFJ,D,41,M FLOW,20020112 0000,20020112 0000,1200, ,CFS
SFJ,D,41,M FLOW,20020113 0000,20020113 0000,1100, ,CFS
SFJ,D,41,M FLOW,20020114 0000,20020114 0000,1012, ,CFS
SFJ,D,41,M FLOW,20020115 0000,20020115 0000,923, ,CFS
SFJ,D,41,M FLOW,20020116 0000,20020116 0000,853, ,CFS
SFJ,D,41,M FLOW,20020117 0000,20020117 0000,802, ,CFS
SFJ,D,41,M FLOW,20020118 0000,20020118 0000,735, ,CFS
SFJ,D,41,M FLOW,20020119 0000,20020119 0000,659, ,CFS
SFJ,D,41,M FLOW,20020120 0000,20020120 0000,620, ,CFS
SFJ,D,41,M FLOW,20020121 0000,20020121 0000,655, ,CFS
SFJ,D,41,M FLOW,20020122 0000,20020122 0000,667, ,CFS
SFJ,D,41,M FLOW,20020123 0000,20020123 0000,588, ,CFS
SFJ,D,41,M FLOW,20020124 0000,20020124 0000,549, ,CFS
SFJ,D,41,M FLOW,20020125 0000,20020125 0000,528, ,CFS
SFJ,D,41,M FLOW,20020126 0000,20020126 0000,550, ,CFS
SFJ,D,41,M FLOW,20020127 0000,20020127 0000,520, ,CFS
SFJ,D,41,M FLOW,20020128 0000,20020128 0000,520, ,CFS
SFJ,D,41,M FLOW,20020129 0000,20020129 0000,449, ,CFS
SFJ,D,41,M FLOW,20020130 0000,20020130 0000,430, ,CFS
SFJ,D,41,M FLOW,20020131 0000,20020131 0000,425, ,CFS
SFJ,D,41,M FLOW,20020201 0000,20020201 0000,416, ,CFS
SFJ,D,41,M FLOW,20020202 0000,20020202 0000,403, ,CFS
SFJ,D,41,M FLOW,20020203 0000,20020203 0000,389, ,CFS
