Polygon_ID	Well_ID	
1877	1013	
341	1013	
332	1013	
491	1013	
2034	1013	
309	1013	
246	1013	
1763	1019	
1762	1019	
1743	1019	
688	1019	
665	1019	
1742	1019	
228	1019	
198	1023	
60	1023	
705	1023	
1716	1023	
539	1023	
1715	1023	
348	3398	
6	3398	
272	3398	
90	3398	
479	5725	
223	5725	
573	5725	
430	5725	
1652	11279	
362	11279	
515	11280	
217	11280	
505	11280	
1655	11281	
440	11281	
644	11281	
402	11281	
1623	11282	
1624	11282	
1632	11282	
1622	11282	
472	11282	
1625	11282	
2018	11282	
121	11282	
360	11284	
205	11284	
707	11284	
706	11284	
1931	11285	
1932	11285	
470	11285	
1914	11285	
1930	11285	
1929	11285	
1928	11285	
514	11285	
1927	11285	
1651	11287	
1650	11287	
1654	11287	
178	11287	
1653	11287	
1649	11287	
1638	11294	
1642	11294	
1648	11294	
1639	11294	
1647	11294	
1644	11294	
1643	11294	
2019	11297	
1631	11297	
2020	11297	
127	11300	
503	11300	
203	11300	
1641	11300	
180	11300	
439	11753	
370	11753	
560	11753	
59	11753	
1566	11753	
177	11753	
395	11753	
226	11753	
399	11753	
667	11753	
383	11753	
604	11753	
104	11753	
35	11753	
326	11753	
143	11753	
86	11753	
678	11753	
923	11753	
1588	11756	
1586	11756	
1585	11756	
636	11756	
1574	11756	
441	11756	
1580	11756	
261	11756	
1575	11756	
1646	11764	
446	11770	
208	11770	
109	11770	
425	11770	
475	11770	
429	11772	
142	14258	
1738	14258	
229	14272	
215	14272	
234	14272	
654	14272	
471	14272	
501	14274	
537	14274	
302	14274	
507	14274	
364	14274	
209	14275	
1549	14275	
1548	14275	
1597	14275	
55	14275	
1554	14275	
2016	14275	
1602	14275	
196	14275	
1666	14275	
2022	14275	
2021	14275	
1547	14275	
1662	14275	
1614	14275	
598	14275	
152	14275	
1665	14275	
1546	14275	
1545	14275	
1600	14275	
531	14275	
1599	14275	
1663	14275	
1544	14275	
214	14275	
1553	14275	
1594	14275	
542	14275	
1551	14275	
1596	14275	
682	14275	
1555	14275	
635	14275	
666	14275	
1667	14275	
1550	14275	
464	14275	
1552	14275	
2017	14275	
1664	14275	
1543	14275	
1613	14275	
1661	14275	
1542	14275	
1598	14275	
1668	14275	
67	14277	
1750	14277	
512	14277	
194	14277	
124	14277	
2024	14279	
1626	14279	
1620	14279	
593	14816	
1901	14816	
45	14816	
1899	14816	
585	14816	
530	14816	
284	14816	
477	14816	
103	14816	
39	14816	
586	14816	
148	14816	
448	14816	
187	14816	
597	14816	
167	14816	
273	14816	
1890	14816	
1894	14816	
1900	14816	
1902	14816	
386	14816	
519	14816	
492	14816	
574	14816	
62	14816	
291	14816	
1892	14816	
408	18318	
595	18318	
191	18318	
596	18329	
377	18329	
254	18329	
641	18329	
91	18329	
63	18329	
236	18329	
873	18329	
12	49057	
690	49057	
277	49057	
562	49057	
1531	49057	
1532	49057	
376	49058	
11	49058	
279	49058	
653	49058	
2023	49058	
357	49058	
1703	49058	
1706	49058	
2026	49058	
683	49058	
31	49058	
1702	49058	
22	49058	
115	49059	
517	49059	
650	49059	
244	49081	
684	49081	
420	49081	
213	49081	
1538	49081	
79	49081	
1533	49081	
4	49081	
281	49081	
