well_id  specify_pumping
Oct1990  FALSE
Nov1990  FALSE
Dec1990  FALSE
Jan1991  FALSE
Feb1991  FALSE
Mar1991  FALSE
Apr1991  FALSE
May1991  FALSE
Jun1991  FALSE
Jul1991  FALSE
Aug1991  FALSE
Sep1991  FALSE
Oct1991  FALSE
Nov1991  FALSE
Dec1991  FALSE
Jan1992  FALSE
Feb1992  FALSE
Mar1992  FALSE
Apr1992  FALSE
May1992  FALSE
Jun1992  FALSE
Jul1992  FALSE
Aug1992  FALSE
Sep1992  FALSE
Oct1992  FALSE
Nov1992  FALSE
Dec1992  FALSE
Jan1993  FALSE
Feb1993  FALSE
Mar1993  FALSE
Apr1993  FALSE
May1993  FALSE
Jun1993  FALSE
Jul1993  FALSE
Aug1993  FALSE
Sep1993  FALSE
Oct1993  FALSE
Nov1993  FALSE
Dec1993  FALSE
Jan1994  FALSE
Feb1994  FALSE
Mar1994  FALSE
Apr1994  FALSE
May1994  FALSE
Jun1994  FALSE
Jul1994  FALSE
Aug1994  FALSE
Sep1994  FALSE
Oct1994  FALSE
Nov1994  FALSE
Dec1994  FALSE
Jan1995  FALSE
Feb1995  FALSE
Mar1995  FALSE
Apr1995  FALSE
May1995  FALSE
Jun1995  FALSE
Jul1995  FALSE
Aug1995  FALSE
Sep1995  FALSE
Oct1995  FALSE
Nov1995  FALSE
Dec1995  FALSE
Jan1996  FALSE
Feb1996  FALSE
Mar1996  FALSE
Apr1996  FALSE
May1996  FALSE
Jun1996  FALSE
Jul1996  FALSE
Aug1996  FALSE
Sep1996  FALSE
Oct1996  FALSE
Nov1996  FALSE
Dec1996  FALSE
Jan1997  FALSE
Feb1997  FALSE
Mar1997  FALSE
Apr1997  FALSE
May1997  FALSE
Jun1997  FALSE
Jul1997  FALSE
Aug1997  FALSE
Sep1997  FALSE
Oct1997  FALSE
Nov1997  FALSE
Dec1997  FALSE
Jan1998  FALSE
Feb1998  FALSE
Mar1998  FALSE
Apr1998  FALSE
May1998  FALSE
Jun1998  FALSE
Jul1998  FALSE
Aug1998  FALSE
Sep1998  FALSE
Oct1998  FALSE
Nov1998  FALSE
Dec1998  FALSE
Jan1999  FALSE
Feb1999  FALSE
Mar1999  FALSE
Apr1999  FALSE
May1999  FALSE
Jun1999  FALSE
Jul1999  FALSE
Aug1999  FALSE
Sep1999  FALSE
Oct1999  FALSE
Nov1999  FALSE
Dec1999  FALSE
Jan2000  FALSE
Feb2000  FALSE
Mar2000  FALSE
Apr2000  FALSE
May2000  FALSE
Jun2000  FALSE
Jul2000  FALSE
Aug2000  FALSE
Sep2000  FALSE
Oct2000  FALSE
Nov2000  FALSE
Dec2000  FALSE
Jan2001  FALSE
Feb2001  FALSE
Mar2001  FALSE
Apr2001  FALSE
May2001  FALSE
Jun2001  FALSE
Jul2001  FALSE
Aug2001  FALSE
Sep2001  FALSE
Oct2001  FALSE
Nov2001  FALSE
Dec2001  FALSE
Jan2002  FALSE
Feb2002  FALSE
Mar2002  FALSE
Apr2002  FALSE
May2002  FALSE
Jun2002  FALSE
Jul2002  FALSE
Aug2002  FALSE
Sep2002  FALSE
Oct2002  FALSE
Nov2002  FALSE
Dec2002  FALSE
Jan2003  FALSE
Feb2003  FALSE
Mar2003  FALSE
Apr2003  FALSE
May2003  FALSE
Jun2003  FALSE
Jul2003  FALSE
Aug2003  FALSE
Sep2003  FALSE
Oct2003  FALSE
Nov2003  FALSE
Dec2003  FALSE
Jan2004  FALSE
Feb2004  FALSE
Mar2004  FALSE
Apr2004  FALSE
May2004  FALSE
Jun2004  FALSE
Jul2004  FALSE
Aug2004  FALSE
Sep2004  FALSE
Oct2004  FALSE
Nov2004  FALSE
Dec2004  FALSE
Jan2005  FALSE
Feb2005  FALSE
Mar2005  FALSE
Apr2005  FALSE
May2005  FALSE
Jun2005  FALSE
Jul2005  FALSE
Aug2005  FALSE
Sep2005  FALSE
Oct2005  FALSE
Nov2005  FALSE
Dec2005  FALSE
Jan2006  FALSE
Feb2006  FALSE
Mar2006  FALSE
Apr2006  FALSE
May2006  FALSE
Jun2006  FALSE
Jul2006  FALSE
Aug2006  FALSE
Sep2006  FALSE
Oct2006  FALSE
Nov2006  FALSE
Dec2006  FALSE
Jan2007  FALSE
Feb2007  FALSE
Mar2007  FALSE
Apr2007  FALSE
May2007  FALSE
Jun2007  FALSE
Jul2007  FALSE
Aug2007  FALSE
Sep2007  FALSE
Oct2007  FALSE
Nov2007  FALSE
Dec2007  FALSE
Jan2008  FALSE
Feb2008  FALSE
Mar2008  FALSE
Apr2008  FALSE
May2008  FALSE
Jun2008  FALSE
Jul2008  FALSE
Aug2008  FALSE
Sep2008  FALSE
Oct2008  FALSE
Nov2008  FALSE
Dec2008  FALSE
Jan2009  FALSE
Feb2009  FALSE
Mar2009  FALSE
Apr2009  FALSE
May2009  FALSE
Jun2009  FALSE
Jul2009  FALSE
Aug2009  FALSE
Sep2009  FALSE
Oct2009  FALSE
Nov2009  FALSE
Dec2009  FALSE
Jan2010  FALSE
Feb2010  FALSE
Mar2010  FALSE
Apr2010  FALSE
May2010  FALSE
Jun2010  FALSE
Jul2010  FALSE
Aug2010  FALSE
Sep2010  FALSE
Oct2010  FALSE
Nov2010  FALSE
Dec2010  FALSE
Jan2011  FALSE
Feb2011  FALSE
Mar2011  FALSE
Apr2011  FALSE
May2011  FALSE
Jun2011  FALSE
Jul2011  FALSE
Aug2011  FALSE
Sep2011  FALSE
Oct2011  FALSE
Nov2011  FALSE
Dec2011  FALSE
Jan2012  FALSE
Feb2012  FALSE
Mar2012  FALSE
Apr2012  FALSE
May2012  FALSE
Jun2012  FALSE
Jul2012  FALSE
Aug2012  FALSE
Sep2012  FALSE
Oct2012  FALSE
Nov2012  FALSE
Dec2012  FALSE
Jan2013  FALSE
Feb2013  FALSE
Mar2013  FALSE
Apr2013  FALSE
May2013  FALSE
Jun2013  FALSE
Jul2013  FALSE
Aug2013  FALSE
Sep2013  FALSE
Oct2013  FALSE
Nov2013  FALSE
Dec2013  FALSE
Jan2014  FALSE
Feb2014  FALSE
Mar2014  FALSE
Apr2014  FALSE
May2014  FALSE
Jun2014  FALSE
Jul2014  FALSE
Aug2014  FALSE
Sep2014  FALSE
Oct2014  FALSE
Nov2014  FALSE
Dec2014  FALSE
Jan2015  FALSE
Feb2015  FALSE
Mar2015  FALSE
Apr2015  FALSE
May2015  FALSE
Jun2015  FALSE
Jul2015  FALSE
Aug2015  FALSE
Sep2015  FALSE
Oct2015  FALSE
Nov2015  FALSE
Dec2015  FALSE
Jan2016  FALSE
Feb2016  FALSE
Mar2016  FALSE
Apr2016  FALSE
May2016  FALSE
Jun2016  FALSE
Jul2016  FALSE
Aug2016  FALSE
Sep2016  FALSE
Oct2016  FALSE
Nov2016  FALSE
Dec2016  FALSE
Jan2017  FALSE
Feb2017  FALSE
Mar2017  FALSE
Apr2017  FALSE
May2017  FALSE
Jun2017  FALSE
Jul2017  FALSE
Aug2017  FALSE
Sep2017  FALSE
Oct2017  FALSE
Nov2017  FALSE
Dec2017  FALSE
Jan2018  FALSE
Feb2018  FALSE
Mar2018  FALSE
Apr2018  FALSE
May2018  FALSE
Jun2018  FALSE
Jul2018  FALSE
Aug2018  FALSE
Sep2018  FALSE
Oct2018  FALSE
Nov2018  FALSE
