Day Scott_River_Avg_Flow_m3day Sugar_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1990-10-01 31710.2991153298 5158.39224951605 1993.62375306787 1993.62375306787 8481.38763656043 781.240129032327 585.930096774245 3906.20064516163 5831.75894302277 1717.66320611964 8990.80172861524 7460.75365265728
1990-10-02 32870.3414908064 5326.30821737142 2085.76049970889 2085.76049970889 8829.25221613854 811.963383415346 608.97253756151 4059.81691707673 6105.75546793322 1787.88024463272 9190.48333143596 7797.66601038632
1990-10-03 35156.2640308101 5655.19091880294 2269.67747379363 2269.67747379363 9518.65623113516 872.708736293228 654.531552219921 4363.54368146614 6653.26826812551 1927.01140439865 9575.95086303258 8469.20509805107
1990-10-04 36283.3350413216 5816.41243421081 2361.46803769676 2361.46803769676 9860.39753337172 902.753877013969 677.065407760476 4513.76938506984 6926.79825982091 1995.96720748145 9762.32671925576 8803.89945363478
1990-10-05 36283.3350413216 5816.41243421081 2361.46803769676 2361.46803769676 9860.39753337172 902.753877013969 677.065407760476 4513.76938506984 6926.79825982091 1995.96720748145 9762.32671925576 8803.89945363478
1990-10-06 38508.2808184517 6132.96649934355 2544.73606131202 2544.73606131202 10538.3998922727 962.239333830401 721.679500372801 4811.19666915201 7473.43563492529 2132.75033656628 10123.6205235254 9471.28637389164
1990-10-07 39607.0589134302 6288.49080698839 2636.2215761276 2636.2215761276 10874.816200385 991.697295205643 743.772971404232 4958.48647602821 7746.55372817792 2200.60970811426 10298.9707906866 9804.03149767606
1990-10-08 39607.0589134302 6288.49080698839 2636.2215761276 2636.2215761276 10874.816200385 991.697295205643 743.772971404232 4958.48647602821 7746.55372817792 2200.60970811426 10298.9707906866 9804.03149767606
1990-10-09 38508.2808184517 6132.96649934355 2544.73606131202 2544.73606131202 10538.3998922727 962.239333830401 721.679500372801 4811.19666915201 7473.43563492529 2132.75033656628 10123.6205235254 9471.28637389164
1990-10-10 41779.2172562492 6594.45527089953 2818.91359020252 2818.91359020252 11542.8235201206 1050.08275619113 787.562067143346 5250.41378095564 8292.41265074381 2335.33515146199 10640.0164873779 10467.7422386177
1990-10-11 43919.8236295708 6894.12793453095 3001.25473427876 3001.25473427876 12204.799665332 1107.8065003603 830.854875270223 5539.03250180149 8837.79672832308 2468.81925924609 10969.2596064637 11129.2179593677
