Day Scott_River_Avg_Flow_m3day Sugar_Avg_Flow_m3day Miners_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Johnson_Avg_Flow_m3day Crystal_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1990-10-01 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-02 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-03 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-04 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-05 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-06 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-07 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-08 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-09 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-10 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-11 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-12 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-13 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-14 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-15 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-16 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-17 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-18 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-19 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-20 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-21 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-22 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-23 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-24 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-25 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-26 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-27 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-28 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-29 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-30 0 0 0 0 0 0 0 0 0 0 0 0
1990-10-31 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-01 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-02 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-03 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-04 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-05 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-06 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-07 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-08 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-09 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-10 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-11 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-12 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-13 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-14 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-15 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-16 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-17 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-18 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-19 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-20 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-21 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-22 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-23 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-24 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-25 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-26 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-27 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-28 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-29 0 0 0 0 0 0 0 0 0 0 0 0
1990-11-30 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-01 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-02 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-03 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-04 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-05 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-06 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-07 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-08 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-09 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-10 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-11 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-12 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-13 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-14 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-15 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-16 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-17 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-18 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-19 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-20 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-21 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-22 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-23 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-24 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-25 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-26 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-27 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-28 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-29 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-30 0 0 0 0 0 0 0 0 0 0 0 0
1990-12-31 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-01 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-02 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-03 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-04 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-05 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-06 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-07 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-08 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-09 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-10 0 0 0 0 0 0 0 0 0 0 0 0
1991-01-11 0 0 0 0 0 0 0 0 0 0 0 0
