"","Date","mean_cfs","Qual_Flag","AF"
"1",1941-10-01,80,"A",158.678784
"2",1941-10-02,80,"A",158.678784
"3",1941-10-03,80,"A",158.678784
"4",1941-10-04,80,"A",158.678784
"5",1941-10-05,80,"A",158.678784
"6",1941-10-06,80,"A",158.678784
"7",1941-10-07,80,"A",158.678784
"8",1941-10-08,80,"A",158.678784
"9",1941-10-09,80,"A",158.678784
"10",1941-10-10,80,"A",158.678784
"11",1941-10-11,80,"A",158.678784
"12",1941-10-12,80,"A",158.678784
"13",1941-10-13,80,"A",158.678784
"14",1941-10-14,80,"A",158.678784
"15",1941-10-15,80,"A",158.678784
"16",1941-10-16,80,"A",158.678784
"17",1941-10-17,80,"A",158.678784
"18",1941-10-18,80,"A",158.678784
"19",1941-10-19,80,"A",158.678784
"20",1941-10-20,80,"A",158.678784
"21",1941-10-21,80,"A",158.678784
"22",1941-10-22,80,"A",158.678784
"23",1941-10-23,80,"A",158.678784
"24",1941-10-24,80,"A",158.678784
"25",1941-10-25,80,"A",158.678784
"26",1941-10-26,80,"A",158.678784
"27",1941-10-27,80,"A",158.678784
"28",1941-10-28,80,"A",158.678784
"29",1941-10-29,80,"A",158.678784
"30",1941-10-30,80,"A",158.678784
"31",1941-10-31,80,"A",158.678784
"32",1941-11-01,150,"A",297.52272
"33",1941-11-02,150,"A",297.52272
"34",1941-11-03,150,"A",297.52272
"35",1941-11-04,150,"A",297.52272
"36",1941-11-05,150,"A",297.52272
"37",1941-11-06,150,"A",297.52272
"38",1941-11-07,150,"A",297.52272
"39",1941-11-08,150,"A",297.52272
"40",1941-11-09,150,"A",297.52272
"41",1941-11-10,150,"A",297.52272
"42",1941-11-11,150,"A",297.52272
"43",1941-11-12,150,"A",297.52272
"44",1941-11-13,150,"A",297.52272
"45",1941-11-14,150,"A",297.52272
"46",1941-11-15,150,"A",297.52272
"47",1941-11-16,150,"A",297.52272
"48",1941-11-17,150,"A",297.52272
"49",1941-11-18,150,"A",297.52272
"50",1941-11-19,150,"A",297.52272
"51",1941-11-20,150,"A",297.52272
"52",1941-11-21,150,"A",297.52272
