Month	East_Fork_Avg_Flow_m3day	South_Fork_Avg_Flow_m3day	Sugar_Avg_Flow_m3day	French_Avg_Flow_m3day	Etna_Avg_Flow_m3day	Johnson_Avg_Flow_m3day	Crystal_Avg_Flow_m3day	Patterson_Avg_Flow_m3day	Kidder_Avg_Flow_m3day	Moffett_Avg_Flow_m3day	Mill_Avg_Flow_m3day	Shackleford_Avg_Flow_m3day
1990-10-01	14047.3528933113	17285.7995428699	4964.1823333354	4321.09398656781	10187.5057930403	582.007171115711	436.505378336784	2910.03585557856	9376.32538199815	1671.08516533544	14157.0738164918	19724.4224208123
1990-11-01	24072.4962287318	26374.7915882286	7784.43544525253	7781.57275104296	17082.5877860143	1007.38228749557	755.536715621676	5036.91143747784	17175.779668425	2933.46474256647	18879.4101109198	29183.0879083349
1990-12-01	28206.3433974767	29576.5553015186	8820.18287780322	9290.52480729173	19852.2448144455	1184.84279220668	888.632094155008	5924.21396103338	20639.1204200651	3468.64575148592	20120.2420475245	32346.9580235169
1991-01-01	48789.3979502104	45112.8548978239	13857.9609513795	16957.4324611461	33539.8677260536	2071.76295107135	1553.82221330351	10358.8147553568	38374.0969470247	6158.35722371267	26523.5393433038	47719.958794508
1991-02-01	90769.5695301461	74503.0312897024	23537.6110701039	33195.824296288	61022.4014380728	3894.10180538047	2920.57635403535	19470.5090269023	76447.758479394	11743.777639368	38150.1610005821	76357.6562101909
1991-03-01	141562.03436957	102501.663194481	33353.9150092673	54620.5137964628	92961.2366233821	6139.02359362798	4604.26769522099	30695.1179681399	128126.302432178	18797.6700663346	45384.0747546475	101617.903913842
1991-04-01	112413.051872721	86467.6420371426	27738.6154523148	42267.6551378216	74659.7992885721	4849.64722933112	3637.23542199834	24248.2361466556	98272.7016795321	14741.1261817548	41065.1855067058	87107.3563072794
1991-05-01	172767.466465865	119505.328822686	39308.0593587965	67976.1309933085	112486.172652835	7521.82730729464	5641.37048047098	37609.1365364732	160530.349923436	23159.9042437575	50179.6771224625	117047.000323872
1991-06-01	98437.2951554386	78060.4824863743	24862.4836280502	36533.8993164123	65751.7806333954	4235.59291808526	3176.69468856395	21177.9645904263	84562.1404523412	12827.1298218109	38406.1533146876	79276.0708912701
1991-07-01	18162.19361108	21069.4149172833	6135.41911276704	5729.42169261189	13027.0739944237	756.320722538966	567.240541904225	3781.60361269483	12540.4518084937	2187.17025011554	16115.1158447053	23668.7672810364
1991-08-01	6275.5724262818	9291.25321390262	2554.51819556786	1783.73362484842	4711.56480057377	255.902774655271	191.927080991453	1279.51387327635	3766.73678992885	718.459815432969	9430.16526199504	11135.0081978387
1991-09-01	5648.77865132809	8632.44936502123	2355.74049771351	1583.98955195978	4266.20991725205	229.716536311723	172.287402233792	1148.58268155861	3329.39872112502	642.467214808454	9089.41659556187	10432.7517169712
1991-10-01	8369.40844598757	11598.8126801701	3238.99311886241	2447.00918396493	6206.30376998652	343.230826174363	257.423119630772	1716.15413087182	5217.81384706978	971.39322218072	10903.6057736924	13658.9818605217
1991-11-01	19230.0477376748	22183.9006924615	6468.46669796239	6080.78606613995	13778.585457358	801.174054740951	600.880541055713	4005.87027370475	13320.444144336	2318.45031234233	16857.9399221229	24883.8495190788
1991-12-01	56280.7442253832	50361.1025320304	15590.0979871142	19837.1309401052	38452.9656135549	2396.62323667356	1797.46742750517	11983.1161833678	45107.5647862169	7152.39824809505	28504.384350766	52810.326914931
1992-01-01	49937.8106259651	45928.7954647852	14126.3664199333	17396.2303219968	34295.028759375	2121.50315000524	1591.12736250393	10607.5157500262	39397.9872638489	6310.29704996604	26836.5283409059	48514.2985683474
1992-02-01	144727.670272746	105871.571930136	34367.5368184259	55598.3387711126	95222.2858580875	6270.78184624109	4703.08638468082	31353.9092312055	130224.093159999	19177.2989403404	47435.7364294235	105243.937208196
1992-03-01	144253.409764063	103999.85137746	33875.906895284	55761.867008988	94651.9762210321	6258.06624142422	4693.54968106816	31290.3312071211	130886.757764009	19172.2285198218	45817.1223874864	102985.04270821
1992-04-01	284399.657422115	176780.757152102	59630.0270273148	117127.300435922	181499.616612952	12496.4004636013	9372.300347701	62482.0023180067	280983.000859912	38978.8082180728	65575.1057481423	168305.449332865
1992-05-01	139098.432443334	101124.527340706	32874.5715670122	53577.617509374	91412.3749571633	6030.09479358076	4522.57109518557	30150.4739679038	125605.521060746	18455.1076624264	44984.0839428019	100359.835952123
1992-06-01	32979.6421013728	33614.7470124078	10091.6345239508	10995.1787723788	23088.8780865977	1388.73624760221	1041.55218570166	6943.68123801105	24528.0581278631	4079.55608512978	22127.4051654882	36487.9460709477
1992-07-01	21107.2747813343	23655.6879239477	6944.74932623028	6757.34035237789	15042.0171526916	881.574427725539	661.180820794154	4407.8721386277	14865.5016987937	2560.07444463694	17383.6935608195	26332.1330292807
1992-08-01	3971.30392988904	6530.83313010373	1751.6898879421	1079.24266784856	3040.77855476789	160.483195521784	120.362396641338	802.415977608922	2244.14778375294	444.861122605146	7487.15275993525	8047.87493636336
1992-09-01	11890.7560191973	15317.5242072014	4351.73495766892	3586.84309058238	8697.72165964538	490.718291005111	368.038718253834	2453.59145502556	7730.8886401779	1401.1697172702	13229.2110275652	17691.9789857448
1992-10-01	27329.8276934926	28865.8721924173	8593.56371573941	8973.99187893279	19261.4465066895	1147.30802579259	860.48101934444	5736.54012896293	19914.7183430573	3355.8114361015	19802.5048587723	31630.4287571285
1992-11-01	33860.5933447941	34304.4562274473	10313.3868084943	11318.1074604382	23678.787529611	1426.57475819279	1069.93106864459	7132.87379096396	25270.9083327819	4193.78744329533	22423.4967943753	37176.903614152
1992-12-01	65812.4908273635	56812.8707520439	17736.7791495541	23555.4719851713	44664.0707245897	2811.19137189991	2108.39352892494	14055.9568594996	53846.1017626697	8426.2452866879	30844.2340343153	59011.1717544994
1993-01-01	186858.353289696	126946.816197749	41933.1488477027	74087.801223276	121251.298146973	8147.91505549833	6110.93629162375	40739.5752774916	175426.806583409	25142.4676529386	52203.2450595409	123743.422603296
1993-02-01	232309.457348155	153680.447085451	51083.0784445408	93162.1549151926	149995.070938215	10153.0240654375	7614.76804907809	50765.1203271873	221455.836610152	31431.0322421447	61275.9405891601	148748.983131977
1993-03-01	631067.250290955	324233.46285882	114386.8956031	281936.831680274	388628.759538368	28187.0764801668	21140.3073601251	140935.382400834	695552.241468765	89976.1158428814	96431.7332966033	293483.537458211
1993-04-01	424516.398020058	240695.590779171	82967.0348389352	181838.663460807	266296.272191903	18801.243692403	14100.9327693022	94006.2184620149	442156.567115258	59302.5810544948	80252.6253534126	223636.042141482
1993-05-01	633046.775321212	325016.77766389	114682.663707741	282908.097876655	389795.339974584	28277.2426425142	21207.9319818856	141386.213212571	698022.138705043	90271.806643057	96584.1403304633	294136.483468996
1993-06-01	459630.104445422	255893.786236026	88585.6887924434	198419.975680799	287339.856389327	20388.360771941	15291.2705789557	101941.803859705	483770.536740808	64451.0854677392	83533.8643566403	236609.668171522
1993-07-01	84920.0573041603	69141.3743352155	21885.2943188532	31163.879458408	57003.6839514351	3645.68378226353	2734.26283669765	18228.4189113176	71853.5124266964	11005.3726034221	35074.7270324408	70710.9910179683
1993-08-01	24633.9775584972	26646.1941514187	7888.32569015829	8006.81211488754	17439.128788976	1032.01687237582	774.012654281863	5160.08436187909	17706.258891645	3009.87607462124	18792.2047376038	29383.3310203463
1993-09-01	20908.7069949977	23661.4649288842	6930.59573857374	6666.09455229067	14927.582243026	872.552625216049	654.414468912037	4362.76312608025	14643.8896085374	2530.89706634772	17584.5802417754	26406.3758272339
1993-10-01	26297.7667421326	28022.3232150161	8325.08554465751	8602.56429976629	18564.7591048912	1103.1429276374	827.357195728048	5515.71463818699	19065.6895370453	3223.17476542536	19421.8340071699	30778.1266779198
