Date	mean_cfs	Qual_Flag	Data_Source
4/1/1972	119	70	DWR? SWRCB?
4/2/1972	119	70	DWR? SWRCB?
4/3/1972	119	70	DWR? SWRCB?
4/4/1972	119	70	DWR? SWRCB?
4/5/1972	119	70	DWR? SWRCB?
4/6/1972	119	70	DWR? SWRCB?
4/7/1972	119	70	DWR? SWRCB?
4/8/1972	119	70	DWR? SWRCB?
4/9/1972	119	70	DWR? SWRCB?
4/10/1972	119	70	DWR? SWRCB?
4/11/1972	119	70	DWR? SWRCB?
4/12/1972	119	70	DWR? SWRCB?
4/13/1972	119	70	DWR? SWRCB?
4/14/1972	119	70	DWR? SWRCB?
4/15/1972	119	70	DWR? SWRCB?
4/16/1972	119	70	DWR? SWRCB?
4/17/1972	119	70	DWR? SWRCB?
4/18/1972	119	70	DWR? SWRCB?
4/19/1972	119	70	DWR? SWRCB?
4/20/1972	119	70	DWR? SWRCB?
4/21/1972	119	70	DWR? SWRCB?
4/22/1972	119	70	DWR? SWRCB?
4/23/1972	119	70	DWR? SWRCB?
4/24/1972	119	70	DWR? SWRCB?
4/25/1972	119	70	DWR? SWRCB?
4/26/1972	119	70	DWR? SWRCB?
4/27/1972	119	70	DWR? SWRCB?
4/28/1972	119	70	DWR? SWRCB?
4/29/1972	119	70	DWR? SWRCB?
4/30/1972	119	70	DWR? SWRCB?
5/1/1972	157	70	DWR? SWRCB?
5/2/1972	157	70	DWR? SWRCB?
5/3/1972	157	70	DWR? SWRCB?
5/4/1972	157	70	DWR? SWRCB?
5/5/1972	157	70	DWR? SWRCB?
5/6/1972	157	70	DWR? SWRCB?
5/7/1972	157	70	DWR? SWRCB?
5/8/1972	157	70	DWR? SWRCB?
5/9/1972	157	70	DWR? SWRCB?
5/10/1972	157	70	DWR? SWRCB?
5/11/1972	157	70	DWR? SWRCB?
5/12/1972	157	70	DWR? SWRCB?
5/13/1972	157	70	DWR? SWRCB?
5/14/1972	157	70	DWR? SWRCB?
5/15/1972	157	70	DWR? SWRCB?
5/16/1972	157	70	DWR? SWRCB?
5/17/1972	157	70	DWR? SWRCB?
5/18/1972	157	70	DWR? SWRCB?
5/19/1972	157	70	DWR? SWRCB?
5/20/1972	157	70	DWR? SWRCB?
5/21/1972	157	70	DWR? SWRCB?
5/22/1972	157	70	DWR? SWRCB?
5/23/1972	157	70	DWR? SWRCB?
5/24/1972	157	70	DWR? SWRCB?
5/25/1972	157	70	DWR? SWRCB?
5/26/1972	157	70	DWR? SWRCB?
5/27/1972	157	70	DWR? SWRCB?
5/28/1972	157	70	DWR? SWRCB?
5/29/1972	157	70	DWR? SWRCB?
5/30/1972	157	70	DWR? SWRCB?
5/31/1972	157	70	DWR? SWRCB?
6/1/1972	103	70	DWR? SWRCB?
6/2/1972	103	70	DWR? SWRCB?
6/3/1972	103	70	DWR? SWRCB?
6/4/1972	103	70	DWR? SWRCB?
6/5/1972	103	70	DWR? SWRCB?
6/6/1972	103	70	DWR? SWRCB?
6/7/1972	103	70	DWR? SWRCB?
6/8/1972	103	70	DWR? SWRCB?
6/9/1972	103	70	DWR? SWRCB?
6/10/1972	103	70	DWR? SWRCB?
6/11/1972	103	70	DWR? SWRCB?
6/12/1972	103	70	DWR? SWRCB?
6/13/1972	103	70	DWR? SWRCB?
6/14/1972	103	70	DWR? SWRCB?
6/15/1972	103	70	DWR? SWRCB?
6/16/1972	103	70	DWR? SWRCB?
6/17/1972	103	70	DWR? SWRCB?
6/18/1972	103	70	DWR? SWRCB?
6/19/1972	103	70	DWR? SWRCB?
6/20/1972	103	70	DWR? SWRCB?
6/21/1972	103	70	DWR? SWRCB?
6/22/1972	103	70	DWR? SWRCB?
6/23/1972	103	70	DWR? SWRCB?
6/24/1972	103	70	DWR? SWRCB?
6/25/1972	103	70	DWR? SWRCB?
6/26/1972	103	70	DWR? SWRCB?
6/27/1972	103	70	DWR? SWRCB?
6/28/1972	103	70	DWR? SWRCB?
6/29/1972	103	70	DWR? SWRCB?
6/30/1972	103	70	DWR? SWRCB?
7/1/1972	19	70	DWR? SWRCB?
7/2/1972	19	70	DWR? SWRCB?
7/3/1972	19	70	DWR? SWRCB?
7/4/1972	19	70	DWR? SWRCB?
7/5/1972	19	70	DWR? SWRCB?
7/6/1972	19	70	DWR? SWRCB?
7/7/1972	19	70	DWR? SWRCB?
7/8/1972	19	70	DWR? SWRCB?
7/9/1972	19	70	DWR? SWRCB?
7/10/1972	19	70	DWR? SWRCB?
7/11/1972	19	70	DWR? SWRCB?
7/12/1972	19	70	DWR? SWRCB?
7/13/1972	19	70	DWR? SWRCB?
7/14/1972	19	70	DWR? SWRCB?
7/15/1972	19	70	DWR? SWRCB?
7/16/1972	19	70	DWR? SWRCB?
7/17/1972	19	70	DWR? SWRCB?
7/18/1972	19	70	DWR? SWRCB?
7/19/1972	19	70	DWR? SWRCB?
7/20/1972	19	70	DWR? SWRCB?
7/21/1972	19	70	DWR? SWRCB?
7/22/1972	19	70	DWR? SWRCB?
7/23/1972	19	70	DWR? SWRCB?
7/24/1972	19	70	DWR? SWRCB?
7/25/1972	19	70	DWR? SWRCB?
7/26/1972	19	70	DWR? SWRCB?
7/27/1972	19	70	DWR? SWRCB?
7/28/1972	19	70	DWR? SWRCB?
7/29/1972	19	70	DWR? SWRCB?
7/30/1972	19	70	DWR? SWRCB?
7/31/1972	19	70	DWR? SWRCB?
8/1/1972	4.1	70	DWR? SWRCB?
8/2/1972	4.1	70	DWR? SWRCB?
8/3/1972	4.1	70	DWR? SWRCB?
8/4/1972	4.1	70	DWR? SWRCB?
8/5/1972	4.1	70	DWR? SWRCB?
8/6/1972	4.1	70	DWR? SWRCB?
8/7/1972	4.1	70	DWR? SWRCB?
8/8/1972	4.1	70	DWR? SWRCB?
8/9/1972	4.1	70	DWR? SWRCB?
8/10/1972	4.1	70	DWR? SWRCB?
8/11/1972	4.1	70	DWR? SWRCB?
8/12/1972	4.1	70	DWR? SWRCB?
8/13/1972	4.1	70	DWR? SWRCB?
8/14/1972	4.1	70	DWR? SWRCB?
8/15/1972	4.1	70	DWR? SWRCB?
8/16/1972	4.1	70	DWR? SWRCB?
8/17/1972	4.1	70	DWR? SWRCB?
8/18/1972	4.1	70	DWR? SWRCB?
8/19/1972	4.1	70	DWR? SWRCB?
8/20/1972	4.1	70	DWR? SWRCB?
8/21/1972	4.1	70	DWR? SWRCB?
8/22/1972	4.1	70	DWR? SWRCB?
8/23/1972	4.1	70	DWR? SWRCB?
8/24/1972	4.1	70	DWR? SWRCB?
8/25/1972	4.1	70	DWR? SWRCB?
8/26/1972	4.1	70	DWR? SWRCB?
8/27/1972	4.1	70	DWR? SWRCB?
8/28/1972	4.1	70	DWR? SWRCB?
8/29/1972	4.1	70	DWR? SWRCB?
8/30/1972	4.1	70	DWR? SWRCB?
8/31/1972	4.1	70	DWR? SWRCB?
9/1/1972	1.6	70	DWR? SWRCB?
9/2/1972	1.6	70	DWR? SWRCB?
9/3/1972	1.6	70	DWR? SWRCB?
9/4/1972	1.6	70	DWR? SWRCB?
9/5/1972	1.6	70	DWR? SWRCB?
9/6/1972	1.6	70	DWR? SWRCB?
9/7/1972	1.6	70	DWR? SWRCB?
9/8/1972	1.6	70	DWR? SWRCB?
9/9/1972	1.6	70	DWR? SWRCB?
9/10/1972	1.6	70	DWR? SWRCB?
9/11/1972	1.6	70	DWR? SWRCB?
9/12/1972	1.6	70	DWR? SWRCB?
9/13/1972	1.6	70	DWR? SWRCB?
9/14/1972	1.6	70	DWR? SWRCB?
9/15/1972	1.6	70	DWR? SWRCB?
9/16/1972	1.6	70	DWR? SWRCB?
9/17/1972	1.6	70	DWR? SWRCB?
9/18/1972	1.6	70	DWR? SWRCB?
9/19/1972	1.6	70	DWR? SWRCB?
9/20/1972	1.6	70	DWR? SWRCB?
9/21/1972	1.6	70	DWR? SWRCB?
9/22/1972	1.6	70	DWR? SWRCB?
9/23/1972	1.6	70	DWR? SWRCB?
9/24/1972	1.6	70	DWR? SWRCB?
9/25/1972	1.6	70	DWR? SWRCB?
9/26/1972	1.6	70	DWR? SWRCB?
9/27/1972	1.6	70	DWR? SWRCB?
9/28/1972	1.6	70	DWR? SWRCB?
9/29/1972	1.6	70	DWR? SWRCB?
9/30/1972	1.6	70	DWR? SWRCB?
10/1/2002	1.11	1	RCD
10/2/2002	1.14	1	RCD
10/3/2002	1.16	1	RCD
10/4/2002	1.24	1	RCD
10/5/2002	1.21	1	RCD
10/6/2002	1.2	1	RCD
10/7/2002	1.15	1	RCD
10/8/2002	1.12	1	RCD
10/9/2002		255	RCD
10/10/2002		255	RCD
10/11/2002		255	RCD
10/12/2002	1.11	1	RCD
10/13/2002	1.13	1	RCD
10/14/2002	1.13	1	RCD
10/15/2002	1.11	1	RCD
10/16/2002		255	RCD
10/17/2002		255	RCD
10/18/2002		255	RCD
10/19/2002	1.1	1	RCD
10/20/2002	1.13	1	RCD
10/21/2002	1.14	1	RCD
10/22/2002	1.15	1	RCD
10/23/2002	1.14	1	RCD
10/24/2002	1.15	1	RCD
10/25/2002	1.14	1	RCD
10/26/2002	1.22	1	RCD
10/27/2002	1.34	1	RCD
10/28/2002	1.36	1	RCD
10/29/2002	1.34	1	RCD
10/30/2002	1.32	1	RCD
10/31/2002	1.39	1	RCD
11/1/2002	1.43	1	RCD
11/2/2002	1.54	1	RCD
11/3/2002	1.57	1	RCD
11/4/2002	1.59	1	RCD
11/5/2002	1.6	1	RCD
11/6/2002	1.58	1	RCD
11/7/2002	7.91	1	RCD
11/8/2002	28.38	1	RCD
11/9/2002	28.76	1	RCD
11/10/2002	19.86	1	RCD
11/11/2002	14.28	1	RCD
11/12/2002	22.37	1	RCD
11/13/2002	20.57	1	RCD
11/14/2002	11.96	1	RCD
11/15/2002	9.29	1	RCD
11/16/2002	8.12	1	RCD
11/17/2002	9.41	1	RCD
11/18/2002	8.94	1	RCD
11/19/2002	7.9	1	RCD
11/20/2002	10.56	1	RCD
11/21/2002	19.13	1	RCD
11/22/2002	21.88	1	RCD
11/23/2002	19.41	1	RCD
11/24/2002	16.68	1	RCD
11/25/2002	15.3	1	RCD
11/26/2002	12.69	1	RCD
11/27/2002	11.3	1	RCD
11/28/2002	11.18	1	RCD
11/29/2002	11.89	1	RCD
11/30/2002	11.13	1	RCD
12/1/2002	10.46	1	RCD
12/2/2002	9.76	1	RCD
12/3/2002	9.33	1	RCD
12/4/2002	10.18	1	RCD
12/5/2002	13.9	1	RCD
12/6/2002	12.73	1	RCD
12/7/2002	11.19	1	RCD
12/8/2002	10.23	1	RCD
12/9/2002	11.19	1	RCD
12/10/2002	28.89	1	RCD
12/11/2002	23.91	1	RCD
12/12/2002	21.58	1	RCD
12/13/2002	98.77	1	RCD
12/14/2002	381.76	1	RCD
12/15/2002	204.78	1	RCD
12/16/2002	243.64	1	RCD
12/17/2002	129.78	1	RCD
12/18/2002	92.84	1	RCD
12/19/2002	78.8	1	RCD
12/20/2002	72.35	1	RCD
12/21/2002	63.88	1	RCD
12/22/2002	57.47	1	RCD
12/23/2002	53.5	1	RCD
12/24/2002	51.2	1	RCD
12/25/2002	49.08	1	RCD
12/26/2002	61.84	1	RCD
12/27/2002	455.46	1	RCD
12/28/2002	448.36	1	RCD
12/29/2002	213.62	1	RCD
12/30/2002	181.3	1	RCD
12/31/2002	168.2	1	RCD
1/1/2003	127.57	1	RCD
1/2/2003	109.34	1	RCD
1/3/2003	129.07	1	RCD
1/4/2003	182.17	1	RCD
1/5/2003	232.37	1	RCD
1/6/2003	180.67	1	RCD
1/7/2003	148.19	1	RCD
1/8/2003	130.06	1	RCD
1/9/2003	118.8	1	RCD
1/10/2003	108.91	1	RCD
1/11/2003	103.85	1	RCD
1/12/2003	197.52	1	RCD
1/13/2003	494.89	1	RCD
1/14/2003	453.96	1	RCD
1/15/2003	290.7	1	RCD
1/16/2003	212.42	1	RCD
1/17/2003	179.37	1	RCD
1/18/2003	172.11	1	RCD
1/19/2003	170.86	1	RCD
1/20/2003	166.5	1	RCD
1/21/2003	166.81	1	RCD
1/22/2003	236.19	1	RCD
