Date	mean_cfs	Qual_Flag	Data_Source
10/1/1958	1	1	USGS
10/2/1958	1.2	1	USGS
10/3/1958	1.2	1	USGS
10/4/1958	1.2	1	USGS
10/5/1958	1.2	1	USGS
10/6/1958	1	1	USGS
10/7/1958	1.4	1	USGS
10/8/1958	1.4	1	USGS
10/9/1958	1.4	1	USGS
10/10/1958	1.5	1	USGS
10/11/1958	1.5	1	USGS
10/12/1958	1.5	1	USGS
10/13/1958	1.8	1	USGS
10/14/1958	1.5	1	USGS
10/15/1958	1.5	1	USGS
10/16/1958	1.5	1	USGS
10/17/1958	1.4	1	USGS
10/18/1958	1.5	1	USGS
10/19/1958	1.8	1	USGS
10/20/1958	2	1	USGS
10/21/1958	2	1	USGS
10/22/1958	2.2	1	USGS
10/23/1958	2.2	1	USGS
10/24/1958	2.2	1	USGS
10/25/1958	2	1	USGS
10/26/1958	1.8	1	USGS
10/27/1958	1.8	1	USGS
10/28/1958	1.8	1	USGS
10/29/1958	2	1	USGS
10/30/1958	2	1	USGS
10/31/1958	2	1	USGS
11/1/1958	2.5	1	USGS
11/2/1958	2.2	1	USGS
11/3/1958	2.2	1	USGS
11/4/1958	2.2	1	USGS
11/5/1958	2.5	1	USGS
11/6/1958	2.5	1	USGS
11/7/1958	2.7	1	USGS
11/8/1958	3	1	USGS
11/9/1958	4	1	USGS
11/10/1958	6.1	1	USGS
11/11/1958	5.6	1	USGS
11/12/1958	5.6	1	USGS
11/13/1958	4.8	1	USGS
11/14/1958	4	1	USGS
11/15/1958	4	1	USGS
11/16/1958	3.7	1	USGS
11/17/1958	3.7	1	USGS
11/18/1958	3.7	1	USGS
11/19/1958	3.7	1	USGS
11/20/1958	3.3	1	USGS
11/21/1958	3.3	1	USGS
11/22/1958	2.7	1	USGS
11/23/1958	2.7	1	USGS
11/24/1958	2.7	1	USGS
11/25/1958	2.7	1	USGS
11/26/1958	3	1	USGS
11/27/1958	3	1	USGS
11/28/1958	3	1	USGS
11/29/1958	3	1	USGS
11/30/1958	3	1	USGS
12/1/1958	3	1	USGS
12/2/1958	3	1	USGS
12/3/1958	2.7	1	USGS
12/4/1958	2.7	1	USGS
12/5/1958	2.7	1	USGS
12/6/1958	2.7	1	USGS
12/7/1958	2.7	1	USGS
12/8/1958	2.7	1	USGS
12/9/1958	2.7	1	USGS
12/10/1958	2.7	1	USGS
12/11/1958	3	1	USGS
12/12/1958	3	1	USGS
12/13/1958	3	1	USGS
12/14/1958	3	1	USGS
12/15/1958	3	1	USGS
12/16/1958	3	1	USGS
12/17/1958	3	1	USGS
12/18/1958	3	1	USGS
12/19/1958	3.3	1	USGS
12/20/1958	3.3	1	USGS
12/21/1958	3.7	1	USGS
12/22/1958	3.3	1	USGS
12/23/1958	3.7	1	USGS
12/24/1958	3.7	1	USGS
12/25/1958	4.4	1	USGS
12/26/1958	4.4	1	USGS
12/27/1958	5.6	1	USGS
12/28/1958	4.8	1	USGS
12/29/1958	4.8	1	USGS
12/30/1958	4.8	1	USGS
12/31/1958	4.4	1	USGS
1/1/1959	4.4	1	USGS
1/2/1959	4.4	1	USGS
1/3/1959	3.7	1	USGS
1/4/1959	3.7	1	USGS
1/5/1959	4	1	USGS
1/6/1959	3.7	1	USGS
1/7/1959	3.7	1	USGS
1/8/1959	4	1	USGS
1/9/1959	5.6	1	USGS
1/10/1959	6.1	1	USGS
1/11/1959	6.1	1	USGS
1/12/1959	7	1	USGS
1/13/1959	9.3	1	USGS
1/14/1959	8.1	1	USGS
1/15/1959	7.6	1	USGS
1/16/1959	7	1	USGS
1/17/1959	6.5	1	USGS
1/18/1959	6.5	1	USGS
1/19/1959	6.5	1	USGS
1/20/1959	6.1	1	USGS
1/21/1959	6.1	1	USGS
1/22/1959	6.1	1	USGS
1/23/1959	6.1	1	USGS
1/24/1959	7.6	1	USGS
1/25/1959	7	1	USGS
1/26/1959	6.5	1	USGS
1/27/1959	8.7	1	USGS
1/28/1959	15	1	USGS
1/29/1959	15	1	USGS
1/30/1959	13	1	USGS
1/31/1959	13	1	USGS
2/1/1959	12	1	USGS
2/2/1959	11	1	USGS
