Stage_ft,Flow_cfs
2684.66,0
2684.67,0.00004
2684.68,0.000371
2684.69,0.00136
2684.7,0.00343
2684.71,0.00701
2684.72,0.01195
2684.73,0.01888
2684.74,0.02817
2684.75,0.0402
2684.76,0.05536
2684.77,0.07406
2684.78,0.09671
2684.79,0.1237
2684.8,0.1555
2684.81,0.1925
2684.82,0.2352
2684.83,0.284
2684.84,0.3393
2684.85,0.4016
2684.86,0.4714
2684.87,0.5491
2684.88,0.6352
2684.89,0.7302
2684.9,0.8345
2684.91,0.9487
2684.92,1.073
2684.93,1.208
2684.94,1.355
2684.95,1.513
2684.96,1.684
2684.97,1.867
2684.98,2.064
2684.99,2.275
2685,2.5
2685.01,2.739
2685.02,2.995
2685.03,3.266
2685.04,3.553
2685.05,3.857
2685.06,4.179
2685.07,4.519
2685.08,4.878
2685.09,5.255
2685.1,5.653
2685.11,6.07
2685.12,6.508
2685.13,6.968
2685.14,7.449
2685.15,7.953
2685.16,8.48
2685.17,9.03
2685.18,9.604
2685.19,10.2
2685.2,10.83
2685.21,11.48
2685.22,12.15
2685.23,12.86
2685.24,13.31
2685.25,13.86
2685.26,14.42
2685.27,15
2685.28,15.58
2685.29,16.18
2685.3,16.8
2685.31,17.42
2685.32,18.06
2685.33,18.71
2685.34,19.37
2685.35,20.04
2685.36,20.73
2685.37,21.43
2685.38,22.14
2685.39,22.86
2685.4,23.6
2685.41,24.35
2685.42,25.11
2685.43,25.88
2685.44,26.67
2685.45,27.47
2685.46,28.28
2685.47,29.11
2685.48,29.95
2685.49,30.8
2685.5,31.66
2685.51,32.54
2685.52,33.43
2685.53,34.33
2685.54,35.25
2685.55,36.18
2685.56,37.12
2685.57,38.08
2685.58,39.04
2685.59,40.03
2685.6,41.02
2685.61,42.03
2685.62,43.05
2685.63,44.08
2685.64,45.13
2685.65,46.19
2685.66,47.26
2685.67,48.35
2685.68,49.45
2685.69,50.57
2685.7,51.69
2685.71,52.84
2685.72,53.99
2685.73,55.16
2685.74,56.34
2685.75,57.53
2685.76,58.74
2685.77,59.96
2685.78,61.2
2685.79,62.45
2685.8,63.71
2685.81,64.99
2685.82,66.28
2685.83,67.58
2685.84,68.9
2685.85,70.23
2685.86,71.58
2685.87,72.93
2685.88,74.31
2685.89,75.69
2685.9,77.09
2685.91,78.51
2685.92,79.94
2685.93,81.38
2685.94,82.83
2685.95,84.3
2685.96,85.79
2685.97,87.28
2685.98,88.8
2685.99,90.32
2686,91.86
2686.01,93.42
2686.02,94.98
2686.03,96.57
2686.04,98.16
2686.05,99.77
2686.06,101.4
2686.07,103
2686.08,104.7
2686.09,106.4
2686.1,108
2686.11,109.7
2686.12,111.4
2686.13,113.2
2686.14,114.9
2686.15,116.7
2686.16,118.4
2686.17,120.2
2686.18,122
2686.19,123.8
2686.2,125.6
2686.21,127.5
2686.22,129.3
2686.23,131.2
2686.24,133.1
2686.25,135
2686.26,136.9
2686.27,138.8
2686.28,140.7
2686.29,142.7
2686.3,144.7
2686.31,146.7
2686.32,148.7
2686.33,150.7
2686.34,152.7
2686.35,154.7
2686.36,156.8
2686.37,158.9
2686.38,160.9
2686.39,163
2686.4,165.2
2686.41,167.3
2686.42,169.4
2686.43,171.6
2686.44,173.8
2686.45,176
2686.46,178.2
2686.47,180.4
2686.48,182.6
2686.49,184.9
2686.5,187.1
2686.51,189.4
2686.52,191.7
2686.53,194
2686.54,196.3
2686.55,198.7
2686.56,201
2686.57,203.4
2686.58,205.8
2686.59,208.2
2686.6,210.6
2686.61,213
2686.62,215.5
2686.63,217.9
2686.64,220.4
2686.65,222.9
2686.66,225.4
2686.67,227.9
2686.68,230.4
2686.69,233
2686.7,235.5
2686.71,238.1
2686.72,240.7
2686.73,243.3
2686.74,245.9
2686.75,248.6
2686.76,251.2
2686.77,253.9
2686.78,256.6
2686.79,259.3
2686.8,262
2686.81,264.7
2686.82,267.5
2686.83,270.2
2686.84,273
2686.85,275.8
2686.86,278.6
2686.87,281.4
2686.88,284.3
2686.89,287.1
2686.9,290
2686.91,292.9
2686.92,295.8
2686.93,298.7
2686.94,301.6
2686.95,304.6
2686.96,307.5
2686.97,310.5
2686.98,313.5
2686.99,316.5
2687,319.5
2687.01,322.6
2687.02,325.6
2687.03,328.7
2687.04,331.8
2687.05,334.9
2687.06,338
2687.07,341.1
2687.08,344.3
2687.09,347.4
2687.1,350.6
2687.11,353.8
2687.12,357
2687.13,360.3
2687.14,363.5
2687.15,366.8
2687.16,370
2687.17,373.3
