Date	mean_cfs	Qual_Flag	Data_Source
9/1/1957	0.6	1	USGS
9/2/1957	1.1	1	USGS
9/3/1957	2.3	1	USGS
9/4/1957	2.1	1	USGS
9/5/1957	1.9	1	USGS
9/6/1957	2.1	1	USGS
9/7/1957	2.1	1	USGS
9/8/1957	2.1	1	USGS
9/9/1957	2.3	1	USGS
9/10/1957	2.1	1	USGS
9/11/1957	1	1	USGS
9/12/1957	1.1	1	USGS
9/13/1957	1	1	USGS
9/14/1957	0.5	1	USGS
9/15/1957	0.2	1	USGS
9/16/1957	0.3	1	USGS
9/17/1957	0.2	1	USGS
9/18/1957	0.1	1	USGS
9/19/1957	0	1	USGS
9/20/1957	0	1	USGS
9/21/1957	0	1	USGS
9/22/1957	0	1	USGS
9/23/1957	0	1	USGS
9/24/1957	0.1	1	USGS
9/25/1957	0.1	1	USGS
9/26/1957	0.4	1	USGS
9/27/1957	8.3	1	USGS
9/28/1957	7.3	1	USGS
9/29/1957	9.5	1	USGS
9/30/1957	4.4	1	USGS
10/1/1957	5.1	1	USGS
10/2/1957	4.2	1	USGS
10/3/1957	4.2	1	USGS
10/4/1957	4.8	1	USGS
10/5/1957	5.4	1	USGS
10/6/1957	5.1	1	USGS
10/7/1957	4.4	1	USGS
10/8/1957	6.2	1	USGS
10/9/1957	31	1	USGS
10/10/1957	36	1	USGS
10/11/1957	20	1	USGS
10/12/1957	24	1	USGS
10/13/1957	50	1	USGS
10/14/1957	24	1	USGS
10/15/1957	15	1	USGS
10/16/1957	10	1	USGS
10/17/1957	7.7	1	USGS
10/18/1957	6.2	1	USGS
10/19/1957	4.8	1	USGS
10/20/1957	4.2	1	USGS
10/21/1957	3.8	1	USGS
10/22/1957	3.3	1	USGS
10/23/1957	16	1	USGS
10/24/1957	16	1	USGS
10/25/1957	28	1	USGS
10/26/1957	19	1	USGS
10/27/1957	16	1	USGS
10/28/1957	9.9	1	USGS
10/29/1957	8.2	1	USGS
10/30/1957	6.9	1	USGS
10/31/1957	6.5	1	USGS
11/1/1957	6.2	1	USGS
11/2/1957	5.4	1	USGS
11/3/1957	5.1	1	USGS
11/4/1957	4.4	1	USGS
11/5/1957	4.2	1	USGS
11/6/1957	4.2	1	USGS
11/7/1957	3.8	1	USGS
11/8/1957	3.8	1	USGS
11/9/1957	3.8	1	USGS
11/10/1957	5.1	1	USGS
11/11/1957	4.8	1	USGS
11/12/1957	8.2	1	USGS
11/13/1957	222	1	USGS
11/14/1957	109	1	USGS
11/15/1957	52	1	USGS
11/16/1957	37	1	USGS
11/17/1957	30	1	USGS
11/18/1957	43	1	USGS
11/19/1957	39	1	USGS
11/20/1957	34	1	USGS
11/21/1957	29	1	USGS
11/22/1957	24	1	USGS
11/23/1957	22	1	USGS
11/24/1957	22	1	USGS
11/25/1957	21	1	USGS
11/26/1957	18	1	USGS
11/27/1957	17	1	USGS
11/28/1957	15	1	USGS
11/29/1957	15	1	USGS
11/30/1957	14	1	USGS
12/1/1957	13	1	USGS
12/2/1957	12	1	USGS
12/3/1957	11	1	USGS
12/4/1957	11	1	USGS
12/5/1957	10	1	USGS
12/6/1957	10	1	USGS
12/7/1957	13	1	USGS
12/8/1957	11	1	USGS
12/9/1957	10	1	USGS
12/10/1957	9.5	1	USGS
12/11/1957	9	1	USGS
12/12/1957	9	1	USGS
12/13/1957	8.6	1	USGS
12/14/1957	8.2	1	USGS
12/15/1957	8.6	1	USGS
12/16/1957	14	1	USGS
12/17/1957	18	1	USGS
12/18/1957	18	1	USGS
12/19/1957	16	1	USGS
12/20/1957	16	1	USGS
12/21/1957	52	1	USGS
12/22/1957	25	1	USGS
12/23/1957	20	1	USGS
12/24/1957	20	1	USGS
12/25/1957	24	1	USGS
12/26/1957	26	1	USGS
12/27/1957	40	1	USGS
12/28/1957	96	1	USGS
12/29/1957	51	1	USGS
12/30/1957	37	1	USGS
12/31/1957	30	1	USGS
1/1/1958	27	1	USGS
1/2/1958	25	1	USGS
1/3/1958	23	1	USGS
1/4/1958	22	1	USGS
1/5/1958	20	1	USGS
1/6/1958	19	1	USGS
1/7/1958	18	1	USGS
1/8/1958	18	1	USGS
1/9/1958	18	1	USGS
1/10/1958	18	1	USGS
1/11/1958	17	1	USGS
1/12/1958	21	1	USGS
1/13/1958	18	1	USGS
1/14/1958	17	1	USGS
1/15/1958	31	1	USGS
1/16/1958	28	1	USGS
1/17/1958	24	1	USGS
1/18/1958	23	1	USGS
1/19/1958	22	1	USGS
1/20/1958	21	1	USGS
1/21/1958	20	1	USGS
1/22/1958	18	1	USGS
1/23/1958	19	1	USGS
1/24/1958	19	1	USGS
1/25/1958	18	1	USGS
1/26/1958	20	1	USGS
1/27/1958	19	1	USGS
1/28/1958	76	1	USGS
1/29/1958	183	1	USGS
1/30/1958	84	1	USGS
1/31/1958	57	1	USGS
2/1/1958	46	1	USGS
2/2/1958	48	1	USGS
2/3/1958	46	1	USGS
2/4/1958	44	1	USGS
2/5/1958	40	1	USGS
2/6/1958	36	1	USGS
2/7/1958	44	1	USGS
2/8/1958	41	1	USGS
2/9/1958	36	1	USGS
2/10/1958	32	1	USGS
2/11/1958	44	1	USGS
2/12/1958	144	1	USGS
2/13/1958	69	1	USGS
2/14/1958	120	1	USGS
2/15/1958	177	1	USGS
2/16/1958	193	1	USGS
2/17/1958	143	1	USGS
2/18/1958	160	1	USGS
2/19/1958	126	1	USGS
2/20/1958	98	1	USGS
2/21/1958	81	1	USGS
2/22/1958	74	1	USGS
2/23/1958	70	1	USGS
2/24/1958	166	1	USGS
2/25/1958	124	1	USGS
2/26/1958	88	1	USGS
2/27/1958	75	1	USGS
2/28/1958	65	1	USGS
3/1/1958	58	1	USGS
3/2/1958	53	1	USGS
3/3/1958	50	1	USGS
3/4/1958	46	1	USGS
3/5/1958	43	1	USGS
3/6/1958	41	1	USGS
3/7/1958	39	1	USGS
3/8/1958	37	1	USGS
3/9/1958	35	1	USGS
3/10/1958	35	1	USGS
3/11/1958	33	1	USGS
3/12/1958	31	1	USGS
3/13/1958	31	1	USGS
3/14/1958	30	1	USGS
3/15/1958	28	1	USGS
3/16/1958	28	1	USGS
3/17/1958	27	1	USGS
3/18/1958	26	1	USGS
3/19/1958	25	1	USGS
3/20/1958	29	1	USGS
3/21/1958	30	1	USGS
3/22/1958	28	1	USGS
3/23/1958	28	1	USGS
3/24/1958	27	1	USGS
3/25/1958	27	1	USGS
3/26/1958	26	1	USGS
3/27/1958	26	1	USGS
3/28/1958	24	1	USGS
3/29/1958	26	1	USGS
3/30/1958	27	1	USGS
3/31/1958	26	1	USGS
4/1/1958	26	1	USGS
4/2/1958	28	1	USGS
4/3/1958	27	1	USGS
4/4/1958	26	1	USGS
4/5/1958	25	1	USGS
4/6/1958	25	1	USGS
4/7/1958	24	1	USGS
4/8/1958	23	1	USGS
4/9/1958	23	1	USGS
4/10/1958	24	1	USGS
4/11/1958	25	1	USGS
4/12/1958	24	1	USGS
4/13/1958	26	1	USGS
4/14/1958	28	1	USGS
4/15/1958	31	1	USGS
4/16/1958	35	1	USGS
4/17/1958	48	1	USGS
4/18/1958	44	1	USGS
4/19/1958	43	1	USGS
4/20/1958	50	1	USGS
4/21/1958	54	1	USGS
4/22/1958	54	1	USGS
4/23/1958	43	1	USGS
4/24/1958	37	1	USGS
4/25/1958	35	1	USGS
4/26/1958	31	1	USGS
4/27/1958	28	1	USGS
4/28/1958	30	1	USGS
4/29/1958	34	1	USGS
4/30/1958	33	1	USGS
5/1/1958	37	1	USGS
5/2/1958	43	1	USGS
5/3/1958	48	1	USGS
5/4/1958	53	1	USGS
5/5/1958	63	1	USGS
5/6/1958	62	1	USGS
5/7/1958	58	1	USGS
5/8/1958	67	1	USGS
5/9/1958	82	1	USGS
5/10/1958	98	1	USGS
5/11/1958	128	1	USGS
5/12/1958	86	1	USGS
5/13/1958	67	1	USGS
5/14/1958	65	1	USGS
5/15/1958	72	1	USGS
5/16/1958	88	1	USGS
5/17/1958	106	1	USGS
5/18/1958	116	1	USGS
5/19/1958	118	1	USGS
5/20/1958	91	1	USGS
5/21/1958	94	1	USGS
5/22/1958	91	1	USGS
5/23/1958	88	1	USGS
5/24/1958	75	1	USGS
5/25/1958	75	1	USGS
5/26/1958	75	1	USGS
5/27/1958	63	1	USGS
5/28/1958	56	1	USGS
5/29/1958	54	1	USGS
5/30/1958	56	1	USGS
5/31/1958	62	1	USGS
6/1/1958	54	1	USGS
6/2/1958	60	1	USGS
6/3/1958	49	1	USGS
6/4/1958	47	1	USGS
6/5/1958	47	1	USGS
6/6/1958	49	1	USGS
6/7/1958	47	1	USGS
6/8/1958	47	1	USGS
6/9/1958	51	1	USGS
6/10/1958	51	1	USGS
6/11/1958	47	1	USGS
6/12/1958	46	1	USGS
6/13/1958	42	1	USGS
6/14/1958	47	1	USGS
6/15/1958	60	1	USGS
6/16/1958	64	1	USGS
6/17/1958	70	1	USGS
6/18/1958	74	1	USGS
6/19/1958	64	1	USGS
6/20/1958	58	1	USGS
6/21/1958	61	1	USGS
6/22/1958	68	1	USGS
6/23/1958	60	1	USGS
6/24/1958	49	1	USGS
6/25/1958	45	1	USGS
6/26/1958	45	1	USGS
6/27/1958	37	1	USGS
6/28/1958	31	1	USGS
6/29/1958	29	1	USGS
6/30/1958	25	1	USGS
7/1/1958	27	1	USGS
7/2/1958	26	1	USGS
7/3/1958	25	1	USGS
7/4/1958	26	1	USGS
7/5/1958	26	1	USGS
7/6/1958	26	1	USGS
7/7/1958	23	1	USGS
7/8/1958	22	1	USGS
7/9/1958	19	1	USGS
7/10/1958	18	1	USGS
7/11/1958	19	1	USGS
7/12/1958	18	1	USGS
7/13/1958	17	1	USGS
7/14/1958	15	1	USGS
7/15/1958	13	1	USGS
7/16/1958	11	1	USGS
7/17/1958	17	1	USGS
7/18/1958	12	1	USGS
7/19/1958	10	1	USGS
7/20/1958	9.2	1	USGS
7/21/1958	8.8	1	USGS
7/22/1958	8.8	1	USGS
7/23/1958	14	1	USGS
7/24/1958	12	1	USGS
7/25/1958	10	1	USGS
7/26/1958	10	1	USGS
7/27/1958	9.2	1	USGS
7/28/1958	8.8	1	USGS
7/29/1958	5.2	1	USGS
7/30/1958	3.9	1	USGS
7/31/1958	3.7	1	USGS
8/1/1958	3.4	1	USGS
8/2/1958	3.9	1	USGS
8/3/1958	3.7	1	USGS
8/4/1958	3.2	1	USGS
8/5/1958	3	1	USGS
8/6/1958	2.8	1	USGS
8/7/1958	2.6	1	USGS
8/8/1958	2.6	1	USGS
8/9/1958	2.4	1	USGS
8/10/1958	1.9	1	USGS
8/11/1958	1.8	1	USGS
8/12/1958	0.6	1	USGS
8/13/1958	0.5	1	USGS
8/14/1958	0.5	1	USGS
8/15/1958	0.4	1	USGS
8/16/1958	0.4	1	USGS
8/17/1958	0.4	1	USGS
8/18/1958	0.5	1	USGS
8/19/1958	0.4	1	USGS
8/20/1958	0.4	1	USGS
8/21/1958	0.5	1	USGS
8/22/1958	0.4	1	USGS
8/23/1958	0.4	1	USGS
8/24/1958	0.4	1	USGS
8/25/1958	0.4	1	USGS
8/26/1958	0.4	1	USGS
