Date	mean_cfs	Qual_Flag	Data_Source
10/1/1941	80	A	USGS
10/2/1941	80	A	USGS
10/3/1941	80	A	USGS
10/4/1941	80	A	USGS
10/5/1941	80	A	USGS
10/6/1941	80	A	USGS
10/7/1941	80	A	USGS
10/8/1941	80	A	USGS
10/9/1941	80	A	USGS
10/10/1941	80	A	USGS
10/11/1941	80	A	USGS
10/12/1941	80	A	USGS
10/13/1941	80	A	USGS
10/14/1941	80	A	USGS
10/15/1941	80	A	USGS
10/16/1941	80	A	USGS
10/17/1941	80	A	USGS
10/18/1941	80	A	USGS
10/19/1941	80	A	USGS
10/20/1941	80	A	USGS
10/21/1941	80	A	USGS
10/22/1941	80	A	USGS
10/23/1941	80	A	USGS
10/24/1941	80	A	USGS
10/25/1941	80	A	USGS
10/26/1941	80	A	USGS
10/27/1941	80	A	USGS
10/28/1941	80	A	USGS
10/29/1941	80	A	USGS
10/30/1941	80	A	USGS
10/31/1941	80	A	USGS
11/1/1941	150	A	USGS
11/2/1941	150	A	USGS
11/3/1941	150	A	USGS
11/4/1941	150	A	USGS
11/5/1941	150	A	USGS
11/6/1941	150	A	USGS
11/7/1941	150	A	USGS
11/8/1941	150	A	USGS
11/9/1941	150	A	USGS
11/10/1941	150	A	USGS
11/11/1941	150	A	USGS
11/12/1941	150	A	USGS
11/13/1941	150	A	USGS
11/14/1941	150	A	USGS
11/15/1941	150	A	USGS
11/16/1941	150	A	USGS
11/17/1941	150	A	USGS
11/18/1941	150	A	USGS
11/19/1941	150	A	USGS
11/20/1941	150	A	USGS
11/21/1941	150	A	USGS
11/22/1941	150	A	USGS
11/23/1941	150	A	USGS
11/24/1941	150	A	USGS
11/25/1941	150	A	USGS
11/26/1941	150	A	USGS
11/27/1941	150	A	USGS
11/28/1941	150	A	USGS
11/29/1941	150	A	USGS
11/30/1941	150	A	USGS
12/1/1941	1000	A	USGS
12/2/1941	1000	A	USGS
12/3/1941	1000	A	USGS
12/4/1941	1000	A	USGS
12/5/1941	1000	A	USGS
12/6/1941	1000	A	USGS
12/7/1941	1000	A	USGS
12/8/1941	1000	A	USGS
12/9/1941	1000	A	USGS
12/10/1941	1000	A	USGS
12/11/1941	1000	A	USGS
12/12/1941	1000	A	USGS
12/13/1941	1000	A	USGS
12/14/1941	1000	A	USGS
12/15/1941	1000	A	USGS
12/16/1941	1270	A	USGS
12/17/1941	4170	A	USGS
12/18/1941	3220	A	USGS
12/19/1941	3650	A	USGS
12/20/1941	3550	A	USGS
12/21/1941	2580	A	USGS
12/22/1941	2000	A	USGS
12/23/1941	1830	A	USGS
12/24/1941	1610	A	USGS
