61		
kx1	200	202
kx2	100	101
kx3	50	50.5
kx4	10	10.1
kx5	10	10.1
kx6	10	10.1
kx7	1000	1010
kx8	10	10.1
kx9	10	10.1
kvar1	20	20.2
kvar2	50	50.5
kvar3	100	101
kvar4	80	80.8
kvar5	40	40.4
kvar6	30	30.3
kvar7	10	10.1
kvar8	60	60.6
kvar9	50	50.5
sy1	0.1	0.101
sy2	0.07	0.0707
sy3	0.1	0.101
sy4	0.1	0.101
sy5	0.1	0.101
sy6	0.1	0.101
sy7	0.3	0.303
sy8	0.1	0.101
sy9	0.1	0.101
ss1	6.40E-05	0.00006464
ss2	5.90E-05	0.00005959
ss3	2.70E-05	0.00002727
ss4	8.30E-05	0.00008383
ss5	1.30E-05	0.00001313
ss6	2.00E-05	0.0000202
ss7	6.50E-05	0.00006565
ss8	2.90E-04	0.0002929
ss9	8.00E-04	0.000808
MFR5	20	20.2
MFR6	100	101
MFR7	10	10.1
MFR8	75	75.75
MFR9	15	15.15
MFR10	5	5.05
MFR11	70	70.7
FRMRSDitch	100	101
SVIDDitch	100	101
bedk1	10	10.1
bedk2	5	5.05
bedk3	15	15.15
rough1	0.035	0.03535
rough2	0.035	0.03535
rough3	0.035	0.03535
RD_Mult	1	1.01
EIE_Flood	0.7	0.707
EIE_WL_LU25	1.09	1.1009
EIE_CP_LU25	1.15	1.1615
EIE_WL_LU2	0.81	0.8181
EIE_CP_LU2	0.95	0.9595
kc_alfalfa_mult	1	1.01
kc_grain_mult	1.05	1.0605
kc_pasture_mult	1.04	1.0504
kc_noirr	0.65	0.6565
