Day Scott_River_Avg_Flow_m3day French_Avg_Flow_m3day Etna_Avg_Flow_m3day Patterson_Avg_Flow_m3day Kidder_Avg_Flow_m3day Moffett_Avg_Flow_m3day Mill_Avg_Flow_m3day Shackleford_Avg_Flow_m3day
1990-10-01 36868.6913648458 3987.24750613574 8481.38763656043 5273.3708709682 5831.75894302277 1717.66320611964 8990.80172861524 7460.75365265728
1990-10-02 38196.6497081779 4171.52099941778 8829.25221613854 5480.75283805359 6105.75546793322 1787.88024463272 9190.48333143596 7797.66601038632
1990-10-03 40811.4549496131 4539.35494758726 9518.65623113516 5890.78396997929 6653.26826812551 1927.01140439865 9575.95086303258 8469.20509805107
1990-10-04 42099.7474755324 4722.93607539353 9860.39753337172 6093.58866984429 6926.79825982091 1995.96720748145 9762.32671925576 8803.89945363478
1990-10-05 42099.7474755324 4722.93607539353 9860.39753337172 6093.58866984429 6926.79825982091 1995.96720748145 9762.32671925576 8803.89945363478
1990-10-06 44641.2473177952 5089.47212262403 10538.3998922727 6495.11550335521 7473.43563492529 2132.75033656628 10123.6205235254 9471.28637389164
1990-10-07 45895.5497204186 5272.44315225519 10874.816200385 6693.95674263809 7746.55372817792 2200.60970811426 10298.9707906866 9804.03149767606
1990-10-08 45895.5497204186 5272.44315225519 10874.816200385 6693.95674263809 7746.55372817792 2200.60970811426 10298.9707906866 9804.03149767606
1990-10-09 44641.2473177952 5089.47212262403 10538.3998922727 6495.11550335521 7473.43563492529 2132.75033656628 10123.6205235254 9471.28637389164
1990-10-10 48373.6725271487 5637.82718040504 11542.8235201206 7088.05860429012 8292.41265074381 2335.33515146199 10640.0164873779 10467.7422386177
1990-10-11 50813.9515641017 6002.50946855752 12204.799665332 7477.69387743201 8837.79672832308 2468.81925924609 10969.2596064637 11129.2179593677
1990-10-12 50813.9515641017 6002.50946855752 12204.799665332 7477.69387743201 8837.79672832308 2468.81925924609 10969.2596064637 11129.2179593677
1990-10-13 52020.8369372747 6184.60178960661 12533.6616801937 7670.93999075949 9110.32025149974 2535.12379518415 11129.8088715455 11459.1642665501
1990-10-14 50813.9515641017 6002.50946855752 12204.799665332 7477.69387743201 8837.79672832308 2468.81925924609 10969.2596064637 11129.2179593677
1990-10-15 49598.3482118884 5820.25308193343 11874.5374249368 7283.41314782564 8565.16207263402 2402.22658193459 10806.0397419345 10798.7498513182
1990-10-16 49598.3482118884 5820.25308193343 11874.5374249368 7283.41314782564 8565.16207263402 2402.22658193459 10806.0397419345 10798.7498513182
1990-10-17 54409.752663809 6548.31438698668 13187.374474582 8054.47253340179 9655.04734612295 2666.90752025492 11443.3773296562 12117.5568933357
